rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,___nicoichi___,NICO【平成フラミンゴ】,1.3M,1.9M,225.3K,1.7K,1.1K,tiktok,june,2022
2,_.anime.edits_0,video,97K,1.7M,75.6K,1.5K,8.7K,tiktok,june,2022
3,_.respect.boss._,Respect compilation 🤝🥶,1.5M,4.4M,241.9K,249,797,tiktok,june,2022
4,_.the.meme.hub._,RANDOM MEMES,2.3M,3.8M,787.7K,2.9K,9K,tiktok,june,2022
5,_andrewcurtiss,Andrew Curtis,2.5M,1.4M,300.4K,5.8K,4K,tiktok,june,2022
6,_emil_official,EMİL❤️,600.9K,2.5M,61.9K,1.2K,9.5K,tiktok,june,2022
7,_ikyikyyy,ikyikyyy,3.1M,1.5M,185.3K,1.5K,1.6K,tiktok,june,2022
8,_jennifernierva,Jennifer Nierva,1M,2.4M,321.1K,1.9K,1K,tiktok,june,2022
9,_mister_z,Marco Zedda,4.9M,2.3M,407.3K,3.2K,3K,tiktok,june,2022
10,_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4.9M,3.9M,235.3K,1.3K,1.2K,tiktok,june,2022
11,_space.draws_,Space Draws,2.6M,2M,227.1K,1.6K,817,tiktok,june,2022
12,_subtitulos_,KUWTK,92.8K,3.4M,432.7K,960,690,tiktok,june,2022
13,_surya_editz_,😈,551.2K,3.5M,330.6K,1.1K,2.1K,tiktok,june,2022
14,_xochitl.gomez,Xóchitl Gómez,4.4M,6.1M,1.1M,9,3.4K,tiktok,june,2022
15,_xsyalisx_,Nya uwu xd,144.3K,1.8M,347.5K,2.4K,2.7K,tiktok,june,2022
16,.jmwalton,𝙅 ⚡️,1.2M,3.4M,667K,15.3K,5.6K,tiktok,june,2022
17,1642l4,عطوي خانته سود الليالي,15K,1.3M,64.2K,2.8K,13.6K,tiktok,june,2022
18,1asos,اسراء فرج,3.5M,2.5M,174.3K,1.2K,1.4K,tiktok,june,2022
19,230.s,نصائح واخبار فيفا.,13.6K,2.2M,159.2K,1.5K,1.3K,tiktok,june,2022
20,42psy42,PSY,3.9M,2.5M,417.8K,2.2K,1.2K,tiktok,june,2022
21,4q2y,دنوو,1.5M,1.7M,140.2K,3.6K,1.2K,tiktok,june,2022
22,7uss.n,حسين الحريبي🌻,1.5M,2.2M,225.5K,2.2K,2.5K,tiktok,june,2022
