rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,yossikramer,Yossi,145.6K,26.8M,2.2M,30.1K,71.2K,tiktok,november,2022
2,mrbeast,MrBeast,55.6M,38.1M,3.8M,19K,7.8K,tiktok,november,2022
3,adinross,adin,5.4M,16.6M,2M,10.9K,12.5K,tiktok,november,2022
4,daniel.labelle,Daniel LaBelle,27.9M,11.8M,1.7M,6.9K,29.3K,tiktok,november,2022
5,hotspanishmx,HotSpanish,8.2M,19.2M,1.7M,7.4K,9.5K,tiktok,november,2022
6,nicocaponecomedy,nicocapone.comedy,24.3M,16.9M,952.9K,5.6K,27.3K,tiktok,november,2022
7,juandamc,JuanDa.,19.1M,9.2M,2.2M,11.1K,9.3K,tiktok,november,2022
8,amauryguichon,Amaury Guichon,17.6M,12.4M,2M,5.8K,11.3K,tiktok,november,2022
9,thezachchoi,Zach Choi,8M,14.2M,1.5M,5.4K,13.3K,tiktok,november,2022
10,bdylanhollis,B. Dylan Hollis,9.2M,6.4M,1.3M,6.3K,39.5K,tiktok,november,2022
11,janneksplace,Janneksplace,1.9M,11.6M,1.5M,8.8K,11.4K,tiktok,november,2022
12,twice_tiktok_official,TWICE,18.4M,8M,1.6M,15.9K,10.6K,tiktok,november,2022
13,kyliejenner,Kylie Jenner,49.1M,14.5M,2.5M,5.5K,3.4K,tiktok,november,2022
14,niallhoran,Niall Horan,4.6M,4.1M,1.2M,31.6K,23.7K,tiktok,november,2022
15,txt.bighitent,TOMORROW X TOGETHER,18.5M,4.3M,1.5M,29K,11.2K,tiktok,november,2022
16,khaby.lame,Khabane lame,152M,15M,1.8M,6.5K,3.2K,tiktok,november,2022
17,vibin.wit.tay,Tay,5.1M,4.2M,897.3K,7.7K,39.6K,tiktok,november,2022
18,steve.lacy,steve lacy,1.3M,8.2M,1.4M,12K,2.9K,tiktok,november,2022
19,taylorswift,Taylor Swift,15.3M,6M,843.1K,21.3K,10.6K,tiktok,november,2022
20,iamferv,Fernanda,32.9M,8.6M,1.3M,7.7K,4.5K,tiktok,november,2022
21,poudi,Poudii,145.9K,8.1M,1.2M,4K,9.9K,tiktok,november,2022
22,mikaylahau,Mikaylah,5.4M,7.6M,559.2K,18.4K,12.5K,tiktok,november,2022
23,onwardwanna,Wanna🥊,8.3M,6.7M,1.3M,9.9K,3.1K,tiktok,november,2022
24,adamsheey,Adam Shi,6.7M,7.3M,1.2M,3.4K,9K,tiktok,november,2022
25,lokiandthetesseract,-ʟᴇɴᴀ-,427K,4.6M,1M,5.8K,15.4K,tiktok,november,2022
26,domelipa,domelipa,60.5M,9.1M,1.2M,6K,2.7K,tiktok,november,2022
27,stickyboy69,stickyboy69,9.1M,7.1M,1.2M,7.4K,3.3K,tiktok,november,2022
28,jdiasss_,João Dias,8.1M,6.8M,1.4M,5K,3.4K,tiktok,november,2022
29,dylanmulvaney,Dylan Mulvaney,8.9M,5.3M,874.2K,14.6K,2.4K,tiktok,november,2022
30,jonatan.clay,Jonatan Clay,2.9M,6.7M,1.1M,6.2K,3.6K,tiktok,november,2022
31,pietro_morello,Pietro Morello,3.1M,17.2M,961.3K,2.6K,1.7K,tiktok,november,2022
32,britneyspears,Britney Spears,7.3M,5.9M,317.4K,15.3K,22.2K,tiktok,november,2022
33,charlidamelio,charli d’amelio,148.4M,8.6M,641.9K,9.7K,2.5K,tiktok,november,2022
34,calebdigital,CALEB DIGITAL,613.9K,4.3M,991.3K,6.8K,8.9K,tiktok,november,2022
35,therock,The Rock,63.2M,6.4M,689.8K,10.8K,4.1K,tiktok,november,2022
36,frankielapenna,Frankie LaPenna,5.4M,9M,694.4K,2.1K,6.9K,tiktok,november,2022
37,kimberly.loaiza,Kimberly Loaiza,69.3M,7.7M,868K,6.2K,1.9K,tiktok,november,2022
38,selenagomez,Selena Gomez,44.2M,6.3M,1.1M,4.6K,2.9K,tiktok,november,2022
39,luvadepedreiro,Iran Ferreira (Lai),20.6M,8.5M,1M,3.7K,2.4K,tiktok,november,2022
40,maherzainfanforever,maherzainfanforever,2M,3.2M,409K,5.1K,31.3K,tiktok,november,2022
41,daviddobrik,DAVID DOBRIK,26.3M,7.4M,1.2M,3.2K,2K,tiktok,november,2022
42,morimura,MoriMura🍕,8.9M,6.1M,764.3K,3.3K,6.6K,tiktok,november,2022
43,rubentuestaok,Ruben Tuesta,24.5M,6.9M,815.1K,1.6K,6.6K,tiktok,november,2022
44,mclomaofficiall,mclomaofficial,5.4M,6.8M,1.2M,3.7K,1.7K,tiktok,november,2022
45,lilireinhart,Lili Reinhart,5M,4.8M,920.9K,2.9K,6.4K,tiktok,november,2022
46,dgdxofficial,D.M. Galloway | DGDX Animation,156.3K,5.8M,279.1K,1.7K,21.8K,tiktok,november,2022
47,lexibrookerivera,Lexi Rivera,24.4M,6.3M,993.4K,4.5K,1.6K,tiktok,november,2022
48,ramonvitor,ramonvitor,10.3M,5.6M,1.2M,3.8K,1.7K,tiktok,november,2022
49,matt_rife,Matt Rife,3.9M,4.7M,700.8K,3.2K,7.3K,tiktok,november,2022
50,syifahadjuuuuuuu,Syifa Hadju,4.1M,6.1M,808.9K,4.8K,1.6K,tiktok,november,2022
51,matt_rife,Matt Rife,3.9M,4.7M,700.8K,3.2K,7.3K,tiktok,november,2022
52,syifahadjuuuuuuu,Syifa Hadju,4.1M,6.1M,808.9K,4.8K,1.6K,tiktok,november,2022
53,cedricgrolet,Cedric Grolet,2.5M,6.9M,599.3K,2.2K,5.5K,tiktok,november,2022
54,nicollefigueroaa,Nicolle Figueroa,14.4M,7.9M,1.1M,2.5K,878,tiktok,november,2022
55,isramy,Ramy Chaaban,2.6M,4.5M,745.8K,3.3K,4.9K,tiktok,november,2022
56,lourdasprec,LOURD,10.6M,3.9M,672.9K,5.3K,5K,tiktok,november,2022
57,markoterzo,M A R K O,2.8M,8.7M,1M,2.3K,727,tiktok,november,2022
58,rauwalejandro,rauwalejandro,12.7M,6.1M,616.9K,2.5K,4.3K,tiktok,november,2022
59,axxdermusic,Axder,5.1M,1.7M,186.3K,30.9K,49.3K,tiktok,november,2022
60,jaxwritessongs,Jax,12.4M,3.7M,671.3K,7.6K,2.6K,tiktok,november,2022
61,saramohannad_,Sara,8.7M,3.7M,329.2K,5.1K,15.5K,tiktok,november,2022
62,ayesebastien,Sebastien,8M,5.4M,814.2K,2.2K,3.5K,tiktok,november,2022
63,skaijackson,Skai Jackson 🥰,20.8M,5M,857.4K,2.8K,2.6K,tiktok,november,2022
64,jvke,JVKE,8.7M,6M,1M,2.2K,1.5K,tiktok,november,2022
65,addisonre,Addison,88.7M,6.8M,523.2K,2.5K,3.8K,tiktok,november,2022
66,sucss.s,Açucena Guirra,11.9M,3.6M,811.7K,4K,3.6K,tiktok,november,2022
67,druskitv,DRUSKI,3.8M,2.8M,533.6K,4K,10.4K,tiktok,november,2022
68,tuckercomedy,Tucker Reynolds,2.5M,3.7M,769.5K,1.9K,5.1K,tiktok,november,2022
69,connorprice__,Connor Price,3.2M,5.9M,627.8K,2.9K,2.4K,tiktok,november,2022
70,bigsean,Big Sean,738.8K,4.1M,766.6K,2.7K,3.6K,tiktok,november,2022
71,postmalone,Post Malone,14M,4.8M,446.8K,3.1K,6K,tiktok,november,2022
72,marisol.viola,marisol viola,1.5M,2.5M,428.3K,6.7K,11.2K,tiktok,november,2022
73,neymarjr,Enejota,11.3M,5.2M,902.5K,3,4.1K,tiktok,november,2022
74,wuesilva,Wue Silva,13.8M,4.4M,540.1K,4.1K,3.9K,tiktok,november,2022
75,jimena.jimenezr,Jimena,25.2M,7.2M,816K,1.4K,1.9K,tiktok,november,2022
76,nina,Nina Dobrev,4M,6.8M,772.1K,2.4K,1.2K,tiktok,november,2022
77,rosalia,La Rosalia,26.8M,4.8M,588.5K,2.4K,4K,tiktok,november,2022
78,itskingchris,KingChristian,17.9M,3.7M,703.4K,4.3K,2.7K,tiktok,november,2022
79,dansurtiktok,Dan Sur beast 🤑,5.9M,5.7M,219.7K,13.8K,543,tiktok,november,2022
80,itssassagurl,Sassa Gurl,7M,4.1M,698.4K,3K,3.2K,tiktok,november,2022
81,jdpantoja,JD Pantoja,31.4M,4.6M,732.2K,4.3K,906,tiktok,november,2022
