rank,followers,er,country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
1,161.9M,0.2%,Italy,Funny Entertainment and Music,48.6M,Khabane lame ,khaby.lame,tiktok,aland-islands,False,2024,Music,MAPPED
2,92.6M,0.8%,United States,,27.8M,Bella Poarch ,bellapoarch,tiktok,aland-islands,False,2024,NA,NA
3,88.5M,1%,United States,Beauty and Self Care,26.6M,Addison Rae ,addisonre,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
4,85.4M,4%,,Entertainment and Music,25.6M,MrBeast ,mrbeast,tiktok,aland-islands,False,2024,Music,MAPPED
5,78.1M,2.9%,United States,Entertainment and Music,23.4M,Zach King ,zachking,tiktok,aland-islands,False,2024,Music,MAPPED
6,76.1M,1.6%,Mexico,,22.8M,Kimberly Loaiza ,kimberly.loaiza,tiktok,aland-islands,False,2024,NA,NA
7,74.2M,0.9%,United States,Entertainment and Music Fitness and Health Business and Finance,22.3M,The Rock ,therock,tiktok,aland-islands,False,2024,Sports,MAPPED
8,74.1M,0.7%,United States,,22.2M,Will Smith ,willsmith,tiktok,aland-islands,False,2024,NA,NA
9,72M,0.2%,,,21.6M,cznburak ,cznburak,tiktok,aland-islands,False,2024,NA,NA
10,58.9M,0.4%,United States,Entertainment and Music,17.7M,Jason Derulo ,jasonderulo,tiktok,aland-islands,False,2024,Music,MAPPED
11,56M,3.2%,United States,Beauty and Self Care Fashion and Accessories,16.8M,Kylie Jenner ,kyliejenner,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
12,51.9M,3.8%,Colombia,Entertainment and Music,15.6M,Karol G ,karolg,tiktok,aland-islands,False,2024,Music,MAPPED
13,51.4M,-,Vietnam,,15.4M,Michael Le ,justmaiko,tiktok,aland-islands,False,2024,NA,NA
14,51M,1%,,Entertainment and Music,15.3M,BTS ,bts_official_bighit,tiktok,aland-islands,False,2024,Music,MAPPED
15,51M,-,,,15.3M,BILLIE EILISH ,billieeilish,tiktok,aland-islands,False,2024,NA,NA
16,45.6M,0.3%,United States,Entertainment and Music,13.7M,JoJo Siwa ,itsjojosiwa,tiktok,aland-islands,False,2024,Music,MAPPED
17,44M,-,,Entertainment and Music,13.2M,ESPN ,espn,tiktok,aland-islands,False,2024,Music,MAPPED
18,42.8M,-,,,12.8M,Junya/じゅんや ,junya1gou,tiktok,aland-islands,False,2024,NA,NA
19,42.1M,-,,Fashion and Accessories,12.6M,ХОМЯК ,homm9k,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
20,41.4M,-,,Entertainment and Music,12.4M,XO Team ,xoteam,tiktok,aland-islands,False,2024,Music,MAPPED
21,41.1M,-,,Entertainment and Music,12.3M,ROD🫠 ,elrodcontreras,tiktok,aland-islands,False,2024,Music,MAPPED
22,40.8M,-,,family Entertainment and Music,12.2M,Joe ,joealbanese,tiktok,aland-islands,False,2024,Music,MAPPED
23,40M,1.1%,United Kingdom,Food,12M,Gordon Ramsay ,gordonramsayofficial,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
24,39.2M,-,,,11.8M,Carlos Feria ,carlosferiag,tiktok,aland-islands,False,2024,NA,NA
25,38.8M,-,,,11.6M,ondy mikula ,ondymikula,tiktok,aland-islands,False,2024,NA,NA
26,38.4M,0.2%,,Entertainment and Music,11.5M,Scott 🔥 ,scottsreality,tiktok,aland-islands,False,2024,Music,MAPPED
27,38.2M,2%,,,11.5M,Shakira ,shakira,tiktok,aland-islands,False,2024,NA,NA
28,36.9M,0.1%,United States,Entertainment and Music Sports,11.1M,Barstool Sports ,barstoolsports,tiktok,aland-islands,False,2024,Sports,MAPPED
29,36.2M,-,United States,Beauty and Self Care Arts and Crafts,10.9M,James Charles ,jamescharles,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
30,35.4M,0.1%,,,10.6M,kyle thomas 🌿 ,kylethomas,tiktok,aland-islands,False,2024,NA,NA
31,35.2M,-,,,10.6M,Q Park ,qpark,tiktok,aland-islands,False,2024,NA,NA
32,35.1M,-,,Entertainment and Music,10.5M,GIL CROES ,gilmhercroes,tiktok,aland-islands,False,2024,Music,MAPPED
33,34.8M,1.7%,United States,Entertainment and Music,10.4M,Kevin Hart ,imkevinhart,tiktok,aland-islands,False,2024,Music,MAPPED
34,34.7M,-,,Entertainment and Music Funny,10.4M,Kirya Kolesnikov ,thekiryalife,tiktok,aland-islands,False,2024,Music,MAPPED
35,34.4M,-,,Entertainment and Music,10.3M,arianagrande ,arianagrande,tiktok,aland-islands,False,2024,Music,MAPPED
36,34.2M,-,,,10.3M,Pongámoslo a Prueba ,pongamoslo_a_prueba,tiktok,aland-islands,False,2024,NA,NA
37,33.5M,0.6%,,Pets,10.1M,ThatLittlePuff ,thatlittlepuff,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
38,33.3M,-,,,10M,Montpantoja ,montpantoja,tiktok,aland-islands,False,2024,NA,NA
39,32.1M,0.2%,United States,Arts and Crafts Education Upskilling,9.6M,Devon Rodriguez ,devonrodriguezart,tiktok,aland-islands,False,2024,Knowledge&Info,MAPPED
40,31.8M,18.4%,Puerto Rico,,9.5M,Bad Bunny ,badbunny,tiktok,aland-islands,False,2024,NA,NA
41,31.7M,2.1%,United States,Entertainment and Music Funny,9.5M,Brooke Monk ,brookemonk_,tiktok,aland-islands,False,2024,Music,MAPPED
42,31.6M,0.4%,,Entertainment and Music,9.5M,Indi skovar ,indiskovar3.0,tiktok,aland-islands,False,2024,Music,MAPPED
43,31.5M,0.9%,United States,,9.5M,Lele Pons ,lelepons,tiktok,aland-islands,False,2024,NA,NA
44,31.2M,-,United States,Entertainment and Music,9.4M,Stokes Twins ,stokestwins,tiktok,aland-islands,False,2024,Music,MAPPED
45,31.1M,0.7%,,Entertainment and Music,9.3M,Kira Kosarin ,kirakosarin,tiktok,aland-islands,False,2024,Music,MAPPED
46,30.9M,-,Spain,,9.3M,La Rosalia ,rosalia,tiktok,aland-islands,False,2024,NA,NA
47,30.4M,-,Colombia,,9.1M,Alejandro Nieto ,soybans,tiktok,aland-islands,False,2024,NA,NA
48,30.2M,-,Mexico,,9.1M,Michel Chavez ,its.michhh,tiktok,aland-islands,False,2024,NA,NA
49,30.2M,-,United States,,9.1M,Liza Koshy ,lizzza,tiktok,aland-islands,False,2024,NA,NA
50,29.2M,1%,Brazil,Travel,8.8M,beca ,beca,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
51,29M,-,United States,Entertainment and Music Celebrity,8.7M,Topper Guild ,topperguild,tiktok,aland-islands,False,2024,Music,MAPPED
52,28.2M,-,Chile,Beauty and Self Care,8.5M,Ignacia Antonia👑 ,ignaciaa_antonia,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
53,28M,-,,Entertainment and Music,8.4M,Camilo ,camilo,tiktok,aland-islands,False,2024,Music,MAPPED
54,27.6M,-,,Entertainment and Music,8.3M,Daniel Ibarra ,juandaniel.ibarra,tiktok,aland-islands,False,2024,Music,MAPPED
55,27.5M,0.2%,South Korea,,8.3M,시아지우 sia_jiwoo ,sia_jiwoo,tiktok,aland-islands,False,2024,NA,NA
56,27.1M,4.5%,,,8.1M,Lexi Rivera ,lexibrookerivera,tiktok,aland-islands,False,2024,NA,NA
57,27M,-,,Entertainment and Music,8.1M,KEEMOKAZI ,keemokazi,tiktok,aland-islands,False,2024,Music,MAPPED
58,26.7M,-,,Sports,8M,psg ,psg,tiktok,aland-islands,False,2024,Sports,MAPPED
59,26.3M,-,,family Romance and Wedding,7.9M,JeisonGiraldo ,jeison_giraldo,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
60,26.3M,-,,,7.9M,JeanCarlo Leon ,jashlem,tiktok,aland-islands,False,2024,NA,NA
61,26.1M,1.2%,,Funny,7.8M,Jimena ,jimena.jimenezr,tiktok,aland-islands,False,2024,Entertainment,MAPPED
62,26M,0.1%,United States,Entertainment and Music,7.8M,Doja Cat ,dojacat,tiktok,aland-islands,False,2024,Music,MAPPED
63,26M,-,Kuwait,Fashion and Accessories,7.8M,Bader Al Safar ,baderalsafar,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
64,26M,-,United States,Entertainment and Music Funny,7.8M,DAVID DOBRIK ,daviddobrik,tiktok,aland-islands,False,2024,Music,MAPPED
65,25.9M,-,,Entertainment and Music,7.8M,LARRAY ,larrayeeee,tiktok,aland-islands,False,2024,Music,MAPPED
66,25.9M,-,,,7.8M,Era Ays ,era_ays,tiktok,aland-islands,False,2024,NA,NA
67,25.7M,0.1%,,,7.7M,Karla Bustillos ❤️ ,karla.bustillos,tiktok,aland-islands,False,2024,NA,NA
68,25.7M,4.6%,,,7.7M,BORREGO ,lagranjadelborrego,tiktok,aland-islands,False,2024,NA,NA
69,25.4M,-,,Beauty and Self Care Funny,7.6M,Arnaldo Mangini ,arnaldomangini,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
70,25.4M,-,,Funny,7.6M,Jaykindafunny ,jaykindafunny8,tiktok,aland-islands,False,2024,Entertainment,MAPPED
71,25.2M,-,,,7.6M,Malu Trevejo ,malutrevejo,tiktok,aland-islands,False,2024,NA,NA
72,25.1M,1%,,Games,7.5M,AriGameplays ,arigameplays,tiktok,aland-islands,False,2024,Tech&Gaming,MAPPED
73,24.9M,0.6%,,,7.5M,Dina ,dina,tiktok,aland-islands,False,2024,NA,NA
74,24.7M,-,,Animals,7.4M,DonaldDucc 🦆 ,donaldducc,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
75,24.5M,-,,,7.4M,adrilatinatv ,adrilatinatv,tiktok,aland-islands,False,2024,NA,NA
76,24.5M,-,,,7.4M,Victor Melo ,victormelo,tiktok,aland-islands,False,2024,NA,NA
77,24.1M,-,,Food Beauty and Self Care,7.2M,Chingu Amiga ,chinguamiga,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
78,24M,0.8%,,Entertainment and Music Funny,7.2M,The Mannii Show ,the_mannii,tiktok,aland-islands,False,2024,Music,MAPPED
79,23.9M,0.4%,United States,Entertainment and Music Celebrity,7.2M,Terry Crews ,terrycrews,tiktok,aland-islands,False,2024,Music,MAPPED
80,23.7M,-,United States,Entertainment and Music,7.1M,Jacob Sartorius ,jacobsartorius,tiktok,aland-islands,False,2024,Music,MAPPED
81,23.6M,0.6%,,,7.1M,Luara ,luara,tiktok,aland-islands,False,2024,NA,NA
82,23.4M,5.1%,,,7M,Nicolle Figueroa ,nicollefigueroaa,tiktok,aland-islands,False,2024,NA,NA
83,22.9M,8.5%,Canada,,6.9M,Ryan Reynolds ,vancityreynolds,tiktok,aland-islands,False,2024,NA,NA
84,22.6M,0.3%,United States,Entertainment and Music family,6.8M,Lauren Godwin ,laurengodwin,tiktok,aland-islands,False,2024,Music,MAPPED
85,22.5M,-,,,6.8M,mingweirocks ,mingweirocks,tiktok,aland-islands,False,2024,NA,NA
86,22.4M,8%,,,6.7M,Cardi B ,iamcardib,tiktok,aland-islands,False,2024,NA,NA
87,22.2M,-,,Funny Entertainment and Music,6.7M,Latiktokeuse869 ,latiktokeuse869,tiktok,aland-islands,False,2024,Music,MAPPED
88,22.1M,-,,,6.6M,Mackenzie Ziegler ,mackenzieziegler,tiktok,aland-islands,False,2024,NA,NA
89,22.1M,-,United States,Entertainment and Music,6.6M,Lance Stewart ,lance210,tiktok,aland-islands,False,2024,Music,MAPPED
90,22.1M,0.8%,,,6.6M,Anitta ,anitta,tiktok,aland-islands,False,2024,NA,NA
91,22.1M,-,,,6.6M,Marrkadams ,marrkadams,tiktok,aland-islands,False,2024,NA,NA
92,22M,0.2%,United States,Entertainment and Music,6.6M,ROMINA ,rominagafur,tiktok,aland-islands,False,2024,Music,MAPPED
93,22M,-,,,6.6M,창하CHANGHA ,chang._.a,tiktok,aland-islands,False,2024,NA,NA
94,21.9M,-,,Funny,6.6M,josi ,jmartineze_,tiktok,aland-islands,False,2024,Entertainment,MAPPED
95,21.9M,-,,Entertainment and Music,6.6M,Caín Guzmán ,cainguzman,tiktok,aland-islands,False,2024,Music,MAPPED
96,21.5M,-,United States,Entertainment and Music,6.5M,Bryce Hall ,brycehall,tiktok,aland-islands,False,2024,Music,MAPPED
97,21.5M,-,,Entertainment and Music,6.5M,온오빠 On Oppa ,korea.on,tiktok,aland-islands,False,2024,Music,MAPPED
98,21.3M,-,,,6.4M,Seany ,seandoesmagic,tiktok,aland-islands,False,2024,NA,NA
99,21.3M,2.6%,,,6.4M,Pk ,pkllipe,tiktok,aland-islands,False,2024,NA,NA
100,21.1M,-,,Entertainment and Music,6.3M,The Hype House ,thehypehouse,tiktok,aland-islands,False,2024,Music,MAPPED
