rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,La Granja de Zenón @UCwpcLKMwiuPg4aqImpGk6Ew,32.3M,-,Argentina,,9.7M,youtube,argentina,False,2024,NA,NA
2,TheDonato @UCaHEdZtk6k7SVP-umnzifmQ,26.8M,-,Argentina,,8M,youtube,argentina,False,2024,NA,NA
3,DrossRotzank @UCNYW2vfGrUE6R5mIJYzkRyQ,22.5M,0.5%,Argentina,,6.8M,youtube,argentina,False,2024,NA,NA
4,Paulo Londra @UCzI7wZyqk7jpXWT_MILjepw,22M,-,Argentina,,6.6M,youtube,argentina,False,2024,NA,NA
5,Disney Latinoamérica @UCq3zaHCaZtb3TtNwwz0PK2w,20.4M,-,Argentina,,6.1M,youtube,argentina,False,2024,NA,NA
6,RobleisIUTU @UCG8eSYvOQUpb9HM8zU5d6xg,17.5M,-,Argentina,,5.3M,youtube,argentina,False,2024,NA,NA
7,Alejo Igoa @UCZs0WwC0Dn_noiQE2BHSTKg,17.2M,0.5%,Argentina,,5.2M,youtube,argentina,False,2024,NA,NA
8,El Reino a Jugar @UCsm77kEHBDEPgD4Ir3jSRYg,16.2M,-,Argentina,,4.9M,youtube,argentina,False,2024,NA,NA
9,Bizarrap @UCmS75G-98QihSusY7NfCZtw,16M,27.3%,Argentina,,4.8M,youtube,argentina,False,2024,NA,NA
10,Plim Plim - Kids Songs & Episodes - Spanish @UCYQo8CdhXD22qfwUBUw591Q,15.9M,-,Argentina,,4.8M,youtube,argentina,False,2024,NA,NA
11,Lyna @UC-cnbLlplnXA4oc7rR21qzg,13.5M,0.2%,Argentina,,4.1M,youtube,argentina,False,2024,NA,NA
12,Yao Cabrera @UCu4mAgni85Q6uIGIAJ1-Feg,8.9M,-,Argentina,,2.7M,youtube,argentina,False,2024,NA,NA
13,TINI @UCJusEPcWIH9EyYSCqGP-1ew,7.6M,4%,Argentina,,2.3M,youtube,argentina,False,2024,NA,NA
14,Te lo resumo @UCw7Bz6EHxlnOoBUBlJZCWCw,6.8M,1.5%,Argentina,Video Gaming,2.1M,youtube,argentina,False,2024,Tech&Gaming,MAPPED
15,YAO @UCaUKfGWDNnZ5wWCogMshVrQ,6.7M,-,Argentina,,2M,youtube,argentina,False,2024,NA,NA
16,MUEVA Records @UC9YImk7k5T4_LNMnOjiXNzw,5.8M,0.5%,Argentina,,1.7M,youtube,argentina,False,2024,NA,NA
17,El Reino Series @UC4shzxpZgQeg_8-l-PJetJQ,5.7M,-,Argentina,,1.7M,youtube,argentina,False,2024,NA,NA
18,Discovery Kids @UC9PIfDp0yx6QRTMVMltMZyA,5.6M,-,Argentina,,1.7M,youtube,argentina,False,2024,NA,NA
19,Trueno Oficial @UCR8xLrhLmZoMirYnjj4zEWg,5.6M,2.4%,Argentina,,1.7M,youtube,argentina,False,2024,NA,NA
20,Canciones Infantiles - LooLoo @UC5WwPdvAHvdS1ZK_v6AE90A,5.5M,-,Argentina,,1.6M,youtube,argentina,False,2024,NA,NA
21,VIRAL @UCMx33fISkv8CqxfMIFuj9OA,5.4M,-,Argentina,,1.6M,youtube,argentina,False,2024,NA,NA
22,Incognita @UCef_WCjyolnGwRZEReZv7Rw,5.4M,-,Argentina,,1.6M,youtube,argentina,False,2024,NA,NA
23,LIT killah @UCExVswmCLmkkoBkjBp3Ta9Q,5.4M,4.1%,Argentina,,1.6M,youtube,argentina,False,2024,NA,NA
24,Dread Mar I - Oficial @UCXc3ye1CUoy2roNeZZB_rNA,5.2M,-,Argentina,,1.6M,youtube,argentina,False,2024,NA,NA
25,Lucas Castel :D @UCR_Te2bbmsrqvYlAmkgA2sA,5.1M,-,Argentina,,1.5M,youtube,argentina,False,2024,NA,NA
26,Spreen @UCgTOIiEgjm58xLjHvDjmgdA,5.1M,1.8%,Argentina,,1.5M,youtube,argentina,False,2024,NA,NA
27,Lyna Vlogs @UCRtkuS3Wz0hYgfJjpvEEP4Q,5M,-,Argentina,,1.5M,youtube,argentina,False,2024,NA,NA
28,Discovery Home & Health @UC8El-KamqNxKQg-r15BmIxw,5M,-,Argentina,,1.5M,youtube,argentina,False,2024,NA,NA
29,Ian Lucas @UCmzDf_a7CCFuxos7hspcWRQ,5M,-,Argentina,,1.5M,youtube,argentina,False,2024,NA,NA
30,kevsho @UC3u9cz8QzN-Qft0TRxVGfkQ,4.8M,-,Argentina,,1.4M,youtube,argentina,False,2024,NA,NA
31,KHEA @UCLbGdCqw-hfCrWlqRwOM2-Q,4.8M,4.1%,Argentina,,1.4M,youtube,argentina,False,2024,NA,NA
