rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Sarah Magusara @sarahmagusara,17.8M,0.2%,Australia,family,5.3M,tiktok,australia,False,2024,Lifestyle,MAPPED
2,JoelBergs @joelbergs,11.3M,-,Australia,Fitness and Health,3.4M,tiktok,australia,False,2024,Sports,MAPPED
3,Ash Magic💜 @ashmagic,9M,-,Australia,Entertainment and Music,2.7M,tiktok,australia,False,2024,Music,MAPPED
4,Chris Hemsworth @chrishemsworth,7.3M,6.1%,Australia,,2.2M,tiktok,australia,False,2024,NA,NA
5,Finn 🔥 @finnsreality,7.1M,-,Australia,Entertainment and Music,2.1M,tiktok,australia,False,2024,Music,MAPPED
6,Jalals @jalals,6.5M,0.5%,Australia,Entertainment and Music Funny,2M,tiktok,australia,False,2024,Music,MAPPED
7,Harry Jowsey @harryjowsey,4.9M,2.7%,Australia,,1.5M,tiktok,australia,False,2024,NA,NA
8,Andy The Sk @andythesk,4.6M,0.6%,Australia,Outdoor Activity Sports,1.4M,tiktok,australia,False,2024,Sports,MAPPED
9,Brodie Moss @ybsbrodie,4.1M,-,Australia,Nature Outdoor Activity,1.2M,tiktok,australia,False,2024,Sports,MAPPED
10,Nathan Lust @nathanlust,3.8M,-,Australia,Travel,1.1M,tiktok,australia,False,2024,Lifestyle,MAPPED
11,Baylebee 🐝 @baylebee,3.7M,0.1%,Australia,Beauty and Self Care,1.1M,tiktok,australia,False,2024,Beauty&Fashion,MAPPED
12,Demi Skinner @demiskinner,3.6M,-,Australia,Entertainment and Music,1.1M,tiktok,australia,False,2024,Music,MAPPED
13,Norris Nuts @norrisnuts,3.3M,0.2%,Australia,family,990K,tiktok,australia,False,2024,Lifestyle,MAPPED
14,The Kid LAROI. @thekidlaroi,3.1M,0.1%,Australia,,930K,tiktok,australia,False,2024,NA,NA
15,CarbonCoSkins @carboncoskins,2.3M,-,Australia,Product Showcase,690K,tiktok,australia,False,2024,Beauty&Fashion,MAPPED
16,Savannah.clarke @savannahclarkeofficial,2.2M,0.3%,Australia,,660K,tiktok,australia,False,2024,NA,NA
17,Naysy @naysy_vr,2M,-,Australia,Education Upskilling Entertainment and Music,600K,tiktok,australia,False,2024,Knowledge&Info,MAPPED
18,Esmé Louise James @esme.louisee,2M,0.1%,Australia,,600K,tiktok,australia,False,2024,NA,NA
19,AJ Clementine @ajclementine,1.9M,-,Australia,Entertainment and Music,570K,tiktok,australia,False,2024,Music,MAPPED
20,Tatenda Luna @tatendaluna,1.9M,0.2%,Australia,Entertainment and Music Fashion and Accessories,570K,tiktok,australia,False,2024,Beauty&Fashion,MAPPED
21,Troye Sivan @troyesivan,1.9M,0.1%,Australia,Entertainment and Music,570K,tiktok,australia,False,2024,Music,MAPPED
22,TayBeepBoop @taybeepboop,1.8M,4.8%,Australia,,540K,tiktok,australia,False,2024,NA,NA
23,Saksham Magic @sakshammagic,1.8M,-,Australia,Entertainment and Music,540K,tiktok,australia,False,2024,Music,MAPPED
24,Adam Tahere @adamtahere,1.7M,-,Australia,,510K,tiktok,australia,False,2024,NA,NA
25,Sia.Stasiia @stasiia.ponomore,1.7M,-,Australia,,510K,tiktok,australia,False,2024,NA,NA
26,Stephanie Coral Browitt @stephaniecoral96,1.6M,-,Australia,,480K,tiktok,australia,False,2024,NA,NA
27,Darren Levy @darrenlevyofficial,1.6M,-,Australia,,480K,tiktok,australia,False,2024,NA,NA
28,The Cob @thecob24,1.5M,0.4%,Australia,Entertainment and Music,450K,tiktok,australia,False,2024,Music,MAPPED
29,Celia Gercovich @celia.gercovich,1.5M,-,Australia,,450K,tiktok,australia,False,2024,NA,NA
30,CynicalSakura @cynicalsakura,1.5M,-,Australia,Entertainment and Music Games,450K,tiktok,australia,False,2024,Tech&Gaming,MAPPED
31,SYDNEY PURL 🤍 @sydneypurl,1.5M,-,Australia,Beauty and Self Care,450K,tiktok,australia,False,2024,Beauty&Fashion,MAPPED
32,Sam Fricker @samfrickerr,1.4M,-,Australia,,420K,tiktok,australia,False,2024,NA,NA
33,Flambo @flambothedog,1.4M,-,Australia,,420K,tiktok,australia,False,2024,NA,NA
34,Eystreem @eystreem,1.4M,0.1%,Australia,Entertainment and Music,420K,tiktok,australia,False,2024,Music,MAPPED
35,Ariella Nyssa @ariellanyssa,1.4M,-,Australia,Fashion and Accessories Entertainment and Music,420K,tiktok,australia,False,2024,Beauty&Fashion,MAPPED
36,erica padilla @ericapadilla,1.3M,-,Australia,,390K,tiktok,australia,False,2024,NA,NA
37,VenusInTheSky @benderchonkycat,1.3M,-,Australia,Nature Pets,390K,tiktok,australia,False,2024,Lifestyle,MAPPED
38,News.com.au @news.com.au,1.3M,1.4%,Australia,News,390K,tiktok,australia,False,2024,Knowledge&Info,MAPPED
