rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Bounce Patrol - Kids Songs @UC56cowXhoqRWHeqfSJkIQaA,27.3M,-,Australia,Music Pets,8.2M,youtube,australia,False,2024,Music,MAPPED
2,Chloe Ting @chloeting,24.2M,-,Australia,,7.3M,youtube,australia,False,2024,NA,NA
3,LazarBeam @UCw1SQ6QRRtfAhrN_cjkrOgA,20.3M,-,Australia,,6.1M,youtube,australia,False,2024,NA,NA
4,HowToBasic @UCR4s1DE9J4DHzZYXMltSMAg,17.1M,0.7%,Australia,,5.1M,youtube,australia,False,2024,NA,NA
5,How Ridiculous @UC5f5IV0Bf79YLp_p9nfInRA,12.7M,5.8%,Australia,,3.8M,youtube,australia,False,2024,NA,NA
6,Primitive Technology @UCAL3JXZSzSm8AlZyD3nQdBA,10.7M,-,Australia,,3.2M,youtube,australia,False,2024,NA,NA
7,JoshDub @UC9DWJ33CMvIseLlyx6hyRnA,9.7M,0.5%,Australia,,2.9M,youtube,australia,False,2024,NA,NA
8,Muselk @UCd534c_ehOvrLVL2v7Nl61w,9.3M,-,Australia,,2.8M,youtube,australia,False,2024,NA,NA
9,cricket.com.au @UCkBY0aHJP9BwjZLDYxAQrKg,8.6M,-,Australia,,2.6M,youtube,australia,False,2024,NA,NA
10,KjraGaming @UCP-CAwOG0AiieZNFdONsN5Q,8.6M,-,Australia,,2.6M,youtube,australia,False,2024,NA,NA
11,Hillsong Worship @UC4q12NoPNySbVqwpw4iO5Vg,8.3M,-,Australia,,2.5M,youtube,australia,False,2024,NA,NA
12,Fresh @UCqsBym4OHrzSp0Nq1eZoMIA,7.8M,0.3%,Australia,,2.3M,youtube,australia,False,2024,NA,NA
13,The Rybka Twins @UC-TFz4MD1ZzcY6NuZAP3Ndw,7.6M,0.1%,Australia,Fitness Fashion Beauty,2.3M,youtube,australia,False,2024,Sports,MAPPED
14,XtremeGamez @UCLe_kjXzRP_0opzw-BXiQxw,7.2M,5.4%,Australia,,2.2M,youtube,australia,False,2024,NA,NA
15,Hebbars Kitchen @UCPPIsrNlEkaFQBk-4uNkOaw,7M,-,Australia,,2.1M,youtube,australia,False,2024,NA,NA
16,RackaRacka @UCz_cDc_2arKIb6SlJoqFT0w,6.7M,0.7%,Australia,,2M,youtube,australia,False,2024,NA,NA
17,Eystreem @UC-g_O9HWb5B0rVDG1hLd5Hw,6.3M,-,Australia,Video Gaming,1.9M,youtube,australia,False,2024,Tech&Gaming,MAPPED
18,SMG4 @smg4,6.1M,1.1%,Australia,,1.8M,youtube,australia,False,2024,NA,NA
19,The Norris Nuts @UCYd0us2OtW4d4-1cfpT2ktw,6M,0.8%,Australia,,1.8M,youtube,australia,False,2024,NA,NA
20,Mully @UC42vK81HwLY-udUEJYz7efg,5.7M,-,Australia,,1.7M,youtube,australia,False,2024,NA,NA
21,Planet Dolan @UCgJjd8J5moTQSwnCIx4WSIw,5.6M,-,Australia,,1.7M,youtube,australia,False,2024,NA,NA
22,The Mik Maks @UC66KzYUMWmN4PralND7cgAA,5.5M,-,Australia,Music,1.6M,youtube,australia,False,2024,Music,MAPPED
23,HighlightsNepal @UCrzyJYtjLOTfnUur8hsr7ow,5.4M,-,Australia,,1.6M,youtube,australia,False,2024,NA,NA
24,mmmEnglish @UCrRiVfHqBIIvSgKmgnSY66g,5.3M,-,Australia,,1.6M,youtube,australia,False,2024,NA,NA
25,Tones And I @UCQeiBlCcS4-XGwFjrvDn96w,5.2M,-,Australia,,1.6M,youtube,australia,False,2024,NA,NA
26,Saksham magic @UCVxR8M2OeHf4BdKzzzpz83A,5M,-,Australia,,1.5M,youtube,australia,False,2024,NA,NA
27,Prestige Clips @UCC-uu-OqgYEx52KYQ-nJLRw,4.9M,-,Australia,,1.5M,youtube,australia,False,2024,NA,NA
28,How To Cook That @UCsP7Bpw36J666Fct5M8u-ZA,4.9M,0.8%,Australia,,1.5M,youtube,australia,False,2024,NA,NA
29,Jalals @UCcf0WYfeIkecTLQ_GzkBu1w,4.6M,-,Australia,,1.4M,youtube,australia,False,2024,NA,NA
30,Nadeem Sarwar @UC2kCC6CFwU3cZFJl9e_FJlQ,4.5M,2.1%,Australia,,1.3M,youtube,australia,False,2024,NA,NA
31,WadZee @UCRlEFn0L2G_DktbyvN0AZ5A,4.5M,4.2%,Australia,,1.3M,youtube,australia,False,2024,NA,NA
32,ColdFusion @UC4QZ_LsYcvcq7qOsOhpAX4A,4M,-,Australia,,1.2M,youtube,australia,False,2024,NA,NA
33,LazarLazar @UCZ3AmknSJtbzXCeO5a4peoQ,3.9M,3.4%,Australia,,1.2M,youtube,australia,False,2024,NA,NA
34,TwoSetViolin @UCAzKFALPuF_EPe-AEI0WFFw,3.8M,0.7%,Australia,,1.2M,youtube,australia,False,2024,NA,NA
35,VuJae @UCstrYVM0-fSq3i2JJvaubBg,3.7M,1.5%,Australia,,1.1M,youtube,australia,False,2024,NA,NA
36,LT.LICKME @UCfDuOF_6Mk-S1UJZoky15Og,3.7M,1.9%,Australia,Celebrity,1.1M,youtube,australia,False,2024,Entertainment,MAPPED
37,Mighty Car Mods @UCgJRL30YS6XFxq9Ga8W2J3A,3.7M,0.5%,Australia,,1.1M,youtube,australia,False,2024,NA,NA
38,Tina Yong @UC0ng0jJflTuJBBH5DGvr1Pw,3.6M,-,Australia,,1.1M,youtube,australia,False,2024,NA,NA
39,Internet Historian @UCR1D15p_vdP3HkrH8wgjQRw,3.6M,14.2%,Australia,,1.1M,youtube,australia,False,2024,NA,NA
40,YBS Youngbloods @UCSnwORddxZG1SyB8lSxWQGg,3.5M,0.5%,Australia,,1.1M,youtube,australia,False,2024,NA,NA
41,Wolfychu @UC_nEHeUEVNY5ZYLRWg8KoZQ,3.4M,-,Australia,,1M,youtube,australia,False,2024,NA,NA
42,Lauren Curtis @UCXbQzhqSvgVZTUyi1T4AU3w,3.4M,-,Australia,Beauty,1M,youtube,australia,False,2024,Beauty&Fashion,MAPPED
43,I did a thing @UCJLZe_NoiG0hT7QCX_9vmqw,3.3M,4.8%,Australia,,999K,youtube,australia,False,2024,NA,NA
44,Mastersaint @UCR0It5-1cif1cMKBUtUW8pg,3.3M,5.6%,Australia,,975K,youtube,australia,False,2024,NA,NA
45,superwog1 @UCQr98dS-5M_1xILTm4HAk-A,3.2M,2.9%,Australia,Celebrity,954K,youtube,australia,False,2024,Entertainment,MAPPED
46,x2Twins @UCTgQTM6B97Tk5FPNOWZMB1Q,3.1M,0.5%,Australia,,936K,youtube,australia,False,2024,NA,NA
47,EmKay @UCzEnk4KWFlSj_PjXLz0-GMA,3.1M,-,Australia,,927K,youtube,australia,False,2024,NA,NA
48,Programming with Mosh @UCWv7vMbMWH4-V0ZXdmDpPBA,3.1M,-,Australia,,924K,youtube,australia,False,2024,NA,NA
49,Sheet Music Boss @UCzTR9iSH-TFC4-ocDS_ll4A,3M,-,Australia,,891K,youtube,australia,False,2024,NA,NA
50,Sky News Australia @UCO0akufu9MOzyz3nvGIXAAw,3M,-,Australia,,888K,youtube,australia,False,2024,NA,NA
51,Tommy Craze @UC_EuakPoEj8zS-vFHrDmkwg,2.9M,0.6%,Australia,Music,882K,youtube,australia,False,2024,Music,MAPPED
52,Slapped Ham @UCw4ccFtBN7dhQBcHmE0qylg,2.9M,-,Australia,,873K,youtube,australia,False,2024,NA,NA
53,Jason Stephenson - Sleep Meditation Music @UCqPYhcdFgrlUXiGmPRAej1w,2.9M,-,Australia,,867K,youtube,australia,False,2024,NA,NA
54,Code Bullet @UC0e3QhIYukixgh5VVpKHH9Q,2.8M,7.6%,Australia,,846K,youtube,australia,False,2024,NA,NA
55,Click @UCELEYV16ItX8pNkg8EuVY7g,2.8M,4.4%,Australia,,840K,youtube,australia,False,2024,NA,NA
56,TigerTomato @UCCa0BnCIDBGzmw4daUGZ0yg,2.8M,-,Australia,,828K,youtube,australia,False,2024,NA,NA
57,Jiemba Sands @UCDb8-E9XyZnyAA7QB_SD8Sg,2.7M,0.3%,Australia,,819K,youtube,australia,False,2024,NA,NA
58,William Singe @UCmgraatPo7ScrvCuQxNTG7g,2.7M,-,Australia,,810K,youtube,australia,False,2024,NA,NA
