rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,David Alaba @davidalaba,14.3M,1.8%,Austria,Sports,4.3M,instagram,austria,False,2024,Sports,MAPPED
2,Oracle Red Bull Racing @redbullracing,10.9M,1.05%,Austria,Sports Auto and Vehicles Automotive Racing,3.3M,instagram,austria,False,2024,Sports,MAPPED
3,𝐏𝐑𝐈𝐍𝐂𝐄𝐒𝐒 𝐃𝐑. 𝐒𝐀𝐌𝐈𝐑𝐀 𝐒𝐀𝐌𝐈𝐈 @samirasamii_official_page,2.6M,-,Austria,Fashion,774.7K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
4,Fabio Wibmer @wibmerfabio,2.5M,4.47%,Austria,Sports,758.6K,instagram,austria,False,2024,Sports,MAPPED
5,Doctor Elbi @dr.elbi,2M,0.01%,Austria,Health and Medical Services,611.7K,instagram,austria,False,2024,Knowledge&Info,MAPPED
6,RAF Camora @raf_camora,1.9M,2.57%,Austria,Rap,560.8K,instagram,austria,False,2024,UNMAPPED,UNMAPPED
7,تالين بازارباشيان 💫 @talin_tube,1.6M,5.12%,Austria,Entertainment and Music,488.9K,instagram,austria,False,2024,Music,MAPPED
8,Manuel Bechter | Creative Photography @manuel_bechter,1.6M,3.92%,Austria,Arts and Crafts Photography Artist,467.3K,instagram,austria,False,2024,Lifestyle,MAPPED
9,Dragana Mirković @dragana_mirkovic,1.5M,2.38%,Austria,Entertainment and Music Music,450.3K,instagram,austria,False,2024,Music,MAPPED
10,Stephanie Davis @stephaniedavis,1.4M,3.86%,Austria,Fashion and Accessories Fitness and Health Business and Finance Health & Fitness,434.3K,instagram,austria,False,2024,Sports,MAPPED
11,Valeria Vedovatti ✈ @valevedovatti,1.4M,2.23%,Austria,Arts and Crafts Fashion and Accessories Lifestyle,425.1K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
12,Dominic Thiem @domithiem,1.4M,1.88%,Austria,Sports Personal Finance Tennis,424.4K,instagram,austria,False,2024,Sports,MAPPED
13,Lion🦁 @emam.ashour90,1.4M,14.22%,Austria,,419K,instagram,austria,False,2024,NA,NA
14,Lisa-Marie Schiffner @lisamarie_schiffner,1.4M,3.83%,Austria,Beauty and Self Care Fashion and Accessories Arts and Crafts Business and Finance,410.1K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
15,@inkstaboy,1.2M,12.35%,Austria,"Photography Celebrities Film, Music & Books",374.9K,instagram,austria,False,2024,Knowledge&Info,MAPPED
16,Irina Meier @irine_meier,1.2M,6.81%,Austria,Animation and Cosplay Anime Comics Film,364.4K,instagram,austria,False,2024,Tech&Gaming,MAPPED
17,Harald Goebl @haraldgoebl,1.1M,0.01%,Austria,Nature Photography Business and Finance,341.8K,instagram,austria,False,2024,Knowledge&Info,MAPPED
18,Franz Müllner @muellnerfranz,1.1M,2.25%,Austria,Sports Entertainment and Music,339.6K,instagram,austria,False,2024,Sports,MAPPED
19,Costina Munteanu @costina_got_curves,1.1M,0.43%,Austria,Fashion and Accessories Modeling Plus Size,333.2K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
20,ISABELLA MUELLER @isabella_muenchen,1.1M,7.69%,Austria,Travel Education Food and Drink Lifestyle,328.3K,instagram,austria,False,2024,Knowledge&Info,MAPPED
21,Mahmoud Alaa - محمود علاء @mahmoudalaa.4,1.1M,1.91%,Austria,Sports,323K,instagram,austria,False,2024,Sports,MAPPED
22,Pooyan Ghamari @pooyanghamari,1.1M,14.56%,Austria,Technology Business and Finance,318.3K,instagram,austria,False,2024,Knowledge&Info,MAPPED
23,Katarzyna Czułek @katarzyna_czulek,1M,0.3%,Austria,Fashion and Accessories Beauty and Self Care Entertainment and Music,300.8K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
24,Michael Perdacher @michael_perdacher,842.2K,14.98%,Austria,Fitness and Health Pets Dogs,252.6K,instagram,austria,False,2024,Sports,MAPPED
25,Pol Espargaró @polespargaro,791.8K,1.06%,Austria,Auto and Vehicles Riders Motorcycle Racing Motorcycle,237.5K,instagram,austria,False,2024,Sports,MAPPED
26,Christina LionsCat 🐱 @christina_lionscat,739.1K,6.55%,Austria,Arts and Crafts Fashion and Accessories,221.7K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
27,Kerstin Häfner @info_best_age,731.5K,1.5%,Austria,Beauty and Self Care Fashion and Accessories,219.5K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
28,richkids__limited @richkids__limited,726.9K,0.33%,Austria,Fashion and Accessories,218.1K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
29,VANESSA MARIPOSA @vanessa_mariposa,725.2K,0.53%,Austria,Fitness and Health Product Showcase Business and Finance Actors,217.6K,instagram,austria,False,2024,Sports,MAPPED
30,Jackie @jackie_blabla,703.8K,1.62%,Austria,Fashion and Accessories Parenting Piercing,211.1K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
31,Florian Maček 🇦🇹 @florianmacek,703.4K,2.03%,Austria,Life and Society,211K,instagram,austria,False,2024,Knowledge&Info,MAPPED
32,Onome Egger @onome_egger,691.9K,1.22%,Austria,Fitness and Health Training Coaching,207.6K,instagram,austria,False,2024,Sports,MAPPED
33,Yusuf Demir @yusufdemir.10,691.1K,8.72%,Austria,,207.3K,instagram,austria,False,2024,NA,NA
34,Josephine Welsch @josephine_welsch,682.8K,0.63%,Austria,family Lifestyle Moms,204.8K,instagram,austria,False,2024,Lifestyle,MAPPED
35,Stefanie Millinger @stefaniemillinger,681.8K,1.93%,Austria,Entertainment and Music Outdoor Activity Sports Home and Garden,204.5K,instagram,austria,False,2024,Sports,MAPPED
36,Marcel Hirscher @marcel__hirscher,679.4K,2.25%,Austria,Sports Mountain Racing Ski,203.8K,instagram,austria,False,2024,Sports,MAPPED
37,Karim Mohsen - كريم محسن @karimmohsenofficial,667.4K,0.16%,Austria,Entertainment and Music Music Singer,200.2K,instagram,austria,False,2024,Music,MAPPED
38,Stefan Petrov @stefanpetrov,627.6K,0.89%,Austria,Travel Acting and Drama Celebrity Actors,188.3K,instagram,austria,False,2024,Entertainment,MAPPED
39,Patrick Florián @misterflopatrick,616.1K,0.32%,Austria,Photography Nature & Outdoors,184.8K,instagram,austria,False,2024,Lifestyle,MAPPED
40,TINA @tinaneumann,609.2K,0.36%,Austria,Fashion and Accessories Lifestyle,182.8K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
41,PATRICK LANDROCK | STARK VENTURE GmbH ® @patrick.landrock,586.8K,2.27%,Austria,Finance Business and Finance,176.1K,instagram,austria,False,2024,Knowledge&Info,MAPPED
42,Salma Ezz Eldein سلمى عزالدين @salmaezzeldein,561.1K,0.48%,Austria,Modeling Music,168.3K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
43,JEANNE GREY • NYC/NJ @thegreylayers,555.8K,2.06%,Austria,Beauty Fashion and Accessories Beauty and Self Care Business and Finance,166.7K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
44,Menna Ismail @mennnaismail_,505.9K,2.42%,Austria,Funny Life and Society,151.8K,instagram,austria,False,2024,Knowledge&Info,MAPPED
45,Augusta Alexander @augusta_alexander,505.7K,1.9%,Austria,Fashion and Accessories Modeling,151.7K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
46,Renato Glibusic @jay.vavo,502.5K,0.97%,Austria,Fashion and Accessories Travel Streetwear Lifestyle,150.7K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
47,Arbi AgGressor @arbi_emiev_aggressor_,491.5K,5.91%,Austria,Fitness and Health Outdoor Activity Sports,147.4K,instagram,austria,False,2024,Sports,MAPPED
48,Kelz 🇳🇬🇦🇹| TV | Athlete | Lifestyle | Mindset @kelechidyke,487.7K,0.28%,Austria,Fitness and Health,146.3K,instagram,austria,False,2024,Sports,MAPPED
49,Anna Gasser @annagassersnow,484.8K,3.4%,Austria,Sports,145.4K,instagram,austria,False,2024,Sports,MAPPED
50,Derzwuckundich - Iulia Huber-Purdea @derzwuckundich,461.4K,3.22%,Austria,family Education Upskilling Funny,138.4K,instagram,austria,False,2024,Knowledge&Info,MAPPED
51,GERID RUX🦋 @gerid_rux,448.8K,1.44%,Austria,Fitness and Health Product Showcase Food and Drink Lifestyle,134.6K,instagram,austria,False,2024,Sports,MAPPED
52,Elisa Selina Albrich @elisa_albrich,444.1K,1.45%,Austria,Fashion and Accessories Modeling,133.2K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
53,𝕭enjamin 𝕷aukis 🇦🇺 @benjaminlaukis,424.3K,0.57%,Austria,Arts and Crafts Fashion and Accessories Home and Garden Piercing,127.3K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
54,Jorge Bordón @cocobordon,420.2K,0.21%,Austria,Arts and Crafts Actors Modeling,126.1K,instagram,austria,False,2024,Beauty&Fashion,MAPPED
