rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Eden Hazard @hazardeden_10,27.6M,4.14%,Belgium,Sports Soccer,8.3M,instagram,belgium,False,2024,Sports,MAPPED
2,Kevin De Bruyne @kevindebruyne,24M,3.14%,Belgium,Sports Soccer,7.2M,instagram,belgium,False,2024,Sports,MAPPED
3,Jean-Claude Van Damme @jcvd,7.4M,2.4%,Belgium,Acting and Drama,2.2M,instagram,belgium,False,2024,Entertainment,MAPPED
4,Dimitri Vegas & Like Mike @dimitrivegasandlikemike,4.8M,0.39%,Belgium,Entertainment and Music Celebrity DJ,1.4M,instagram,belgium,False,2024,Music,MAPPED
5,Haico Van der Veken @haico.vdv,3.9M,0.4%,Belgium,Food,1.2M,instagram,belgium,False,2024,Lifestyle,MAPPED
6,le rappeur damso @thedamso,2.7M,15.03%,Belgium,"Celebrities Fashion Film, Music & Books",807.3K,instagram,belgium,False,2024,Beauty&Fashion,MAPPED
7,Michy Batshuayi @mbatshuayi,2.5M,2%,Belgium,Sports Soccer,758.1K,instagram,belgium,False,2024,Sports,MAPPED
8,Marouane Fellaini @fellaini,2.4M,0.5%,Belgium,Sports Soccer,711.3K,instagram,belgium,False,2024,Sports,MAPPED
9,Dimitri “Vegas” Thivaios @dimitrivegas,2.2M,4.23%,Belgium,Entertainment and Music Celebrity Actors Music,672.6K,instagram,belgium,False,2024,Music,MAPPED
10,Amelie Lens @amelie_lens,2.2M,3.43%,Belgium,Entertainment and Music DJ Producers Music,669.7K,instagram,belgium,False,2024,Music,MAPPED
11,ᎪDIXIᎪ @adixia,2.2M,0.84%,Belgium,Entertainment and Music Music Lifestyle,660.2K,instagram,belgium,False,2024,Music,MAPPED
12,Charlotte de Witte @charlottedewittemusic,2.1M,2.05%,Belgium,Entertainment and Music Food Food and Drink Music,634.2K,instagram,belgium,False,2024,Music,MAPPED
13,Dries Mertens @driesmertens,1.9M,8.9%,Belgium,Modeling Fashion Music,561K,instagram,belgium,False,2024,Beauty&Fashion,MAPPED
14,Cute content creator @mikomihokina,1.8M,1.35%,Belgium,Arts and Crafts Modeling,547.1K,instagram,belgium,False,2024,Beauty&Fashion,MAPPED
