rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Chris Lobanzo @chrislobanzo,6.5M,-,Belgien,Unterhaltung und Musik Business und Finanzen,2M,tiktok,belgium,False,2024,Knowledge&Info,MAPPED,Entertainment and music business and finance
2,The Window Master @timothytancre,5.8M,-,Belgien,Fotografie,1.7M,tiktok,belgium,False,2024,UNMAPPED,UNMAPPED,Photo
3,Charlene @charlenevanwerveke,4.2M,-,Belgien,Romantik und Hochzeit,1.3M,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Romance and wedding
4,Stien Edlund @stienedlund,4.1M,-,Belgien,Mode und Accessoires,1.2M,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
5,aaron vancoppenolle @aaronthepoolshark,3.3M,-,Belgien,Unterhaltung und Musik,990K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
6,SAB ♑️ @imallpanicnodisco,2.2M,-,Belgien,Unterhaltung und Musik,660K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
7,Dylhan Fat @dylhanfat,1.9M,-,Belgien,Unterhaltung und Musik,570K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
8,RSC Anderlecht @rscanderlecht,1.1M,-,Belgien,Sport,330K,tiktok,belgium,False,2024,Sports,MAPPED,Sport
9,Nathan Nuyts @nathannuyts,1.1M,-,Belgien,,330K,tiktok,belgium,False,2024,NA,NA,
10,𝕔𝕒𝕝𝕚𝕤𝕦𝕣𝕥𝕚𝕜𝕥𝕠𝕜 @calisurtiktok,1.1M,0.1%,Belgien,DIY und Lebenshacks Unterhaltung und Musik,330K,tiktok,belgium,False,2024,Music,MAPPED,DIY and life hacks entertainment and music
11,PressTube @presstube,979.9K,-,Belgien,,294K,tiktok,belgium,False,2024,NA,NA,
12,Gracekitoko @gracekitoko.rdc,863.1K,-,Belgien,,258.9K,tiktok,belgium,False,2024,NA,NA,
13,Jeanfils @jeanfilslevrai,859.1K,-,Belgien,,257.7K,tiktok,belgium,False,2024,NA,NA,
14,Acrozzz @acrozzz.drift,843K,-,Belgien,Videospiel,252.9K,tiktok,belgium,False,2024,Tech&Gaming,MAPPED,Video game
15,Melissa / Parastou @melissa.kiani141595,815.3K,-,Belgien,,244.6K,tiktok,belgium,False,2024,NA,NA,
16,🦋💫yörük_kızı🦋💫 @deroo_42,775.3K,0.1%,Belgien,,232.6K,tiktok,belgium,False,2024,NA,NA,
17,TikTok queen 🇮🇹🇧🇪 @rose3brown,724.3K,-,Belgien,,217.3K,tiktok,belgium,False,2024,NA,NA,
18,Stevebrada @stevebradaa,679K,-,Belgien,Lustig,203.7K,tiktok,belgium,False,2024,UNMAPPED,UNMAPPED,Lustig
19,Grisela @grissy_,663K,-,Belgien,Unterhaltung und Musik Essen,198.9K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music food
20,Macdi @macdi_off,648.2K,-,Belgien,,194.5K,tiktok,belgium,False,2024,NA,NA,
21,HIJAB STYLE 🧕 @hijabx2022,642.1K,0.3%,Belgien,Mode und Accessoires,192.6K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
22,Club Brugge @clubbrugge,635.7K,-,Belgien,Sport,190.7K,tiktok,belgium,False,2024,Sports,MAPPED,Sport
23,Chloé Lebacq @spicyychloebaby,628.8K,-,Belgien,Romantik und Hochzeit,188.6K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Romance and wedding
24,Sarah B.💛 @sarah_bossuwe,612.7K,-,Belgien,,183.8K,tiktok,belgium,False,2024,NA,NA,
25,Denisa Berisha @d.enisaaa,586.8K,-,Belgien,,176K,tiktok,belgium,False,2024,NA,NA,
26,Ramos Hajjaj @ramoshajjaj,579K,-,Belgien,,173.7K,tiktok,belgium,False,2024,NA,NA,
27,แบงค์ @bankkk695,575K,0.2%,Belgien,,172.5K,tiktok,belgium,False,2024,NA,NA,
28,iTunes @odayalsafar,571.2K,-,Belgien,,171.4K,tiktok,belgium,False,2024,NA,NA,
29,Emilie and Jonas @emiliexojonas,570.2K,-,Belgien,Romantik und Hochzeit,171.1K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Romance and wedding
30,Schoolfightquality @schoolfightquality,569K,14.1%,Belgien,,170.7K,tiktok,belgium,False,2024,NA,NA,
31,Mackenzie Brilot @mackenziebrilot,565.3K,-,Belgien,,169.6K,tiktok,belgium,False,2024,NA,NA,
32,Stijn Saman - Stino @stijnsaman,540.8K,0.4%,Belgien,Unterhaltung und Musik,162.2K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
33,Stlarusse🤪🤣 @stlarussee,535.4K,-,Belgien,Unterhaltung und Musik,160.6K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
34,سيد دنياصور 🦖 @mosayosf1,516.6K,-,Belgien,,155K,tiktok,belgium,False,2024,NA,NA,
35,Average Rob @averagerob,502.3K,0.2%,Belgien,,150.7K,tiktok,belgium,False,2024,NA,NA,
36,Célia @celia_itvai,492.9K,0.8%,Belgien,,147.9K,tiktok,belgium,False,2024,NA,NA,
37,Jeny Bsg @jenybsg93,488.3K,-,Belgien,Unterhaltung und Musik,146.5K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
