rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Tomorrowland @tomorrowland,10.7M,-,Belgium,,3.2M,youtube,belgium,False,2024,NA,NA
2,PressTube @UCZ3vyIYUy5yK0i-RJwpdoSg,3M,-,Belgium,,897K,youtube,belgium,False,2024,NA,NA
3,Cinecom.net @UCpLfM1_MIcIQ3jweRT19LVw,2.5M,-,Belgium,,750K,youtube,belgium,False,2024,NA,NA
4,Jeanfils @UCGjUTQ-YV71V7T6WfdmZDiw,2.2M,0.6%,Belgium,,666K,youtube,belgium,False,2024,NA,NA
5,gaelle garcia diaz @UCI0mw0nNF16fl0hQUD985VA,2M,-,Belgium,,588K,youtube,belgium,False,2024,NA,NA
6,The Voice Kids Belgium @UC4KmVCdb3BAxZ5tZAbc3NrQ,1.8M,-,Belgium,,531K,youtube,belgium,False,2024,NA,NA
7,Celine & Michiel @celinemichiel,1.7M,0.2%,Belgium,,504K,youtube,belgium,False,2024,NA,NA
8,Angèle @UCiP2tOO8zRo47GFd5rc8rkA,1.6M,2.2%,Belgium,,471K,youtube,belgium,False,2024,NA,NA
9,BelgoTürk @UCZvSNBeCMFMeOh27m1ywXZw,1.5M,-,Belgium,,450K,youtube,belgium,False,2024,NA,NA
10,LufyMakes YouUp @UC5N5jACt1Si7YPdy-_2AUag,1.5M,0.3%,Belgium,,441K,youtube,belgium,False,2024,NA,NA
11,OussiFooty @UC-5zFN-bs6fB_MBRBtAlg4Q,1.3M,-,Belgium,,396K,youtube,belgium,False,2024,NA,NA
12,BeamNG-Destruction @UC24cHExdzjNKktUUtrQnmYw,1.3M,-,Belgium,,381K,youtube,belgium,False,2024,NA,NA
13,Velosofy @UC93pgSQPa-JOihL5I_pvkAA,1.1M,-,Belgium,,321K,youtube,belgium,False,2024,NA,NA
14,Lost Frequencies @UCdKS_mDSLUkS6vDK6u1mjOg,1.1M,0.4%,Belgium,,318K,youtube,belgium,False,2024,NA,NA
15,Esoterics for You: Horoscopes. Rituals. Tips. @UC750ojNf94wjQoCKd8A1OSA,1.1M,-,Belgium,,318K,youtube,belgium,False,2024,NA,NA
16,Dutchtuber2 @UCkhBnxfBU4r47c6CtDNWIfg,1.1M,-,Belgium,,315K,youtube,belgium,False,2024,NA,NA
17,FRANCISCO PINALES VIDA DE ORACIÓN @UCpsqdFdnWU7LCWbYASFnOzw,1M,0.4%,Belgium,,309K,youtube,belgium,False,2024,NA,NA
18,COMPASSION TV @egliselacompassion,926K,0.1%,Belgium,,277.8K,youtube,belgium,False,2024,NA,NA
19,WaZz @UCfzXKxo0egNwE76Eb8pldTA,877K,1.5%,Belgium,,263.1K,youtube,belgium,False,2024,NA,NA
20,قناة طبخ من بغداد @UCFjT6urfenOJO2Qv_8DnpnQ,849K,0.2%,Belgium,,254.7K,youtube,belgium,False,2024,NA,NA
21,Michael Lim @UC5cEEpOjY2XVzGylMhjEnoQ,844K,-,Belgium,,253.2K,youtube,belgium,False,2024,NA,NA
22,Geo History @UC2Cl2g2xFTZoAEldxYVzQFg,838K,-,Belgium,,251.4K,youtube,belgium,False,2024,NA,NA
23,Linda Halab - ليندا حلب @UCx24Z9pH6QV_RcUTj9hc90g,836K,-,Belgium,,250.8K,youtube,belgium,False,2024,NA,NA
24,Ella Kasumovic @UC-AjSJctLEImM02gJZp0Kqw,787K,-,Belgium,,236.1K,youtube,belgium,False,2024,NA,NA
25,Arthas @UCbt5BCs0aUDgNwRaUnKtXwA,778K,0.8%,Belgium,,233.4K,youtube,belgium,False,2024,NA,NA
26,Koda @UCcq_20MRiMJAez-dhXt6q5Q,772K,4.7%,Belgium,,231.6K,youtube,belgium,False,2024,NA,NA
27,CHEF OKTAY USTA @UC9P7X0l9D4tOoTAnepblE9A,755K,-,Belgium,,226.5K,youtube,belgium,False,2024,NA,NA
28,Anas Headshot @UCx6PKRekOI8wOKlz21YqN5w,726K,0.9%,Belgium,,217.8K,youtube,belgium,False,2024,NA,NA
29,Fred Mastro @UCkAgTd8YQRSwPqzScsWs7nw,723K,0.1%,Belgium,,216.9K,youtube,belgium,False,2024,NA,NA
30,BarcaStudio @UCuBYkBL4dVMIbh9Z9CZpofA,682K,2.7%,Belgium,,204.6K,youtube,belgium,False,2024,NA,NA
31,ScreaM @UCOpuMFmU3RyTeXejHWldXkA,677K,0.6%,Belgium,,203.1K,youtube,belgium,False,2024,NA,NA
32,Chuki Beats @UCSyBSyLk4ZvXd2Fj-tLojag,648K,-,Belgium,,194.4K,youtube,belgium,False,2024,NA,NA
33,Poppen Atelier / Doll Art Studio @UCcYRw5J5-C8plZoeZ7x2QQw,645K,-,Belgium,Art,193.5K,youtube,belgium,False,2024,Lifestyle,MAPPED
34,Sander Bauwens @UC2dJa-E7V3vYISma7vBVK8g,636K,-,Belgium,,190.8K,youtube,belgium,False,2024,NA,NA
35,WEBA the CRAZY @UCx9DXebqSGNHx82eDHxs3Qg,634K,-,Belgium,,190.2K,youtube,belgium,False,2024,NA,NA
36,Roméo Elvis @UCrLTHz-a-RgeVCkx4iOhs0w,607K,0.7%,Belgium,,182.1K,youtube,belgium,False,2024,NA,NA
37,سيد دنياصور🦖 @UC2fosO3qIpvlLWpa1zMAv1A,605K,-,Belgium,,181.5K,youtube,belgium,False,2024,NA,NA
38,Simple Symphony @simplesymphony,604K,-,Belgium,,181.2K,youtube,belgium,False,2024,NA,NA
39,ICO @UCQzRMPX5VvPkQeccJeJV7vA,584K,6%,Belgium,,175.2K,youtube,belgium,False,2024,NA,NA
40,Nobø @UCLhatt3vqTQcraAZidM24IA,578K,-,Belgium,,173.4K,youtube,belgium,False,2024,NA,NA
41,GamingRevenant @UCinbyy9XpqiQ5vxDz4H4IQw,577K,0.1%,Belgium,,173.1K,youtube,belgium,False,2024,NA,NA
42,FL STUDIO by Image-Line Software @UCtYw-H_L5D09T9uWeNBUvqg,571K,0.2%,Belgium,,171.3K,youtube,belgium,False,2024,NA,NA
43,TNT Records @UCU7l4Kh7tcohFxw7FuhLT3A,562K,-,Belgium,,168.6K,youtube,belgium,False,2024,NA,NA
44,Disney Belgique @UClSqgJRF0r7u8G3EQ-RcCZg,552K,-,Belgium,,165.6K,youtube,belgium,False,2024,NA,NA
45,Red1 ريد ون @UCla1a--X34us6oJyxyUUA6A,544K,-,Belgium,,163.2K,youtube,belgium,False,2024,NA,NA
46,ExVSK @UCtZP0L7yoEycj6w-f7uVNaA,528K,-,Belgium,,158.4K,youtube,belgium,False,2024,NA,NA
47,Mors Mutual Insurance @UCi3GT08RqryJMN8sf6a-Rmg,526K,3%,Belgium,,157.8K,youtube,belgium,False,2024,NA,NA
48,Jeanpapa @UCUgqKHnlUPMbUQ5UCP8qTGQ,526K,2.7%,Belgium,,157.8K,youtube,belgium,False,2024,NA,NA
49,Adz @UCThCNwkoulcOTwcq28OdqhQ,522K,0.1%,Belgium,,156.6K,youtube,belgium,False,2024,NA,NA
50,DJLass Angel Vibes @UCI2YeqXt5lNuuNhtESwJXjw,521K,-,Belgium,,156.3K,youtube,belgium,False,2024,NA,NA
51,Achkayen Press @UC4wl5Kd_b4ff6s6SijJJoOg,516K,-,Belgium,,154.8K,youtube,belgium,False,2024,NA,NA
52,Charlotte de Witte @UC-yOW3e6zBSo1JwLXq46Suw,505K,1.1%,Belgium,,151.5K,youtube,belgium,False,2024,NA,NA
53,silent jill @UCtMLA41qHMdX5qVnJf0OrDQ,491K,3.3%,Belgium,,147.3K,youtube,belgium,False,2024,NA,NA
54,Kelly Libna @UClEScPiPnfYjTVPcTOTHobA,489K,-,Belgium,,146.7K,youtube,belgium,False,2024,NA,NA
55,Chuki Beats II @UC4Oy0UtQpTBGX46q_OkWzXg,484K,0.2%,Belgium,Music,145.2K,youtube,belgium,False,2024,Music,MAPPED
56,RealFeriel @UCz36BZOtKGyDXapEm-Q_HBQ,483K,-,Belgium,,144.9K,youtube,belgium,False,2024,NA,NA
57,BIP Records @UC1HWXv1JSrbTn40lME-sQnw,481K,-,Belgium,,144.3K,youtube,belgium,False,2024,NA,NA
58,Team Bwowos @UCl61X9A9EQEQ9JZx1nqAfyw,479K,-,Belgium,,143.7K,youtube,belgium,False,2024,NA,NA
59,Baby Relax Channel Россия @UCJJJE6L4TmWaa10zsYbkNnA,471K,-,Belgium,,141.3K,youtube,belgium,False,2024,NA,NA
60,Caballero & JeanJass @UCeg0PVLfsBKFLGd9V_EvbGA,469K,-,Belgium,,140.7K,youtube,belgium,False,2024,NA,NA
61,Ferre Gola TV Officiel @UC50C2EVYREngY7d_ujAFp5w,466K,-,Belgium,,139.8K,youtube,belgium,False,2024,NA,NA
62,VTM @UCAuPxvCTxQLY4NvMsya9K2w,463K,-,Belgium,,138.9K,youtube,belgium,False,2024,NA,NA
63,ExoticCarspotters @UCdj-FuozCbkMFlxiFrWXXMA,462K,-,Belgium,,138.6K,youtube,belgium,False,2024,NA,NA
64,رنا كباريتي - Rana kabarete @UCT9lK_BT78imt53Tm4tn84g,459K,-,Belgium,,137.7K,youtube,belgium,False,2024,NA,NA
65,Manga Workout @UC4jJLUOBhHi3kT3zSuyn28g,457K,-,Belgium,,137.1K,youtube,belgium,False,2024,NA,NA
66,Tarmac @tarmacrtbf,452K,-,Belgium,,135.6K,youtube,belgium,False,2024,NA,NA
67,Mary Braun @UCao4a5ju7QRScI_tnf2MArw,452K,-,Belgium,Fitness,135.6K,youtube,belgium,False,2024,Sports,MAPPED
68,Ludø @UC6PHmyVFBekc9pFsZdn0dPw,439K,0.1%,Belgium,,131.7K,youtube,belgium,False,2024,NA,NA
69,Simply Explained @UCnxrdFPXJMeHru_b4Q_vTPQ,435K,0.9%,Belgium,,130.5K,youtube,belgium,False,2024,NA,NA
70,Viction @UCWWKyYvy-FdTTANGX_Hujig,425K,0.1%,Belgium,,127.5K,youtube,belgium,False,2024,NA,NA
71,ACID 2 @UCTP1RrnJ8meL1iTmBC7LSvQ,423K,3.3%,Belgium,,126.9K,youtube,belgium,False,2024,NA,NA
72,Amber Ansah @UCErfl6eQLydUolNvKR5gDVw,415K,-,Belgium,,124.5K,youtube,belgium,False,2024,NA,NA
73,CHEB RAYAN OFFICIEL @UCtrRYHxYBQEaQlgXApn2DDQ,411K,0.5%,Belgium,,123.3K,youtube,belgium,False,2024,NA,NA
74,Hair Buddha @UCDxhyRS1wRQ5lAzlmG6G7qQ,408K,0.1%,Belgium,,122.4K,youtube,belgium,False,2024,NA,NA
75,Wouva @UCMWs0TT4Ga64c4WDEB-mfIQ,406K,-,Belgium,,121.8K,youtube,belgium,False,2024,NA,NA
76,Bros Of Decay @UCD2DbJnKu7pTLRNd0bsUopA,405K,-,Belgium,,121.5K,youtube,belgium,False,2024,NA,NA
77,Un Créatif @UCAiy7bY8nTQCWrkSRh6Wu9w,402K,-,Belgium,,120.6K,youtube,belgium,False,2024,NA,NA
78,Aline Dessine @UCdg2UgrM2iwNQf6N18vJuZw,402K,-,Belgium,,120.6K,youtube,belgium,False,2024,NA,NA
79,Novelas World @UCKIDgx95oQLmREv6odns3Bg,383K,-,Belgium,,114.9K,youtube,belgium,False,2024,NA,NA
80,97robin997 @UCi1mmBh_y1hPmuU6cqpgAqA,373K,-,Belgium,,111.9K,youtube,belgium,False,2024,NA,NA
81,UnaGize @UCjYg0LgSbofOJTTHpG3LH8Q,369K,0.9%,Belgium,,110.7K,youtube,belgium,False,2024,NA,NA
82,gronie1988 @UChQwHT6AlQOXHs52c-1pFMg,362K,0.1%,Belgium,,108.6K,youtube,belgium,False,2024,NA,NA
83,zwiggo @UCXWb0sqn079nk24UMHP-ToA,351K,2.6%,Belgium,,105.3K,youtube,belgium,False,2024,NA,NA
84,Tout Pour Se Faire Belle @UCW_Fq3bhfWNU4rQOZobWUUw,348K,-,Belgium,,104.4K,youtube,belgium,False,2024,NA,NA
85,Muslim Queens AR @UCYRJDSo2MRLNIrf1xfwI6Xw,347K,0.1%,Belgium,,104.1K,youtube,belgium,False,2024,NA,NA
86,Disney België @UCJpmvQsPPNhCmMQh_PUnjJg,344K,-,Belgium,,103.2K,youtube,belgium,False,2024,NA,NA
87,Ketnet @UCD8Sq94-0EXyb59S_GFppuQ,341K,-,Belgium,,102.3K,youtube,belgium,False,2024,NA,NA
88,Gregsway @UC3n4XOkd2KwjxcDtcpuENDA,341K,1.1%,Belgium,,102.3K,youtube,belgium,False,2024,NA,NA
89,Rukia Laltia @UCpWZOt6rYbA12lUdjCiAqOQ,337K,-,Belgium,Food and Drink Travel,101.1K,youtube,belgium,False,2024,Lifestyle,MAPPED
90,Fos7a فسحة @UCpWRyHd2baw9wz3fIsDQJBA,335K,-,Belgium,,100.5K,youtube,belgium,False,2024,NA,NA
91,Little Things @UCSRutGZH81MfNu4Wgkfk1SA,334K,-,Belgium,,100.2K,youtube,belgium,False,2024,NA,NA
92,KWATA SPIRIT @UCLLu9lNDiwJ7ImAyT3dB5aA,334K,-,Belgium,,100.2K,youtube,belgium,False,2024,NA,NA
93,تاريخ و جغرافيا @UCS4g09DPtz7u_S1hTStWtlA,334K,-,Belgium,,100.2K,youtube,belgium,False,2024,NA,NA
94,Histoire Géo @UCYP6V7c4M026AXMr4ng6aQA,333K,0.5%,Belgium,,99.9K,youtube,belgium,False,2024,NA,NA
95,وليد دوبا Waleeddoba @UCOLUrEiNPuoWzT7HT54rijg,330K,-,Belgium,,99K,youtube,belgium,False,2024,NA,NA
96,Bwowos @UCcZmdiH3lpJfMJfg_tk970A,324K,-,Belgium,News,97.2K,youtube,belgium,False,2024,Knowledge&Info,MAPPED
97,Harinath Sharma @UCooV2aD2EB92KTJO2LXRGhg,321K,-,Belgium,,96.3K,youtube,belgium,False,2024,NA,NA
98,Tawsen @UCBW0C1kYCtM28ye0ADDx7aA,321K,4.3%,Belgium,,96.3K,youtube,belgium,False,2024,NA,NA
99,Hosow Pro @UCQhoQQA6R5Yz7k_kz_Cr3hQ,313K,0.2%,Belgium,,93.9K,youtube,belgium,False,2024,NA,NA
100,Daaninator @UCnMzrX07GH4XRg0cPVtrE7Q,312K,-,Belgium,,93.6K,youtube,belgium,False,2024,NA,NA
