rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ignacia Antonia👑 @ignaciaa_antonia,28.2M,-,Chile,Beauty and Self Care,8.5M,tiktok,chile,False,2024,Beauty&Fashion,MAPPED
2,Ferchis✨🐿🐝✨ @fer_con_f_de_fergaaaaaaa,3.7M,-,Chile,,1.1M,tiktok,chile,False,2024,NA,NA
3,Sofia Donoso @sofiadonosol,3.2M,-,Chile,Entertainment and Music,960K,tiktok,chile,False,2024,Music,MAPPED
4,Kangel @kaangeel,2.5M,-,Chile,,750K,tiktok,chile,False,2024,NA,NA
5,𝔄𝔩𝔢𝔧𝔬 𝔒𝔰 @alejooosorio,2.4M,-,Chile,Entertainment and Music,720K,tiktok,chile,False,2024,Music,MAPPED
6,Bufón Namasté @bufonnamaste,2.3M,-,Chile,Funny,690K,tiktok,chile,False,2024,Entertainment,MAPPED
7,Fran Chekal @franchekal,2.1M,-,Chile,,630K,tiktok,chile,False,2024,NA,NA
8,Renata Jara🏹 @renatosa,2M,-,Chile,Entertainment and Music Funny,600K,tiktok,chile,False,2024,Music,MAPPED
9,F.A.B.IA.N _ANDRI @f.abian.xx,1.7M,-,Chile,Entertainment and Music,510K,tiktok,chile,False,2024,Music,MAPPED
10,Princesita sofía @sofilatham,1.6M,-,Chile,,480K,tiktok,chile,False,2024,NA,NA
11,SEBASTIÁN TOBAR💀 @sebastiantobar.s,1.6M,-,Chile,Entertainment and Music,480K,tiktok,chile,False,2024,Music,MAPPED
12,Katita Dhq @katitadhq,1.4M,-,Chile,,420K,tiktok,chile,False,2024,NA,NA
13,🖤memi ☠️⚡️ @memibgc,1.3M,-,Chile,,390K,tiktok,chile,False,2024,NA,NA
14,Luz Celina Cervo @luzcelinacervo,1.2M,-,Chile,,360K,tiktok,chile,False,2024,NA,NA
15,✨Matias Peña✨ @matiaspfigueroaa,1.2M,5%,Chile,Entertainment and Music,360K,tiktok,chile,False,2024,Music,MAPPED
16,31 minutos @31minutostiktok,1.2M,0.3%,Chile,,360K,tiktok,chile,False,2024,NA,NA
17,Brass @tomsonbrass,1.2M,-,Chile,,360K,tiktok,chile,False,2024,NA,NA
18,virtualpapi @tomiipapii,1M,0.4%,Chile,Entertainment and Music,300K,tiktok,chile,False,2024,Music,MAPPED
19,Brahiron Chávez @bray.onn,1M,0.1%,Chile,Entertainment and Music,300K,tiktok,chile,False,2024,Music,MAPPED
20,Nicolas Cruces @nicolas.cruces,1M,0.1%,Chile,,300K,tiktok,chile,False,2024,NA,NA
21,Jose Pablo Leizgold @fallenbaby,998K,0.9%,Chile,Animation and Cosplay,299.4K,tiktok,chile,False,2024,Tech&Gaming,MAPPED
22,rusio_s3b4 @rusio_s3b4,996K,0.1%,Chile,,298.8K,tiktok,chile,False,2024,NA,NA
23,Coti Courard @iamcoti,981K,-,Chile,Entertainment and Music,294.3K,tiktok,chile,False,2024,Music,MAPPED
24,FrozenFilms @frozenfilms,974.5K,-,Chile,,292.4K,tiktok,chile,False,2024,NA,NA
25,ElJotaKing @eljotaking,957.1K,0.1%,Chile,Entertainment and Music Funny,287.1K,tiktok,chile,False,2024,Music,MAPPED
26,sebadranzer @sebadranzer,951.5K,0.1%,Chile,Entertainment and Music Education,285.5K,tiktok,chile,False,2024,Knowledge&Info,MAPPED
27,cortos_losdifuncional @cortos_losdifuncional,948.3K,-,Chile,,284.5K,tiktok,chile,False,2024,NA,NA
28,Sergio Rojas @sergiortech,939.5K,-,Chile,,281.9K,tiktok,chile,False,2024,NA,NA
29,Perfumería Comprar en Chile @comprarenchile.cl,928.3K,-,Chile,Beauty and Self Care,278.5K,tiktok,chile,False,2024,Beauty&Fashion,MAPPED
30,Nameless @namelessgirlss,923.1K,1.8%,Chile,,276.9K,tiktok,chile,False,2024,NA,NA
31,Jeicko.ff @jeicko.ff,921.8K,-,Chile,,276.5K,tiktok,chile,False,2024,NA,NA
32,✨ El Tomi ✨ @soyeltomi,918.2K,-,Chile,Entertainment and Music Funny,275.5K,tiktok,chile,False,2024,Music,MAPPED
33,BOTSITAAA 🍭✨ @soycaritoff._,906.5K,-,Chile,Video Gaming,272K,tiktok,chile,False,2024,Tech&Gaming,MAPPED
34,Danicrutchik 💘 @danicrutchik,891.7K,-,Chile,,267.5K,tiktok,chile,False,2024,NA,NA
35,SP┊DANYPLAУ @danyplay.ff,874.1K,-,Chile,,262.2K,tiktok,chile,False,2024,NA,NA
36,renato Holzapfel jr🔥 @renvtitoou,871.2K,0.1%,Chile,,261.4K,tiktok,chile,False,2024,NA,NA
37,Alexia @aalexiabravo,868.9K,-,Chile,,260.7K,tiktok,chile,False,2024,NA,NA
38,slime afta! @sofiaveram,863.8K,-,Chile,,259.1K,tiktok,chile,False,2024,NA,NA
39,Diego Fuenzalida @diegofuenzalida0,862.3K,-,Chile,,258.7K,tiktok,chile,False,2024,NA,NA
40,meganoticiascl @meganoticias.cl,857.4K,-,Chile,,257.2K,tiktok,chile,False,2024,NA,NA
41,Ignacia Michelson ☠️😈 @nacha_acashore,852.2K,-,Chile,,255.7K,tiktok,chile,False,2024,NA,NA
42,Saralina Solano @saradetalles_,842.5K,-,Chile,,252.8K,tiktok,chile,False,2024,NA,NA
43,DustinAndMaya @dustinandmaya,835.2K,-,Chile,,250.6K,tiktok,chile,False,2024,NA,NA
44,Diego Honorato @diegohonoratodc,825.8K,-,Chile,Health and Medical Services,247.7K,tiktok,chile,False,2024,Knowledge&Info,MAPPED
45,✨Javiera Alejandra✨ @itsvlxj,822.7K,-,Chile,,246.8K,tiktok,chile,False,2024,NA,NA
46,flaco🔥 @flaquitous,818.1K,-,Chile,,245.4K,tiktok,chile,False,2024,NA,NA
47,Valentina Elena 🖤 @valentinaelenaaa,816.5K,-,Chile,,245K,tiktok,chile,False,2024,NA,NA
48,alexitoh @nikowhois,813.9K,-,Chile,,244.2K,tiktok,chile,False,2024,NA,NA
49,Don Plátano @platano_kkita,809.8K,0.2%,Chile,,242.9K,tiktok,chile,False,2024,NA,NA
50,Rudy Alexis Haro @oye_rody,804.3K,-,Chile,Entertainment and Music,241.3K,tiktok,chile,False,2024,Music,MAPPED
51,💤 @elwalalaqliao,800.5K,0.3%,Chile,,240.2K,tiktok,chile,False,2024,NA,NA
52,ᓚᘏᗢ kim @luvmalboro,797.3K,0.2%,Chile,,239.2K,tiktok,chile,False,2024,NA,NA
53,Journal Party 🥳 @journalparty,791.9K,-,Chile,,237.6K,tiktok,chile,False,2024,NA,NA
54,Charlesitoo😼 @angelcharless_,790.2K,-,Chile,,237.1K,tiktok,chile,False,2024,NA,NA
55,freestyles_sad @freestyles_sad,781K,0.1%,Chile,,234.3K,tiktok,chile,False,2024,NA,NA
56,pro eres tú 💞 @_jihyolove_,774.3K,0.2%,Chile,,232.3K,tiktok,chile,False,2024,NA,NA
57,EDITS TIKTOK CHILEAN @editstiktokchilean,771.8K,-,Chile,,231.5K,tiktok,chile,False,2024,NA,NA
58,Nacho🤴🏽⚽️ @nelson_ignaciioo,769.3K,-,Chile,,230.8K,tiktok,chile,False,2024,NA,NA
59,Maltrunks @noesmaltrunks,764.5K,0.2%,Chile,,229.4K,tiktok,chile,False,2024,NA,NA
60,Alessia @aletraverso,760.3K,-,Chile,,228.1K,tiktok,chile,False,2024,NA,NA
61,BENJA 🏌🏻♌️ @ibenjamora_,757.5K,-,Chile,Sports,227.3K,tiktok,chile,False,2024,Sports,MAPPED
62,Tamii Navarrete ❁ @navarretteee,756.3K,-,Chile,Business and Finance,226.9K,tiktok,chile,False,2024,Knowledge&Info,MAPPED
63,xkasenl @xkasenl,750K,-,Chile,,225K,tiktok,chile,False,2024,NA,NA
64,IvyLacaballota @ivyqueenjefa,749.4K,-,Chile,,224.8K,tiktok,chile,False,2024,NA,NA
65,Scarlett Castro M @scarbaby_,745.5K,-,Chile,,223.7K,tiktok,chile,False,2024,NA,NA
66,Karla Andrea Melo @karlitamelo,738.4K,-,Chile,,221.5K,tiktok,chile,False,2024,NA,NA
67,Jade reyes 👑 @jade_reyes_official,733.4K,-,Chile,,220K,tiktok,chile,False,2024,NA,NA
68,🌊🌊 @e__hukkk2,712.6K,0.4%,Chile,,213.8K,tiktok,chile,False,2024,NA,NA
69,Practicatest Chile @practicatest.cl,711.2K,-,Chile,Auto and Vehicles,213.4K,tiktok,chile,False,2024,Tech&Gaming,MAPPED
70,Edits Sen Cal Kapimi✨ @_editssencalkapimi,703.2K,-,Chile,,211K,tiktok,chile,False,2024,NA,NA
71,Josepha🤍 @sheisjoo,696.8K,-,Chile,,209K,tiktok,chile,False,2024,NA,NA
72,David Avila @davidavilae,680.2K,0.1%,Chile,Business and Finance,204.1K,tiktok,chile,False,2024,Knowledge&Info,MAPPED
73,Cato Riesco @cato.rd,678K,-,Chile,,203.4K,tiktok,chile,False,2024,NA,NA
74,Elcanaldelpatron @elcanaldelpatron,677.5K,-,Chile,,203.3K,tiktok,chile,False,2024,NA,NA
