rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Germán Rodezel @UCj8-o-AOsl6elcsjVDAc1JA,2.1M,2.1%,Costa Rica,,618K,youtube,costa-rica,False,2024,NA,NA
2,Al AHLY TV @UCmeqakSoEdmxEtTnCFSbunw,1.9M,-,Costa Rica,,561K,youtube,costa-rica,False,2024,NA,NA
3,La Habitación Oscura @UCJLxCZnSr19-2qr8arbppWA,1.8M,0.4%,Costa Rica,,537K,youtube,costa-rica,False,2024,NA,NA
4,La cultura para todos @UCtttZpjrsMvm9YHjR3rB5fQ,1.2M,-,Costa Rica,,366K,youtube,costa-rica,False,2024,NA,NA
5,Superlibro @UCu9-HLbjEbczQDBXzEqaSVQ,1.1M,-,Costa Rica,,321K,youtube,costa-rica,False,2024,NA,NA
6,Fabii Puffle @UC2TCmZmRi2twi9Ycn34tfkQ,953K,0.1%,Costa Rica,,285.9K,youtube,costa-rica,False,2024,NA,NA
7,Jose Gonzalez @UCb_V4bF50eX6pekMsziQI7w,836K,0.2%,Costa Rica,,250.8K,youtube,costa-rica,False,2024,NA,NA
8,Cocina con Jenny @UCOgb8SNPgGjK0CyHz6N3fSQ,695K,-,Costa Rica,,208.5K,youtube,costa-rica,False,2024,NA,NA
9,Pao CH @UC327Ph1qmZl5Ny0LKP6mmHw,578K,-,Costa Rica,,173.4K,youtube,costa-rica,False,2024,NA,NA
10,Sarah Steller Beauty @UCaw-2FYtedq50jXWMLKHidA,498K,-,Costa Rica,,149.4K,youtube,costa-rica,False,2024,NA,NA
11,Kaleta Senpai @UCmNU9dmhrP9evWqyjuweRWA,484K,1.2%,Costa Rica,,145.2K,youtube,costa-rica,False,2024,NA,NA
12,Fabricio Alvarado @UCDuXt79QnnLjCUzXwd-5CXQ,457K,-,Costa Rica,,137.1K,youtube,costa-rica,False,2024,NA,NA
13,Betesda La alternativa natural @UC0fcnCzeRithSR-JeRAs7bA,447K,-,Costa Rica,,134.1K,youtube,costa-rica,False,2024,NA,NA
14,Teletica Costa Rica @UCOC6n5gbktagxIUrQrp42yw,421K,-,Costa Rica,,126.3K,youtube,costa-rica,False,2024,NA,NA
15,CocoChickyy @UCh9kz9gfvKC9bk5E6VgZ4uw,402K,0.4%,Costa Rica,,120.6K,youtube,costa-rica,False,2024,NA,NA
16,𝐒𝐡𝐢𝐧𝐧𝐨𝐛𝐮 @UCMKrq2mFp-qfXAuPwtMyT4A,401K,0.3%,Costa Rica,,120.3K,youtube,costa-rica,False,2024,NA,NA
17,PLACE @UCo3BbgAZgkT7T7rEag6KRdw,380K,-,Costa Rica,,114K,youtube,costa-rica,False,2024,NA,NA
18,l o s t @UCkGO30BMaWyxncIspVE6rEQ,359K,1.4%,Costa Rica,,107.7K,youtube,costa-rica,False,2024,NA,NA
19,Noticias Repretel @UCr6TeVofbyCvtCdxV_niQKQ,358K,-,Costa Rica,,107.4K,youtube,costa-rica,False,2024,NA,NA
20,Olivia Kissper @UCtc8gcFs2KXRzpV5iwJA8-w,321K,-,Costa Rica,Art Music,96.3K,youtube,costa-rica,False,2024,Music,MAPPED
21,jrcodjmix @UCpPeFul_f-9LlZwiknz9RHg,304K,-,Costa Rica,,91.2K,youtube,costa-rica,False,2024,NA,NA
22,Leonardo Morales ELECTRO REPARACIONES LMC @UCUimmvfAqo4dwCvXfd5Tv_g,295K,0.1%,Costa Rica,,88.5K,youtube,costa-rica,False,2024,NA,NA
23,Araya Vlogs @UCnZWFiZOtbKPWkRVSqhnJ8A,278K,1.9%,Costa Rica,,83.4K,youtube,costa-rica,False,2024,NA,NA
24,KALETA @UCRMqEJlE1YTyTn8D6eFJs_Q,271K,0.3%,Costa Rica,,81.3K,youtube,costa-rica,False,2024,NA,NA
25,TH Videos @UC8dhmdTkTYsFJA76rLzkW_w,260K,-,Costa Rica,,78K,youtube,costa-rica,False,2024,NA,NA
