rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Cristiano Ronaldo @cristiano,625.1M,0.01%,Portugal,Finance Soccer,187.5M,instagram,czechia,False,2024,Sports,MAPPED
2,Leo Messi @leomessi,501.1M,0.01%,Argentina,Sports Soccer Activity General General Interest,150.3M,instagram,czechia,False,2024,Sports,MAPPED
3,Selena Gomez @selenagomez,429.7M,1.09%,United States,Beauty and Self Care Entertainment and Music Music Actors,128.9M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
4,Kylie @kyliejenner,400.5M,-,United States,Beauty and Self Care Product Showcase Modeling Public Figure,120.1M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
5,Dwayne Johnson @therock,397.8M,0.13%,United States,Entertainment and Music Actors Public Figure,119.3M,instagram,czechia,False,2024,Music,MAPPED
6,Ariana Grande @arianagrande,380.3M,0.58%,United States,Entertainment and Music Music Singer Actors,114.1M,instagram,czechia,False,2024,Music,MAPPED
7,Kim Kardashian @kimkardashian,364.3M,0.32%,United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,109.3M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
8,Beyoncé @beyonce,319.9M,0.48%,United States,Music Singer,96M,instagram,czechia,False,2024,Music,MAPPED
9,Khloé Kardashian @khloekardashian,310.6M,0.19%,United States,Fashion and Accessories Modeling Public Figure,93.2M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
10,Kendall @kendalljenner,294.7M,1.12%,,Food Fashion and Accessories Modeling Fashion Model,88.4M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
11,Justin Bieber @justinbieber,293M,0.37%,Canada,Entertainment and Music Music Singer Musician,87.9M,instagram,czechia,False,2024,Music,MAPPED
12,Taylor Swift @taylorswift,283.4M,-,United States,Entertainment and Music Music Singer Songwriting,85M,instagram,czechia,False,2024,Music,MAPPED
13,Virat Kohli @virat.kohli,267.1M,0.02%,India,Sports Cricket Athlete,80.1M,instagram,czechia,False,2024,Sports,MAPPED
14,Jennifer Lopez @jlo,253.6M,0.01%,United States,Art Food and Drink Entertainment and Music Celebrity,76.1M,instagram,czechia,False,2024,Music,MAPPED
15,Barbie @nickiminaj,229.4M,0.18%,,Fashion and Accessories Singer Artist,68.8M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
16,Kourtney Kardashian Barker @kourtneykardash,224.3M,0.5%,United States,Entertainment and Music Business and Finance Modeling Actors,67.3M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
17,Neymar Jr @neymarjr,220.1M,-,Brazil,Sports Soccer Athlete,66M,instagram,czechia,False,2024,Sports,MAPPED
18,Miley Cyrus @mileycyrus,217.2M,0.01%,United States,Music,65.1M,instagram,czechia,False,2024,Music,MAPPED
19,KATY PERRY @katyperry,207.1M,0.01%,United States,Entertainment and Music Music Singer Bands Musicians,62.1M,instagram,czechia,False,2024,Music,MAPPED
20,Zendaya @zendaya,184.8M,2.92%,United States,Entertainment and Music Acting and Drama Celebrity Actors,55.5M,instagram,czechia,False,2024,Music,MAPPED
21,Kevin Hart @kevinhart4real,180.2M,0.06%,United States,Entertainment and Music Comedian Creators & Celebrities,54.1M,instagram,czechia,False,2024,Music,MAPPED
22,Cardi B @iamcardib,169M,1.05%,United States,Entertainment and Music Singer Hair & Beauty Celebrities,50.7M,instagram,czechia,False,2024,Beauty&Fashion,MAPPED
23,👑 @kingjames,157.7M,0.96%,,Sports Basketball,47.3M,instagram,czechia,False,2024,Sports,MAPPED
24,Demi Lovato @ddlovato,157.3M,0.01%,United States,Entertainment and Music Singer Songwriting Music,47.2M,instagram,czechia,False,2024,Music,MAPPED
25,badgalriri @badgalriri,152.6M,0.01%,,Music Singer,45.8M,instagram,czechia,False,2024,Music,MAPPED
26,Real Madrid C.F. @realmadrid,148.1M,0.2%,,Entertainment and Music Sports Soccer,44.4M,instagram,czechia,False,2024,Sports,MAPPED
27,BROWN @chrisbrownofficial,144.2M,0.23%,,Art Singer Artist,43.3M,instagram,czechia,False,2024,Music,MAPPED
