rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,NATTI NATASHA @nattinatasha,36.1M,0.44%,Dominican Republic,Entertainment and Music Actors Music Singer,10.8M,instagram,dominican-republic,False,2024,Music,MAPPED
2,"HONOR,LEALTAD Y RESPETO. @arcangel",16.6M,0.76%,Dominican Republic,Life and Society Entertainment and Music Actors Music,5M,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
3,Prince Royce @princeroyce,15.6M,0.33%,Dominican Republic,Music Singer Songwriting,4.7M,instagram,dominican-republic,False,2024,Music,MAPPED
4,El Alfa El Jefe TE AMO DIOS @elalfaeljefe,11.1M,0.79%,Dominican Republic,Actors Music,3.3M,instagram,dominican-republic,False,2024,Music,MAPPED
5,🐾🎀💋La Mami Del Swagger 🎀🐾 @lainsuperable,7.1M,0.35%,Dominican Republic,Fashion and Accessories Actors,2.1M,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
6,ALEXANDRA MVP @alexandramvp,6.6M,4.59%,Dominican Republic,Fashion and Accessories Actors Modeling Digital Creator,2M,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
7,EL JEFE DEL 28 🇩🇴 @carlosmontesquieu,6.3M,0.7%,Dominican Republic,Entertainment and Music Actors Comedy,1.9M,instagram,dominican-republic,False,2024,Music,MAPPED
8,Miguel Angel Valerio @donmiguelo,5.7M,0.57%,Dominican Republic,Entertainment and Music Rap Singer,1.7M,instagram,dominican-republic,False,2024,Music,MAPPED
9,Mozart La Para @mozartlapara,5.7M,0.52%,Dominican Republic,Entertainment and Music Music Actors,1.7M,instagram,dominican-republic,False,2024,Music,MAPPED
10,Bulin 47 @bulin47_oficial,5.6M,0.39%,Dominican Republic,Entertainment and Music Music Actors,1.7M,instagram,dominican-republic,False,2024,Music,MAPPED
11,EL PAPA DEL DEMBOW @elmayorclasico,4.6M,0.22%,Dominican Republic,Entertainment and Music,1.4M,instagram,dominican-republic,False,2024,Music,MAPPED
12,Amenazzy 🇩🇴 @amenazzy,4.4M,0.87%,Dominican Republic,Entertainment and Music Actors Music,1.3M,instagram,dominican-republic,False,2024,Music,MAPPED
13,Yameyry Ynfante @lamaterialista1,4.4M,0.58%,Dominican Republic,Entertainment and Music Business and Finance Actors,1.3M,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
14,Toxic Crow @toxiccrow,4.3M,0.25%,Dominican Republic,Entertainment and Music Music,1.3M,instagram,dominican-republic,False,2024,Music,MAPPED
15,Ana Carolina Castillo 🇩🇴 @anacarolinatv,4.3M,0.17%,Dominican Republic,Beauty and Self Care Actors Virtualization,1.3M,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
16,EL IDOLO DE TU IDOLO 🇩🇴 @lapizconciente,4.3M,0.19%,Dominican Republic,Entertainment and Music Music Actors,1.3M,instagram,dominican-republic,False,2024,Music,MAPPED
17,Caroline Aquino @carolineaquino1,4.3M,0.23%,Dominican Republic,Actors Virtualization,1.3M,instagram,dominican-republic,False,2024,Tech&Gaming,MAPPED
18,EL NUEVO PAPA 🇩🇴 🌪🌨🌤 @quimicoultramega,4.2M,0.11%,Dominican Republic,Entertainment and Music Music Actors,1.3M,instagram,dominican-republic,False,2024,Music,MAPPED
19,R O C H Y 🇩🇴 @rochyrd,4.1M,0.63%,Dominican Republic,Art Actors Music,1.2M,instagram,dominican-republic,False,2024,Music,MAPPED
20,YESENIA THEN 🇩🇴🇺🇸 @yeseniathenoficial,3.8M,0.56%,Dominican Republic,Business and Finance Actors Virtualization,1.1M,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
21,CNCO @cncomusic,3.6M,0.83%,Dominican Republic,Actors Music Singer,1.1M,instagram,dominican-republic,False,2024,Music,MAPPED
22,Yubelkis Peralta @yubelkisperalta,3.6M,0.17%,Dominican Republic,Beauty and Self Care Fashion and Accessories Business and Finance Actors,1.1M,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
23,Clarissa Molina @clarissamolina,3.6M,1.03%,Dominican Republic,Celebrity Acting and Drama Entertainment and Music Romance and Wedding,1.1M,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
24,CHELSY @chelsybautista5,3.6M,0.47%,Dominican Republic,Entertainment and Music Actors Virtualization,1.1M,instagram,dominican-republic,False,2024,Tech&Gaming,MAPPED
25,Blanquito Perla 💎 @shadowblow,3.5M,0.19%,Dominican Republic,Entertainment and Music Actors Music,1.1M,instagram,dominican-republic,False,2024,Music,MAPPED
26,Cheddy García @cheddyg,3.5M,0.2%,Dominican Republic,Entertainment and Music Funny Celebrity Actors,1M,instagram,dominican-republic,False,2024,Music,MAPPED
27,CAJADEVERDADES🤖 @cajadeverdades,3.3M,0.28%,Dominican Republic,Life and Society News Actors,991.2K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
28,LA ROSS MARIA🎶️️️💖 @rossmariaofficial,3.2M,4.77%,Dominican Republic,Art,951.6K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
29,Karen Yapoort Encarnacion @yapoort,3.2M,2.59%,Dominican Republic,Entertainment and Music family Moms Actors,949.9K,instagram,dominican-republic,False,2024,Music,MAPPED
30,CRAZY DESIGN @crazydesignrd,3.2M,0.16%,Dominican Republic,Food Video Games Actors Virtualization,946.4K,instagram,dominican-republic,False,2024,Tech&Gaming,MAPPED
31,The King🤴🏻 El Mayimbe @bulovasfamily,3.1M,0.1%,Dominican Republic,Art Actors,928.5K,instagram,dominican-republic,False,2024,Entertainment,MAPPED
32,🙏CON MI DIOS 24/7🙏 El Kita 🕊🌌 @chimbalaofficial,3.1M,0.31%,Dominican Republic,Entertainment and Music Marketing and Advertising Actors Music,918.5K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
33,Musicologo The Libro @musicologord,3M,0.65%,Dominican Republic,Entertainment and Music Music Actors Modeling,908.8K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
34,Karl-Anthony Towns @karltowns,2.9M,5.3%,Dominican Republic,Actors Music Modeling,880.5K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
35,Shelow Shaq @shelowshaq_,2.9M,0.15%,Dominican Republic,Entertainment and Music Music DJ Actors,860.3K,instagram,dominican-republic,False,2024,Music,MAPPED
36,Tokischa Altagracia Peralta @tokischa.popola,2.7M,12%,Dominican Republic,Romance and Wedding Music,806.3K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
37,Nahiony Reyes Batista @nahiony,2.7M,0.24%,Dominican Republic,Education Life and Society Actors Virtualization,803.1K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
38,Alofoke Music @alofokemusicnet,2.6M,-,Dominican Republic,News Actors Music,766.9K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
39,Amelia Alcantara🤍👑 @ameliaalcantara01,2.5M,2.29%,Dominican Republic,Art,757.5K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
40,REDIMI2 @realredimi2,2.5M,0.57%,Dominican Republic,"Art Celebrities Film, Music & Books",752.6K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
41,Big Papi Ortiz @davidortiz,2.4M,0.67%,Dominican Republic,Sports Entertainment and Music Baseball,723.2K,instagram,dominican-republic,False,2024,Sports,MAPPED
42,Martha Heredia @marthaheredia,2.4M,0.15%,Dominican Republic,Entertainment and Music Music Actors,711.1K,instagram,dominican-republic,False,2024,Music,MAPPED
43,Sandra Berrocal @sanberrocal,2.3M,0.38%,Dominican Republic,family Romance and Wedding,695.4K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
44,Mama Tarima 🇩🇴🔥♏️😈 @laperversa_17,2.3M,4.6%,Dominican Republic,,689.3K,instagram,dominican-republic,False,2024,NA,NA
45,Dra. Tania Medina @drataniamedina,2.3M,0.29%,Dominican Republic,Beauty and Self Care,685.1K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
46,Jose Reyes “ La Melaza “ @lamelaza_7,2.2M,1.59%,Dominican Republic,Entertainment and Music,663.2K,instagram,dominican-republic,False,2024,Music,MAPPED
47,Juan Luis Liranzo @drliranzo,2.2M,0.66%,Dominican Republic,Actors Music,646.8K,instagram,dominican-republic,False,2024,Music,MAPPED
48,EL MVP 🏆 @pushocpw,2.1M,1.05%,Dominican Republic,Entertainment and Music Actors,635.1K,instagram,dominican-republic,False,2024,Music,MAPPED
49,Vincent Carmona Arias @eldotolnastra,2.1M,0.25%,Dominican Republic,Art Actors,619.4K,instagram,dominican-republic,False,2024,Entertainment,MAPPED
50,LA AUTORIDAD 👮🏽‍♂️ @ninofreestyle,2.1M,0.62%,Dominican Republic,Art,618.5K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
51,Jenn Quezada @jennquezada,2M,1.22%,Dominican Republic,Entertainment and Music Business and Finance Actors Modeling,609.4K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
52,YOUNG SWAGON 🇩🇴 @youngswagon,2M,7.32%,Dominican Republic,Actors,606K,instagram,dominican-republic,False,2024,Entertainment,MAPPED
53,El NEGRO ESTA CLARO @negroestaclaro,2M,0.7%,Dominican Republic,Automotive Actors,590.9K,instagram,dominican-republic,False,2024,Tech&Gaming,MAPPED
54,Aneurys mateo @cekyviciny,1.9M,0.24%,Dominican Republic,Entertainment and Music Actors,576K,instagram,dominican-republic,False,2024,Music,MAPPED
55,Tonio Skits @tonioskits,1.8M,2.15%,Dominican Republic,Parenting Entertainment Music Singer,540K,instagram,dominican-republic,False,2024,Music,MAPPED
56,Shanny Lam @shannylam8,1.8M,1.1%,Dominican Republic,Fashion and Accessories Actors Virtualization,538.7K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
57,Andreza @japa.chimenes,1.8M,5.27%,Dominican Republic,family,529.1K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
58,Yomel El Meloso🍈(EL POTI 🍆) @yomelmeloso,1.7M,2.7%,Dominican Republic,Art Actors,524.8K,instagram,dominican-republic,False,2024,Entertainment,MAPPED
59,Leidy Leidy💋 @therealleidyleidy,1.7M,1.8%,Dominican Republic,,524.6K,instagram,dominican-republic,False,2024,NA,NA
60,Carlos Durán @showcarlosduran,1.7M,2.3%,Dominican Republic,Entertainment and Music Automotive Actors,500.7K,instagram,dominican-republic,False,2024,Tech&Gaming,MAPPED
61,Luz Garcia @luzgarciatv,1.6M,0.19%,Dominican Republic,Entertainment and Music Actors Virtualization Journalists,486.6K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
62,Luinny Corporan @luinnycorporan,1.6M,0.83%,Dominican Republic,Entertainment and Music Actors,469.1K,instagram,dominican-republic,False,2024,Music,MAPPED
63,AMELIA VEGA @ameliavega,1.6M,11.52%,Dominican Republic,Entertainment and Music family Music Moms,466.9K,instagram,dominican-republic,False,2024,Music,MAPPED
64,Luis Abinader @luisabinader,1.5M,1.12%,Dominican Republic,Finance Education Politics,463.7K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
65,LIRICO EN LA CASA @liricoenlacasa,1.5M,0.24%,Dominican Republic,Events Actors Music,458.8K,instagram,dominican-republic,False,2024,Music,MAPPED
66,Nancy Alvarez @dranancyalvarez,1.5M,0.1%,Dominican Republic,Education Upskilling Romance and Wedding Virtualization,442.3K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
67,Ｔ Ｕ Ｅ Ｓ Ｋ Ａ @tueska,1.5M,0.05%,Dominican Republic,Pets Events Actors,440.3K,instagram,dominican-republic,False,2024,Entertainment,MAPPED
68,Vera Carolina Brito Roys @carobritor,1.5M,0.9%,Dominican Republic,Business and Finance Actors,439.7K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
69,Santanabarbershop @santanabarbershop7,1.4M,0.04%,Dominican Republic,Beauty and Self Care Careers Styling School,428.7K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
70,Mark B 🇩🇴 @markbmusic,1.4M,0.16%,Dominican Republic,Music Producers Actors,417.8K,instagram,dominican-republic,False,2024,Music,MAPPED
71,Ibelka Ulerio @ibelkaulerio,1.4M,0.03%,Dominican Republic,family Fitness and Health Entertainment and Music Actors,409.4K,instagram,dominican-republic,False,2024,Sports,MAPPED
72,SICOPATA DICHO X LO SICOPATA 👹 @elfechotrotiao,1.4M,0.22%,Dominican Republic,Art,409K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
73,Hony Estrella @hony_estrella,1.3M,1.1%,Dominican Republic,,389.2K,instagram,dominican-republic,False,2024,NA,NA
74,ARLENE MC @arlene.mc,1.3M,4.83%,Dominican Republic,Art Music Actors Singer,386.8K,instagram,dominican-republic,False,2024,Music,MAPPED
75,Pamela Sued Chávez @pamsued,1.3M,0.45%,Dominican Republic,Entertainment and Music Actors Humor Celebrities,386.4K,instagram,dominican-republic,False,2024,Music,MAPPED
76,La Unica Diva De La 📺 @divajessurum,1.3M,0.1%,Dominican Republic,Education Actors,383.2K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
77,Djmariposa RD @djmariposard,1.3M,0.49%,Dominican Republic,Entertainment and Music Actors Journalists,381.1K,instagram,dominican-republic,False,2024,Knowledge&Info,MAPPED
78,Fernando Tatis Jr @fernando_tatis21,1.3M,12.3%,Dominican Republic,,376.2K,instagram,dominican-republic,False,2024,NA,NA
79,Roberto Ángel Salcedo @robertoangel01,1.2M,0.04%,Dominican Republic,Entertainment and Music Actors,356.2K,instagram,dominican-republic,False,2024,Music,MAPPED
80,TheNino @theninoyt,1.2M,1.87%,Dominican Republic,Art,352.7K,instagram,dominican-republic,False,2024,Lifestyle,MAPPED
81,Yinett Baez 👸🏻LAMUŃECA👸🏻 @yinettbaez,1.2M,1.4%,Dominican Republic,Fashion and Accessories Actors,350.3K,instagram,dominican-republic,False,2024,Beauty&Fashion,MAPPED
