rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,MR ZEO 🇩🇴 @mrzeooficial,16.9M,-,Dominican Republic,,5.1M,tiktok,dominican-republic,False,2024,NA,NA
2,Natti Natasha @nattinatasha,14.7M,-,Dominican Republic,,4.4M,tiktok,dominican-republic,False,2024,NA,NA
3,Miketoks @miketoks,13.2M,-,Dominican Republic,Entertainment and Music,4M,tiktok,dominican-republic,False,2024,Music,MAPPED
4,NOVELPOPPYS @novelpoppys,4.3M,2.9%,Dominican Republic,,1.3M,tiktok,dominican-republic,False,2024,NA,NA
5,Denise Mercedes @denisemmercedes,3.5M,-,Dominican Republic,,1.1M,tiktok,dominican-republic,False,2024,NA,NA
6,Key Guzman❤️🇩🇴 @keys.guzman09,3.2M,-,Dominican Republic,Funny,960K,tiktok,dominican-republic,False,2024,Entertainment,MAPPED
7,Luis 🦂 @luisduvalnm,2.8M,-,Dominican Republic,,840K,tiktok,dominican-republic,False,2024,NA,NA
8,Yesenia Then Oficial @yeseniathenoficial,2.7M,0.2%,Dominican Republic,Education,810K,tiktok,dominican-republic,False,2024,Knowledge&Info,MAPPED
9,Nicole @nico1eodeon,2.7M,-,Dominican Republic,Fashion and Accessories,810K,tiktok,dominican-republic,False,2024,Beauty&Fashion,MAPPED
10,Gaby Mejia @gaabymejia,2.7M,-,Dominican Republic,Fashion and Accessories,810K,tiktok,dominican-republic,False,2024,Beauty&Fashion,MAPPED
11,Jacqueline Viteri @escueladeetiqueta,2.6M,-,Dominican Republic,Education,780K,tiktok,dominican-republic,False,2024,Knowledge&Info,MAPPED
12,ronny jimenez @ronnyjimeneztv,2.6M,-,Dominican Republic,,780K,tiktok,dominican-republic,False,2024,NA,NA
13,Dante ™️ @ayeitsdante,2.5M,-,Dominican Republic,,750K,tiktok,dominican-republic,False,2024,NA,NA
14,𝓡𝓲𝓬𝓴🧸 @rick_willian23,2.1M,-,Dominican Republic,,630K,tiktok,dominican-republic,False,2024,NA,NA
15,Harnel @xharnel,2.1M,-,Dominican Republic,,630K,tiktok,dominican-republic,False,2024,NA,NA
16,Alex&Jessica @alexandjessicaa,1.6M,-,Dominican Republic,Entertainment and Music,480K,tiktok,dominican-republic,False,2024,Music,MAPPED
17,YonauryBeato @yonaurybeato,1.4M,-,Dominican Republic,Fashion and Accessories,420K,tiktok,dominican-republic,False,2024,Beauty&Fashion,MAPPED
18,Karlita @karlarivaspovs,1.4M,-,Dominican Republic,,420K,tiktok,dominican-republic,False,2024,NA,NA
19,El Domi🇩🇴 @jdbergar,1.2M,-,Dominican Republic,,360K,tiktok,dominican-republic,False,2024,NA,NA
20,wilbert comedy🇩🇴 @wilbertcomedy,1.2M,-,Dominican Republic,Entertainment and Music Celebrity,360K,tiktok,dominican-republic,False,2024,Music,MAPPED
21,𝐀𝐧𝐝𝐫𝐲 𝐕𝐨𝐥𝐚𝐧𝐭𝐚↯ @andryvolanta,1.2M,-,Dominican Republic,,360K,tiktok,dominican-republic,False,2024,NA,NA
22,lilibeth @lilibeth0718,1.2M,-,Dominican Republic,,360K,tiktok,dominican-republic,False,2024,NA,NA
23,Jorge Geronimo @joshrgero,1.1M,-,Dominican Republic,,330K,tiktok,dominican-republic,False,2024,NA,NA
24,Clarissa Molina @clarissamolinac,1.1M,-,Dominican Republic,,330K,tiktok,dominican-republic,False,2024,NA,NA
25,Damari Nicole 🧚🏾‍♀️💘 @_.nicoletteee,1M,-,Dominican Republic,,300K,tiktok,dominican-republic,False,2024,NA,NA
26,New_joisramirez @new_joisramirez,999.1K,-,Dominican Republic,,299.7K,tiktok,dominican-republic,False,2024,NA,NA
27,🐾🌸Estefany 🌸🐾 @yiliannydelacruz0,998.5K,-,Dominican Republic,,299.6K,tiktok,dominican-republic,False,2024,NA,NA
28,thisisgabilivin @gabi_livin,979.7K,-,Dominican Republic,Entertainment and Music,293.9K,tiktok,dominican-republic,False,2024,Music,MAPPED
29,Alexander.lyrics👑 @alexander.lyrics,960.1K,-,Dominican Republic,,288K,tiktok,dominican-republic,False,2024,NA,NA
30,Fitmariela @fitmariela,950K,-,Dominican Republic,Fitness,285K,tiktok,dominican-republic,False,2024,Sports,MAPPED
31,JIMENEZ❤️ @anyelo_x05,942.3K,-,Dominican Republic,,282.7K,tiktok,dominican-republic,False,2024,NA,NA
32,Joel zapata marco @joel_zapata,934K,0.2%,Dominican Republic,,280.2K,tiktok,dominican-republic,False,2024,NA,NA
33,LLÁMAME ORI❤️ @oriana_asencio,908.8K,-,Dominican Republic,Business and Finance,272.6K,tiktok,dominican-republic,False,2024,Knowledge&Info,MAPPED
34,Alvin Gomes @alvingomes,907.5K,-,Dominican Republic,,272.3K,tiktok,dominican-republic,False,2024,NA,NA
35,Marlynmar22 @marlynmar22,907.2K,0.1%,Dominican Republic,Fitness and Health,272.2K,tiktok,dominican-republic,False,2024,Sports,MAPPED
36,Darlyn castillo @darlyncastillo09,904.2K,-,Dominican Republic,,271.3K,tiktok,dominican-republic,False,2024,NA,NA
37,Rubén Adalberto🇩🇴🌎 @rubenadalberto01,898.7K,-,Dominican Republic,,269.6K,tiktok,dominican-republic,False,2024,NA,NA
38,Chris @crismayridiazjavier,885.4K,-,Dominican Republic,,265.6K,tiktok,dominican-republic,False,2024,NA,NA
39,Gilda🌙💜 @morechulaa,881.1K,-,Dominican Republic,Beauty and Self Care,264.3K,tiktok,dominican-republic,False,2024,Beauty&Fashion,MAPPED
40,tumbaoreyes @tumbaoreyes,871.5K,-,Dominican Republic,,261.5K,tiktok,dominican-republic,False,2024,NA,NA
41,El Panda Vines 🐼 @pandaviness,869.6K,-,Dominican Republic,Funny,260.9K,tiktok,dominican-republic,False,2024,Entertainment,MAPPED
42,Alejandra Plasencia @alejpm_,855.8K,-,Dominican Republic,,256.7K,tiktok,dominican-republic,False,2024,NA,NA
43,Yoka😻🤤 @yoka_acosta,848K,-,Dominican Republic,,254.4K,tiktok,dominican-republic,False,2024,NA,NA
44,Michael morillo @morillooficiall,840.1K,-,Dominican Republic,,252K,tiktok,dominican-republic,False,2024,NA,NA
45,Yulissa Garcia @yulissagarcia06,810.2K,-,Dominican Republic,,243.1K,tiktok,dominican-republic,False,2024,NA,NA
46,Adrián Graff @adriancabrerard,806.6K,-,Dominican Republic,,242K,tiktok,dominican-republic,False,2024,NA,NA
47,Ju @tu_zar_win2,806.3K,-,Dominican Republic,,241.9K,tiktok,dominican-republic,False,2024,NA,NA
48,Steisy Mora @steisymora0,805.3K,-,Dominican Republic,,241.6K,tiktok,dominican-republic,False,2024,NA,NA
49,emil_editzz @emil_editzz,802.4K,-,Dominican Republic,,240.7K,tiktok,dominican-republic,False,2024,NA,NA
50,Aylin Alcántara @aylinalcantara25,800.9K,-,Dominican Republic,,240.3K,tiktok,dominican-republic,False,2024,NA,NA
51,Emely @imemely_24,799.9K,-,Dominican Republic,,240K,tiktok,dominican-republic,False,2024,NA,NA
52,Yenny Silva @diomara_22,795.2K,-,Dominican Republic,,238.6K,tiktok,dominican-republic,False,2024,NA,NA
53,Micael Azar @micaelazar,793.3K,-,Dominican Republic,Funny,238K,tiktok,dominican-republic,False,2024,Entertainment,MAPPED
54,Yamelis Acosta🔥🍓 @meliifresaa1,792.4K,-,Dominican Republic,,237.7K,tiktok,dominican-republic,False,2024,NA,NA
55,Jose Ramon 🇩🇴 @jose05dr,791.3K,-,Dominican Republic,Entertainment and Music Business and Finance,237.4K,tiktok,dominican-republic,False,2024,Knowledge&Info,MAPPED
56,eli001dr @eli001dr,779.3K,-,Dominican Republic,,233.8K,tiktok,dominican-republic,False,2024,NA,NA
57,𝐋𝐲𝐫𝐢𝐜𝐬 @joel.lyrics,769.8K,0.2%,Dominican Republic,,230.9K,tiktok,dominican-republic,False,2024,NA,NA
58,Melaza Empire @melazaempire,755.2K,-,Dominican Republic,Business and Finance,226.6K,tiktok,dominican-republic,False,2024,Knowledge&Info,MAPPED
59,Jay Munee DIY @jaymuneediy,739.6K,-,Dominican Republic,DIY and Life Hacks Home and Garden,221.9K,tiktok,dominican-republic,False,2024,Lifestyle,MAPPED
60,Amilcar Castillo @oficialamilcar,737.3K,0.4%,Dominican Republic,Acting and Drama,221.2K,tiktok,dominican-republic,False,2024,Entertainment,MAPPED
61,La Materialista @lamaterialista1,729.8K,-,Dominican Republic,,218.9K,tiktok,dominican-republic,False,2024,NA,NA
62,OnlyBladi @onlybladi,726.8K,-,Dominican Republic,,218K,tiktok,dominican-republic,False,2024,NA,NA
63,𝑪𝒂𝒓𝒅𝒊 𝑩 @belcalis.17,711.1K,-,Dominican Republic,,213.3K,tiktok,dominican-republic,False,2024,NA,NA
64,Barbie_lufo @barbie_lufo,710.1K,-,Dominican Republic,,213K,tiktok,dominican-republic,False,2024,NA,NA
65,Soy Shovanny @soyshovanny.......gio,701.1K,-,Dominican Republic,,210.3K,tiktok,dominican-republic,False,2024,NA,NA
66,Sigan Viendo 😂🇩🇴 @beatolyrics,699K,-,Dominican Republic,,209.7K,tiktok,dominican-republic,False,2024,NA,NA
67,Oscartnt @oscartnt,689.2K,-,Dominican Republic,,206.8K,tiktok,dominican-republic,False,2024,NA,NA
68,Oscar G @netflix_ultra,686.4K,-,Dominican Republic,,205.9K,tiktok,dominican-republic,False,2024,NA,NA
69,Melaza YT @melazayt,684K,-,Dominican Republic,,205.2K,tiktok,dominican-republic,False,2024,NA,NA
70,Melissa Christina Zerhau @melissazerhau,677.8K,-,Dominican Republic,Entertainment and Music,203.3K,tiktok,dominican-republic,False,2024,Music,MAPPED
71,THE CAMPERITO RD YT @the_camperito_rd,673.1K,-,Dominican Republic,,201.9K,tiktok,dominican-republic,False,2024,NA,NA
72,🐻Adrián_R🐻 @adrian.0305,669.1K,0.1%,Dominican Republic,,200.7K,tiktok,dominican-republic,False,2024,NA,NA
73,De todo un poco @marlon_clips24,667.6K,-,Dominican Republic,,200.3K,tiktok,dominican-republic,False,2024,NA,NA
74,Kingcam @k1ngcam1,658.8K,-,Dominican Republic,,197.6K,tiktok,dominican-republic,False,2024,NA,NA
75,Sulay Mercedes Marti @dra.sulay,658K,-,Dominican Republic,,197.4K,tiktok,dominican-republic,False,2024,NA,NA
76,YERLIN JEREZ @yerlinjereze,646K,-,Dominican Republic,,193.8K,tiktok,dominican-republic,False,2024,NA,NA
77,nadieescomotuyeseestupoder @albanniaquezada,645.5K,0.1%,Dominican Republic,,193.7K,tiktok,dominican-republic,False,2024,NA,NA
78,✨Yardelis Martinez✨ @yardelis_martinez,628.7K,-,Dominican Republic,,188.6K,tiktok,dominican-republic,False,2024,NA,NA
79,Estarlin Perez @estarlinperez011,628.2K,-,Dominican Republic,,188.5K,tiktok,dominican-republic,False,2024,NA,NA
80,Beriz boo @berizboo,623.2K,-,Dominican Republic,,187K,tiktok,dominican-republic,False,2024,NA,NA
81,R A F A E L 🌴 @rafaelrodriguez08,603K,-,Dominican Republic,Entertainment and Music,180.9K,tiktok,dominican-republic,False,2024,Music,MAPPED
82,Teammelmelada @teammelmelada,602.7K,0.4%,Dominican Republic,,180.8K,tiktok,dominican-republic,False,2024,NA,NA
83,FlowLyricsHD @flowlyricshd,602.1K,0.2%,Dominican Republic,,180.6K,tiktok,dominican-republic,False,2024,NA,NA
84,@Josuegrullon_ @josue_f5,597.3K,-,Dominican Republic,Video Gaming,179.2K,tiktok,dominican-republic,False,2024,Tech&Gaming,MAPPED
