rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Kevlex Pazmiño @kevlexd,5.1M,0.21%,Ecuador,Fashion Singer Actors Music,1.5M,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
2,Danilo Carrera @danilocarrerah,3.8M,0.6%,Ecuador,Life and Society Acting and Drama Celebrity Actors,1.1M,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
3,Pongamoslo a prueba @pongamoslo_a_prueba,3.3M,2.28%,Ecuador,,977.5K,instagram,ecuador,False,2024,NA,NA
4,Roberto Manrique @robertomanrique13,3.2M,0.15%,Ecuador,Acting and Drama Education Animals Entertainment and Music,964.6K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
5,Anthony Lencina @anthonnyswagg,2.9M,15.06%,Ecuador,Fashion Fashion and Accessories Business and Finance Actors,882.4K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
6,Mayita arizaga @mayitaarizaga,2.5M,3%,Ecuador,family Fashion and Accessories Business and Finance Actors,761.5K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
7,Lcda. Sofia Caiche Romero @sofiacaiche,2.4M,0.59%,Ecuador,Fitness and Health Arts and Crafts Travel Virtualization,726.8K,instagram,ecuador,False,2024,Sports,MAPPED
8,Samantha Grey 🇪🇨 @samanthagreyb,2.4M,0.54%,Ecuador,,723.9K,instagram,ecuador,False,2024,NA,NA
9,Erika Velez @erikavelez,2.4M,1.14%,Ecuador,Fashion and Accessories Celebrity Actors,709.5K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
10,AMBAR MONTENEGRO @ambaritamar1,2.2M,0.66%,Ecuador,Virtualization Actors,670.8K,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
11,WIFI MONEY™️ @amoeller,2.1M,1.44%,Ecuador,Business and Finance Finance,631.3K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
12,En Contacto - Ecuavisa @encontactoecuavisa,2.1M,0.07%,Ecuador,Entertainment and Music Business and Finance Actors,625.3K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
13,Yuleysi Coca Suarez @yuleysicocasuarez,2M,0.32%,Ecuador,Entertainment and Music Virtualization Actors,606.7K,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
14,Michela PinBu @michelapinbu,1.9M,0.73%,Ecuador,Entertainment and Music Beauty and Self Care Business and Finance Actors,557.4K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
15,Indi Skovar @indi_skovar,1.7M,6.48%,Ecuador,Travel Entertainment and Music,517.4K,instagram,ecuador,False,2024,Music,MAPPED
16,Domenica Saporiti @domesprt,1.6M,6.03%,Ecuador,Entertainment and Music Actors,482.6K,instagram,ecuador,False,2024,Music,MAPPED
17,María Teresa Guerrero @flacaguerrerog,1.5M,0.4%,Ecuador,Fitness and Health Travel family Actors,460.1K,instagram,ecuador,False,2024,Sports,MAPPED
18,MACHALA THE GREAT @carterefe,1.5M,10.91%,Ecuador,Fitness and Health Celebrity,448.8K,instagram,ecuador,False,2024,Sports,MAPPED
19,FERNANDA GALLARDO💕 @fergallardook,1.5M,0.89%,Ecuador,Actors Virtualization,444.3K,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
20,María Fernanda Ríos/Empoderamiento femenino. @mariafernandariosoficial,1.5M,0.59%,Ecuador,Acting and Drama Fashion and Accessories Beauty and Self Care Marketing and Advertising,438.3K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
21,SAMANTHA INTRIAGO MAKEUP•BEAUTY•INFLUENCER @samanthaintriagomua,1.4M,5.58%,Ecuador,Beauty and Self Care Education,405.5K,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
22,Me Encanta el Chocolate @elchocolatemeencanta,1.3M,0.13%,Ecuador,Food Marketing and Advertising,404.8K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
23,Dina | Entrenador | Ejercicios en casa @dinamunozok,1.3M,0.41%,Ecuador,Business and Finance Bikini Coaching,403.2K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
24,Tete 💃🏼 @stephronquillo5,1.3M,0.6%,Ecuador,Soccer Actors Virtualization,398.5K,instagram,ecuador,False,2024,Sports,MAPPED
25,Jefferson Rescata @jeffersonrescata,1.3M,1.23%,Ecuador,Animals,398.4K,instagram,ecuador,False,2024,Lifestyle,MAPPED
26,Nathalie Carvajal @nathalie_carvajalcampoverde,1.3M,1.06%,Ecuador,Photography Actors,398.3K,instagram,ecuador,False,2024,Entertainment,MAPPED
27,De Casa en Casa @decasaencasa,1.3M,-,Ecuador,Home and Garden Actors Journalists,394.4K,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
