rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Mohamed Salah @mosalah,63.5M,1.37%,Egypt,Sports,19M,instagram,egypt,False,2024,Sports,MAPPED
2,Tamer Hosny @tamerhosny,32.3M,0.27%,Egypt,Entertainment and Music Celebrity Singer Music,9.7M,instagram,egypt,False,2024,Music,MAPPED
3,Mohamed Ramadan @mohamedramadanws,30.7M,0.04%,Egypt,Entertainment and Music Actors,9.2M,instagram,egypt,False,2024,Music,MAPPED
4,Amr Diab @amrdiab,23.9M,0.07%,Egypt,Entertainment and Music Music Singer Songwriting,7.2M,instagram,egypt,False,2024,Music,MAPPED
5,Yasmine Sabri @yasmine_sabri,21.6M,0.77%,Egypt,Acting and Drama Actors Lifestyle,6.5M,instagram,egypt,False,2024,Entertainment,MAPPED
6,Hannah El-Zahed @hannahelzahed,20.2M,1.26%,Egypt,Entertainment and Music Modeling,6.1M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
7,Ahmed Helmy @ahmedhelmy,18.3M,0.37%,Egypt,Entertainment and Music Celebrity Lifestyle Actors,5.5M,instagram,egypt,False,2024,Music,MAPPED
8,هيفاء حسوني Haifa Hassony @haifa_hassony,17.2M,0.93%,Egypt,Entertainment and Music Modeling,5.1M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
9,Donia Samir Ghanem @donia.samir.ghanem,15.1M,0.44%,Egypt,Entertainment and Music family Celebrity Actors,4.5M,instagram,egypt,False,2024,Music,MAPPED
10,Rania Ibrahem | رانيا ابراهيم @rania_world,13.4M,0.86%,Egypt,Fashion and Accessories Romance and Wedding,4M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
11,Ayten Amer @aytenamer,12.9M,0.15%,Egypt,Acting and Drama Celebrity Music Actors,3.9M,instagram,egypt,False,2024,Music,MAPPED
12,Heba Magdi @heba_magdi,12.9M,0.42%,Egypt,Acting and Drama Celebrity Music Actors,3.9M,instagram,egypt,False,2024,Music,MAPPED
13,Ramez Galal @ramezgalalac,12.6M,0.63%,Egypt,Celebrity Art Actors,3.8M,instagram,egypt,False,2024,Entertainment,MAPPED
14,Mohamed Hamaki @hamaki,12.4M,0.23%,Egypt,Entertainment and Music Music Singer,3.7M,instagram,egypt,False,2024,Music,MAPPED
15,Sherine Abdel-Wahab @sherine,12.2M,1.43%,Egypt,Celebrity Singer Music Actors,3.6M,instagram,egypt,False,2024,Music,MAPPED
16,Mohamed Emam • محمد إمام @mohamedemam,12M,0.98%,Egypt,Entertainment and Music Celebrity Actors Modeling,3.6M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
17,Dina Elsherbiny @dinaelsherbinyy,11.1M,0.64%,Egypt,Celebrity Modeling,3.3M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
18,Kinda Alloush كندة علوش. @kindaalloush,10.8M,0.32%,Egypt,Acting and Drama Celebrity Modeling Actors,3.2M,instagram,egypt,False,2024,Beauty&Fashion,MAPPED
