rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Valtteri Bottas @valtteribottas,3.9M,0.56%,Finland,Auto and Vehicles Racing,1.2M,instagram,finland,False,2024,Sports,MAPPED
2,Kimi Räikkönen @kimimatiasraikkonen,2.9M,8.63%,Finland,Racing Coaching Photography,879.8K,instagram,finland,False,2024,Sports,MAPPED
3,Hydraulic Press Channel @hydraulicpresschannel,1.7M,1.9%,Finland,DIY and Life Hacks,524.2K,instagram,finland,False,2024,Lifestyle,MAPPED
4,Nude Yoga Girl @nude_yogagirl,1.5M,2.68%,Finland,Fitness and Health Arts and Crafts,439.2K,instagram,finland,False,2024,Sports,MAPPED
5,Heikala @heikala,1.3M,1.52%,Finland,Arts and Crafts Illustrator Design,400.2K,instagram,finland,False,2024,Lifestyle,MAPPED
6,IDA JEMINA KUJANPÄÄ @idajemina,893.6K,1.47%,Finland,Fitness and Health Training Coaching,268.1K,instagram,finland,False,2024,Sports,MAPPED
7,Pongfinity @pongfinity,818.1K,10.34%,Finland,Games Celebrity Tennis,245.4K,instagram,finland,False,2024,Sports,MAPPED
8,Uma | Engagement Rings @oorejewelry,720.8K,6.01%,Finland,,216.2K,instagram,finland,False,2024,NA,NA
9,Ala Tokel @alatokell,600.6K,3.18%,Finland,Beauty and Self Care Public Figure,180.2K,instagram,finland,False,2024,Beauty&Fashion,MAPPED
10,jukka hilden @jukkadudeson,514.9K,0.88%,Finland,Music Modeling Actors,154.5K,instagram,finland,False,2024,Beauty&Fashion,MAPPED
11,The Iceman | F1 Formula 1 Page @kimi_raikkonen_kr7,513.6K,4.63%,Finland,Entertainment and Music Sports Racing Cars,154.1K,instagram,finland,False,2024,Sports,MAPPED
12,Sara Puhto @saggysara,430.4K,4.75%,Finland,Beauty and Self Care Coaching Training,129.1K,instagram,finland,False,2024,Beauty&Fashion,MAPPED
13,Tarja Turunen @tarjaofficial,427.6K,4.1%,Finland,Music Songwriting Singer,128.3K,instagram,finland,False,2024,Music,MAPPED
14,Teemu Selanne @sel8nneteemu,411.9K,3.69%,Finland,Sports,123.6K,instagram,finland,False,2024,Sports,MAPPED
15,الاعلامي مرتضى بداي العطوانيほ @mr_tz82,409.3K,-,Finland,,122.8K,instagram,finland,False,2024,NA,NA
16,Isac Elliot @isacelliot,404.7K,1.6%,Finland,Entertainment and Music Automotive Modeling,121.4K,instagram,finland,False,2024,Beauty&Fashion,MAPPED
17,Moomin @moominofficial,384.4K,1.83%,Finland,Animation and Cosplay Food and Drink,115.3K,instagram,finland,False,2024,Tech&Gaming,MAPPED
18,Josh Sundquist @joshsundquist,380.2K,5.7%,Finland,Celebrity,114.1K,instagram,finland,False,2024,Entertainment,MAPPED
