rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,That French Guy @davidyrodriguez,8M,-,France,,2.4M,tiktok,france,False,2024,NA,NA
2,Tibo InShape @tiboinshape,8M,-,France,Fitness and Health Funny,2.4M,tiktok,france,False,2024,Sports,MAPPED
3,CAMILLE_LA_DANSEUSE @camille_la_danseuse,7.7M,-,France,Entertainment and Music,2.3M,tiktok,france,False,2024,Music,MAPPED
4,Zinidin zidan @zidanofficial_,5.1M,-,France,,1.5M,tiktok,france,False,2024,NA,NA
5,AS Monaco @asmonaco,5M,-,France,Sports,1.5M,tiktok,france,False,2024,Sports,MAPPED
6,Wonguy @wonguy,4.4M,-,France,Photography Arts and Crafts,1.3M,tiktok,france,False,2024,Lifestyle,MAPPED
7,The Sun King @carlomalis,3.3M,0.3%,France,Entertainment and Music,990K,tiktok,france,False,2024,Music,MAPPED
8,Keen’V @keenvsurtiktok,3.2M,-,France,Entertainment and Music,960K,tiktok,france,False,2024,Music,MAPPED
9,Isaías Espinoza @chefenproceso,3M,-,France,,900K,tiktok,france,False,2024,NA,NA
10,The F2 @f2,2.8M,-,France,,840K,tiktok,france,False,2024,NA,NA
11,Brunograffer @brunograffer,2.7M,-,France,Arts and Crafts Celebrity,810K,tiktok,france,False,2024,Entertainment,MAPPED
12,TikTok France @tiktok_france,2.4M,-,France,,720K,tiktok,france,False,2024,NA,NA
13,Le producteur @le.producteur,2.3M,-,France,Entertainment and Music Product Education,690K,tiktok,france,False,2024,Knowledge&Info,MAPPED
14,ogee @ogee_off,2.3M,2.3%,France,Entertainment and Music,690K,tiktok,france,False,2024,Music,MAPPED
15,SAPHO 🫶🏼 @saphoo,2.3M,1.6%,France,Arts and Crafts,690K,tiktok,france,False,2024,Lifestyle,MAPPED
16,Mayamystic @mayamystic,2.2M,-,France,Animation and Cosplay Entertainment and Music,660K,tiktok,france,False,2024,Tech&Gaming,MAPPED
17,Ahmed__art @ahmed__art,2.2M,-,France,Arts and Crafts Celebrity,660K,tiktok,france,False,2024,Entertainment,MAPPED
18,Paris is Daddy @paris.senpai,2.1M,-,France,,630K,tiktok,france,False,2024,NA,NA
19,Momotns OFFICIEL @momotns67,1.9M,-,France,,570K,tiktok,france,False,2024,NA,NA
20,Drogba888🧸 @drogba888,1.9M,1.9%,France,Entertainment and Music,570K,tiktok,france,False,2024,Music,MAPPED
21,Kev Adams @kevadams,1.8M,0.1%,France,Entertainment and Music,540K,tiktok,france,False,2024,Music,MAPPED
22,Cristina Cordula @cristinacordulaoff,1.7M,0.1%,France,Fashion and Accessories Business and Finance,510K,tiktok,france,False,2024,Beauty&Fashion,MAPPED
23,SUPERMASSIVE @supermassivemusic,1.6M,0.3%,France,Music,480K,tiktok,france,False,2024,Music,MAPPED
24,Aisha_Paradis.du.henné🇵🇰🇫🇷 @paradis_du_henne,1.6M,-,France,Beauty and Self Care,480K,tiktok,france,False,2024,Beauty&Fashion,MAPPED
25,Céline @celineinno,1.6M,-,France,,480K,tiktok,france,False,2024,NA,NA
26,MaitresseAdeline🌼 @maitressadeline,1.6M,-,France,,480K,tiktok,france,False,2024,NA,NA
27,Anto @totochegang,1.5M,0.1%,France,Entertainment and Music,450K,tiktok,france,False,2024,Music,MAPPED
28,AnnaLaura Pavy @lalpavy,1.5M,5%,France,Entertainment and Music Arts and Crafts Food Fashion and Accessories,450K,tiktok,france,False,2024,Beauty&Fashion,MAPPED
29,ines @inescious,1.5M,-,France,Entertainment and Music,450K,tiktok,france,False,2024,Music,MAPPED
30,Thomas Rossier @thomasrossier,1.4M,-,France,Fashion and Accessories Arts and Crafts,420K,tiktok,france,False,2024,Beauty&Fashion,MAPPED
31,Un Garçon Stupide! @ungarconstupide,1.4M,-,France,Entertainment and Music Funny Life and Society,420K,tiktok,france,False,2024,Knowledge&Info,MAPPED
32,Setsu @sweetysetsu,1.4M,-,France,Arts and Crafts,420K,tiktok,france,False,2024,Lifestyle,MAPPED
33,Armand Hasanpapaj @armandhasanpapaj,1.3M,0.8%,France,Entertainment and Music,390K,tiktok,france,False,2024,Music,MAPPED
34,Lucas Humoriste @lucas.humoriste,1.3M,-,France,,390K,tiktok,france,False,2024,NA,NA
35,RCLens @rclens,1.3M,2.5%,France,,390K,tiktok,france,False,2024,NA,NA
36,aitoush_n @aitoush_n,1.3M,0.1%,France,,390K,tiktok,france,False,2024,NA,NA
37,Vanessa Njoya @vanessanjoya,1.2M,0.2%,France,,360K,tiktok,france,False,2024,NA,NA
38,Jean-Baptiste Djebbari @jbdjebb,1.2M,1.1%,France,,360K,tiktok,france,False,2024,NA,NA
