rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,₊‧°𐐪♡ Z𝖚𝖗𝖊𝖊𝖆𝖑/琇然 ♡𐑂°‧₊ @zureeal,811.2K,0.5%,Hong Kong,Animation and Cosplay Entertainment and Music,243.4K,tiktok,hong-kong,False,2024,Tech&Gaming,MAPPED
2,Francine Ng @francine.ng,774.6K,-,Hong Kong,,232.4K,tiktok,hong-kong,False,2024,NA,NA
3,DiscoverHongKong @discoverhongkong,667.5K,-,Hong Kong,,200.3K,tiktok,hong-kong,False,2024,NA,NA
4,kaiyee 🧨 @kaiyee_,518.2K,-,Hong Kong,,155.5K,tiktok,hong-kong,False,2024,NA,NA
5,cynthiahk @cynthiahk,488.7K,-,Hong Kong,,146.6K,tiktok,hong-kong,False,2024,NA,NA
6,SAAIH HALILINTAR 2 @moresaaihalilintar,458.9K,0.2%,Hong Kong,,137.7K,tiktok,hong-kong,False,2024,NA,NA
7,riwan🦖 @heri.krn,456.1K,-,Hong Kong,,136.8K,tiktok,hong-kong,False,2024,NA,NA
8,8090s in Hong Kong @hongkong.8090s,453.8K,0.3%,Hong Kong,,136.1K,tiktok,hong-kong,False,2024,NA,NA
9,Jousy @jousychan,445.6K,-,Hong Kong,,133.7K,tiktok,hong-kong,False,2024,NA,NA
10,ANNA 🦋 (NEWACC) @anaa_800,435.3K,-,Hong Kong,,130.6K,tiktok,hong-kong,False,2024,NA,NA
11,黃浩霆 / IG：hoting.tv @hoting852,367.6K,-,Hong Kong,,110.3K,tiktok,hong-kong,False,2024,NA,NA
12,user8923802482792 @user8923802482792,322K,-,Hong Kong,Pets,96.6K,tiktok,hong-kong,False,2024,Lifestyle,MAPPED
13,THEO YOUNG @theoyoung20,311.8K,-,Hong Kong,,93.5K,tiktok,hong-kong,False,2024,NA,NA
14,Ahohaw Review @ahohaw_vn,304K,2.1%,Hong Kong,,91.2K,tiktok,hong-kong,False,2024,NA,NA
15,dance tutorials 😗✌️ @tiktok.dance.tuttorial,252.8K,45.8%,Hong Kong,,75.8K,tiktok,hong-kong,False,2024,NA,NA
16,스치면홍콩 @6969zz,238.4K,-,Hong Kong,,71.5K,tiktok,hong-kong,False,2024,NA,NA
17,叶子yezi @yezi_1022_,204.1K,-,Hong Kong,,61.2K,tiktok,hong-kong,False,2024,NA,NA
18,Aidan @aidan.cheung,200.7K,-,Hong Kong,,60.2K,tiktok,hong-kong,False,2024,NA,NA
19,Rooney Xhk @r.xhk,193.3K,-,Hong Kong,,58K,tiktok,hong-kong,False,2024,NA,NA
20,NAMUY HK @namuy_hk,191.2K,-,Hong Kong,,57.4K,tiktok,hong-kong,False,2024,NA,NA
21,BaronHong @baronhongchestbinder,176.1K,-,Hong Kong,,52.8K,tiktok,hong-kong,False,2024,NA,NA
22,妖都學長 @yaodotv,174.2K,0.3%,Hong Kong,,52.3K,tiktok,hong-kong,False,2024,NA,NA
23,HK Official ♔♚ @its.homayon.official,162.1K,-,Hong Kong,,48.6K,tiktok,hong-kong,False,2024,NA,NA
24,Celeste_Hong @celes.hong,153.6K,-,Hong Kong,,46.1K,tiktok,hong-kong,False,2024,NA,NA
