rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Khabane lame @khaby.lame,161.9M,0.2%,Italy,Funny Entertainment and Music,48.6M,tiktok,italy,False,2024,Music,MAPPED
2,Manuel Mercuri @mercuri_88,20.9M,-,Italy,,6.3M,tiktok,italy,False,2024,NA,NA
3,Urban Theory @urbantheory_,17.8M,-,Italy,Entertainment and Music,5.3M,tiktok,italy,False,2024,Music,MAPPED
4,𝐹𝑎𝑏𝑖𝑜𝑙𝑎 @fabiola.baglieri,13.2M,1.2%,Italy,Celebrity,4M,tiktok,italy,False,2024,Entertainment,MAPPED
5,AC Milan @acmilan,6.5M,-,Italy,,2M,tiktok,italy,False,2024,NA,NA
6,Salvo&Giorgia @salvatore.roccaro,5.6M,-,Italy,Fashion and Accessories,1.7M,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
7,Chiara Ferragni @chiaraferragni,5.1M,-,Italy,Fashion and Accessories,1.5M,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
8,Joey Nero @joeynero,4.8M,0.2%,Italy,,1.4M,tiktok,italy,False,2024,NA,NA
9,V A L E N T I N O @caprariu_valentino,4.8M,0.7%,Italy,Arts and Crafts,1.4M,tiktok,italy,False,2024,Lifestyle,MAPPED
10,Sharon Fonseca @sharfonseca,4.7M,-,Italy,Beauty and Self Care Life and Society,1.4M,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
11,ivanhoe spalluto @unmoderated.ivanhoe,4.6M,-,Italy,,1.4M,tiktok,italy,False,2024,NA,NA
12,Giulia Sara Salemi @giuliasalemii,4M,-,Italy,Fashion and Accessories,1.2M,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
13,ITALIANINHO @italianinho,3.1M,-,Italy,,930K,tiktok,italy,False,2024,NA,NA
14,A1saud @a1saud,3.1M,-,Italy,Entertainment and Music,930K,tiktok,italy,False,2024,Music,MAPPED
15,fakeba drammeh @il_fake,3.1M,-,Italy,Entertainment and Music Funny,930K,tiktok,italy,False,2024,Music,MAPPED
16,ALICE DE BORTOLI @ali.debortoli,3M,-,Italy,Fashion and Accessories,900K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
17,Nonna Pia @nonnapiaa,2.7M,0.5%,Italy,,810K,tiktok,italy,False,2024,NA,NA
18,Tola_Mr.Stark @tola_mr.stark,2.7M,-,Italy,,810K,tiktok,italy,False,2024,NA,NA
19,Me contro Te @mecontrote,2.6M,-,Italy,Entertainment and Music,780K,tiktok,italy,False,2024,Music,MAPPED
20,HIIRO @itshiiro.cos,2.4M,3.2%,Italy,Animation and Cosplay,720K,tiktok,italy,False,2024,Tech&Gaming,MAPPED
21,🌹SAMANTHA FRISON 🌹 @samanthafrison,2.4M,-,Italy,Fashion and Accessories,720K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
22,Luca Lozano💍 @lucaloz,2.2M,-,Italy,Entertainment and Music,660K,tiktok,italy,False,2024,Music,MAPPED
23,Federica Scagnetti @federica.scagnetti,2.1M,-,Italy,Travel,630K,tiktok,italy,False,2024,Lifestyle,MAPPED
24,𝔟𝔞𝔟𝔶𝔤𝔦𝔯𝔩❤️‍🔥🇵🇭 @kkhatemaekawaaa,2.1M,-,Italy,,630K,tiktok,italy,False,2024,NA,NA
25,Tommaso Logrande @tommasomasino1,2M,-,Italy,Romance and Wedding,600K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
26,Giulia DiCaprio @giuliabenite,2M,-,Italy,,600K,tiktok,italy,False,2024,NA,NA
27,Giulia Paglianiti @giuliapaglianiti,1.9M,-,Italy,,570K,tiktok,italy,False,2024,NA,NA
28,Movie.Tv🎥 @movie.it,1.8M,-,Italy,Entertainment and Music Celebrity,540K,tiktok,italy,False,2024,Music,MAPPED
29,Matt & Bise @mattebise,1.8M,-,Italy,Entertainment and Music,540K,tiktok,italy,False,2024,Music,MAPPED
30,🇮🇹 Стефи Шейди 🗿 @stefy.shady,1.7M,-,Italy,,510K,tiktok,italy,False,2024,NA,NA
31,Maryna @marynaofficial,1.7M,0.1%,Italy,,510K,tiktok,italy,False,2024,NA,NA
32,Nyla @nylaa.a,1.6M,-,Italy,Entertainment and Music,480K,tiktok,italy,False,2024,Music,MAPPED
33,Jacob Phabian @itsphabian,1.6M,-,Italy,,480K,tiktok,italy,False,2024,NA,NA
34,HannaBraids @hannabraids,1.6M,-,Italy,,480K,tiktok,italy,False,2024,NA,NA
35,Giovanni Contrada @imp_of_the_perverse,1.5M,-,Italy,,450K,tiktok,italy,False,2024,NA,NA
36,TikTok Italia @tiktok_it,1.5M,-,Italy,Entertainment and Music,450K,tiktok,italy,False,2024,Music,MAPPED
37,Louisa @louisa_masciullo,1.5M,8.1%,Italy,,450K,tiktok,italy,False,2024,NA,NA
38,Simone Noto @simonenoto,1.5M,4.3%,Italy,Entertainment and Music,450K,tiktok,italy,False,2024,Music,MAPPED
39,Ally Yost @ally_yost,1.5M,-,Italy,Travel,450K,tiktok,italy,False,2024,Lifestyle,MAPPED
40,Angel @angeljiewang,1.4M,-,Italy,,420K,tiktok,italy,False,2024,NA,NA
41,Gianmarco Zagato @gianmarcozagato,1.4M,-,Italy,,420K,tiktok,italy,False,2024,NA,NA
42,rae @raeecambra,1.4M,-,Italy,,420K,tiktok,italy,False,2024,NA,NA
43,Ambra Cotti @ambra.cotti,1.3M,-,Italy,,390K,tiktok,italy,False,2024,NA,NA
44,Vincenzo Cairo @vincenzo_cairo,1.3M,0.5%,Italy,Entertainment and Music Music,390K,tiktok,italy,False,2024,Music,MAPPED
45,Davide Magaraggia @davidemaga,1.3M,-,Italy,News,390K,tiktok,italy,False,2024,Knowledge&Info,MAPPED
46,Dieffe Bros @dieffebros,1.2M,16.6%,Italy,,360K,tiktok,italy,False,2024,NA,NA
47,Frank Matano @frankmatano,1.2M,-,Italy,Entertainment and Music,360K,tiktok,italy,False,2024,Music,MAPPED
48,Lyon.wgf @lyon.wgf,1.2M,2.4%,Italy,,360K,tiktok,italy,False,2024,NA,NA
49,Ufozero2 @ufozero2,1.2M,16.9%,Italy,Entertainment and Music Funny,360K,tiktok,italy,False,2024,Music,MAPPED
50,EVITA 🔥 @evitastork,1.1M,-,Italy,Entertainment and Music,330K,tiktok,italy,False,2024,Music,MAPPED
51,Manu @x.manuel,1.1M,0.1%,Italy,Entertainment and Music,330K,tiktok,italy,False,2024,Music,MAPPED
52,Cora & Marilù @cora.e.marilu,1.1M,-,Italy,Acting and Drama,330K,tiktok,italy,False,2024,Entertainment,MAPPED
53,Vincenzo Caruso @dannyilpazzo.88,1.1M,-,Italy,Entertainment and Music,330K,tiktok,italy,False,2024,Music,MAPPED
54,Francesco Laganara @cescoartist,1M,-,Italy,Arts and Crafts,300K,tiktok,italy,False,2024,Lifestyle,MAPPED
55,Alessandro @alessandro_vincenti,991.7K,0.3%,Italy,,297.5K,tiktok,italy,False,2024,NA,NA
56,🤴🏻Joban♥️Pavi👸🏼 @joban.pavibajwa,989.2K,0.1%,Italy,Romance and Wedding Travel,296.8K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
57,Sharon Vanadia @sharon_vanadia,983.4K,0.1%,Italy,,295K,tiktok,italy,False,2024,NA,NA
58,🔥Alessandro tosatto @aletosatto,975.7K,-,Italy,,292.7K,tiktok,italy,False,2024,NA,NA
59,anapetcu @anapetcu,966.1K,-,Italy,,289.8K,tiktok,italy,False,2024,NA,NA
60,transformer674🇮🇹 @transformer674,961.4K,-,Italy,,288.4K,tiktok,italy,False,2024,NA,NA
61,Martina Strazzer @martinastrazzer_,960.9K,0.1%,Italy,,288.3K,tiktok,italy,False,2024,NA,NA
