rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Davie504 @UCgFvT6pUq9HLOvKBYERzXSQ,12.6M,-,Italy,,3.8M,youtube,italy,False,2024,NA,NA
2,Born2Kill @UCNpNPMjP5S3qvXnUS0KRepw,9M,0.3%,Italy,,2.7M,youtube,italy,False,2024,NA,NA
3,Serie A @UCBJeMCIeLQos7wacox4hmLQ,8.3M,-,Italy,,2.5M,youtube,italy,False,2024,NA,NA
4,FavijTV @UCSFC5Cio8zaLQDFPxA7y_HQ,6.4M,-,Italy,,1.9M,youtube,italy,False,2024,NA,NA
5,Me contro Te @UCfGk2x9k0vE14OoMlifGLCg,6.3M,0.1%,Italy,,1.9M,youtube,italy,False,2024,NA,NA
6,iPantellas @UCD-aXv7CMezGSTfxmKAD6Ag,5.8M,-,Italy,,1.7M,youtube,italy,False,2024,NA,NA
7,Warner Music Italy @UC9PZVgJF-mX4aDDzLE4z5Zg,5.8M,-,Italy,,1.7M,youtube,italy,False,2024,NA,NA
8,Rai @UCKUzdt2sELyxd6mz-bAx3bA,4.9M,-,Italy,,1.5M,youtube,italy,False,2024,NA,NA
9,Ameli TVIT @UC9FqpQX13mX-lLBWlTZ6Q0Q,4.6M,-,Italy,,1.4M,youtube,italy,False,2024,NA,NA
10,WhenGamersFail ► Lyon @UC1OGV4dczjRz8wNLRaezJ5Q,4.5M,0.1%,Italy,,1.3M,youtube,italy,False,2024,NA,NA
11,St3pNy @UCMggu4tZ2N6SD4FebIbMDpA,4.4M,0.3%,Italy,,1.3M,youtube,italy,False,2024,NA,NA
12,Måneskin Official @UCgQna2EqpzqzfBjlSmzT72w,4.3M,-,Italy,,1.3M,youtube,italy,False,2024,NA,NA
13,Film&Clips @UCNT5YLfnn2cQGIxGw8iOxJQ,4.2M,-,Italy,,1.3M,youtube,italy,False,2024,NA,NA
14,5 MINUTI CREATIVI @UCYzJ25VqINzsrrdPyBNpbAg,4.1M,-,Italy,,1.2M,youtube,italy,False,2024,NA,NA
15,Masha e Orso @UCSH8CjSBSMnD1gYvTOyjREw,4.1M,-,Italy,,1.2M,youtube,italy,False,2024,NA,NA
16,Daniele Vitale Sax @UCaQhy_pdgjkcVeh6bIfoVlg,4M,0.2%,Italy,,1.2M,youtube,italy,False,2024,NA,NA
17,Juventus @UCLzKhsxrExAC6yAdtZ-BOWw,3.7M,-,Italy,,1.1M,youtube,italy,False,2024,NA,NA
18,HALIDONMUSIC @UCyOfqgtsQaM3S-VZnsYnHjQ,3.5M,-,Italy,,1M,youtube,italy,False,2024,NA,NA
19,DisneyJuniorIT @UClb8YSegoA2ZRSSXqXlFJaA,3.1M,-,Italy,,918K,youtube,italy,False,2024,NA,NA
20,Lionfield @UCHwpDpLoyJgtFXoAaaSut4Q,3M,-,Italy,,909K,youtube,italy,False,2024,NA,NA
21,ilvostrocaroDexter @UCNo7m7faHS9t3nSDfWXvGww,3M,-,Italy,,891K,youtube,italy,False,2024,NA,NA
22,Surry @UC3V8twsHOUBGvM_xsQ_4ZJg,3M,0.3%,Italy,,888K,youtube,italy,False,2024,NA,NA
23,BUM! @UC8Lq46YDnbQMAXhAfc7hr7A,3M,0.1%,Italy,,888K,youtube,italy,False,2024,NA,NA
24,IL LATO POSITIVO @UC-yUaDGthx7mENfSxd81qfg,3M,-,Italy,,885K,youtube,italy,False,2024,NA,NA
25,Dolci Melodie @UC9WUMVR1jsan7IleT_bolsQ,2.9M,-,Italy,,870K,youtube,italy,False,2024,NA,NA
26,Two Players One Console @UCpyDd4YbikHZE-DtNGfpdjQ,2.9M,-,Italy,,855K,youtube,italy,False,2024,NA,NA
27,Fanpage.it @UCWJhBqnyVdHAuxexgjghNFw,2.8M,-,Italy,,846K,youtube,italy,False,2024,NA,NA
28,The Perfect Home @UC6rWB83cxqfb72-HEagGv2Q,2.8M,-,Italy,,840K,youtube,italy,False,2024,NA,NA
29,DisneyChannelIT @UCTLBJ_2dg5G109qFR34wRRA,2.7M,-,Italy,,819K,youtube,italy,False,2024,NA,NA
30,Ghali @UCY5rq0soTIK6hPbn8kejgMg,2.7M,-,Italy,,810K,youtube,italy,False,2024,NA,NA
31,Marcello Barenghi @UCcBnT6LsxANZjUWqpjR8Jpw,2.7M,-,Italy,,810K,youtube,italy,False,2024,NA,NA
32,Fashion Channel @UCepVy23t8l-CEaASZzfo9Jg,2.7M,-,Italy,,807K,youtube,italy,False,2024,NA,NA
33,JMMates @UCgzT6VaCrpF3QLZQa6ZcNcg,2.6M,-,Italy,,780K,youtube,italy,False,2024,NA,NA
34,Matt & Bise @UCuIn6yReJxMfn1zf7fd-M1Q,2.6M,-,Italy,,774K,youtube,italy,False,2024,NA,NA
35,Stella ASMR @UCJ1XeP1hg9K-8XJN9OdApjw,2.5M,-,Italy,,744K,youtube,italy,False,2024,NA,NA
36,Giallozafferano Italian Recipes @UChxU-cVEOaJOwCaSuBoZ9Qg,2.4M,-,Italy,,723K,youtube,italy,False,2024,NA,NA
37,Davidlap @UCdVHWfWPwwiOzMHpcwEATmA,2.4M,0.5%,Italy,,714K,youtube,italy,False,2024,NA,NA
38,Scottecs @UCqSmyuqVNwklKKlqqdMmV_A,2.3M,0.6%,Italy,,687K,youtube,italy,False,2024,NA,NA
39,Nickelodeon Italia @UCsHe74knLccbgec6WdGAkPQ,2.2M,-,Italy,,660K,youtube,italy,False,2024,NA,NA
40,FedezChanneL @UCxmtnN8xFnnJmXS5LdP6eMA,2.2M,-,Italy,,654K,youtube,italy,False,2024,NA,NA
41,kishinpain @UCzG9rE-_zcI0yN5Vvt39M_w,2.1M,1.6%,Italy,,633K,youtube,italy,False,2024,NA,NA
42,CoccoleSonore @UCfEcBFEBd8DutdOo8NXpj_w,2.1M,-,Italy,,630K,youtube,italy,False,2024,NA,NA
43,WB Kids Italiano @UCSMrqS8IssKKIILuz48IGSA,2M,0.1%,Italy,,615K,youtube,italy,False,2024,NA,NA
44,GiampyTek @UCDz3CjAc51W-YtsxYtSPZXg,2M,0.6%,Italy,,612K,youtube,italy,False,2024,NA,NA
45,Sespo @UCMsWbGu0Ahx6c4o0qEbbLmw,2M,0.6%,Italy,,612K,youtube,italy,False,2024,NA,NA
46,fazz160 @UCNLReGxOCGDExjb7pjPuPcA,2M,-,Italy,,606K,youtube,italy,False,2024,NA,NA
47,Awed ™ @UCQQo9hHxHi8gzfFuJSn5-kg,2M,1.3%,Italy,,603K,youtube,italy,False,2024,NA,NA
48,Sfera Ebbasta @UCMG7SfUy9pOybrhXEhEkdVQ,2M,-,Italy,,594K,youtube,italy,False,2024,NA,NA
49,Riccardo Dose @UCM3r1mXf1sQRdW3UDz3CLBg,2M,1.5%,Italy,,591K,youtube,italy,False,2024,NA,NA
50,Planet Records Official @UCCXpJXESxS2GPzteN-s3jrA,2M,0.5%,Italy,Music,588K,youtube,italy,False,2024,Music,MAPPED
51,Jakidale @UCz-KJn98sMCPW5kjG0ZnE-Q,1.9M,-,Italy,,567K,youtube,italy,False,2024,NA,NA
52,Lamborghini @UC9DXZC8BCDOW6pYAQKgozqw,1.9M,-,Italy,,567K,youtube,italy,False,2024,NA,NA
53,LOKMAN @UC62pVrrS3crLJXwVmenKAuA,1.9M,-,Italy,,561K,youtube,italy,False,2024,NA,NA
54,SpJockey @UC1GAMi8OhcorAwIEvYMdySA,1.8M,0.5%,Italy,,552K,youtube,italy,False,2024,NA,NA
55,Kids Tv Italiano - canzoni per bambini @UCv2quJy0NKOIA3MOdtarxig,1.8M,-,Italy,,549K,youtube,italy,False,2024,NA,NA
56,Me contro Te Music @UCwjrf475hoHRJZc5SMnZzng,1.8M,3.7%,Italy,,543K,youtube,italy,False,2024,NA,NA
57,Diego Rox Oficial @UCZcpoE-o9lKEa_F2orF4D3w,1.8M,0.8%,Italy,,540K,youtube,italy,False,2024,NA,NA
58,Energy TV @UC5eYHWDQqAsiKlnvLCz-ezg,1.8M,-,Italy,,531K,youtube,italy,False,2024,NA,NA
59,Luca Lattanzio @UC2ICoQB9ulLpElbQTf1IR9w,1.8M,-,Italy,,531K,youtube,italy,False,2024,NA,NA
60,Feinxy @UCMNFWE0hUtrWPVY0I1qIC4Q,1.8M,0.3%,Italy,,528K,youtube,italy,False,2024,NA,NA
61,Gianmarco Zagato @UCIJRzMxARIhYwuLiSG8YVlA,1.8M,0.5%,Italy,,528K,youtube,italy,False,2024,NA,NA
62,GBR - Giochi per Bambini e Ragazzi @UC-fqetpMe8rFuBeQ4bpl3Jw,1.7M,0.1%,Italy,,516K,youtube,italy,False,2024,NA,NA
63,JOk3R @UC8zerSNZ6ankNbtTgI5Rw2Q,1.7M,-,Italy,,516K,youtube,italy,False,2024,NA,NA
64,Fabio Rovazzi @UCVD7R3rgt7kaLMlP7-Gn0rw,1.7M,5.2%,Italy,,513K,youtube,italy,False,2024,NA,NA
65,Grax @UCD1iDvLrcf0RwYOM_3_FIbA,1.7M,0.3%,Italy,,510K,youtube,italy,False,2024,NA,NA
