rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Basim Karbalaei / باسم الكربلائي @UCLlMiPx_v5jFahvImDu_EFQ,9.3M,0.1%,Kuwait,,2.8M,youtube,kuwait,False,2024,NA,NA
2,Alafasy @UCmMcOjsVehVlEOteyrhjI2Q,7.5M,-,Kuwait,,2.2M,youtube,kuwait,False,2024,NA,NA
3,D-Gray - ديكراي @UC-bqx0CEnWLZ-o64hFvsnsQ,7.5M,1.4%,Kuwait,,2.2M,youtube,kuwait,False,2024,NA,NA
4,Kwili @UCGnCvNgWZ3T7hJJajjGYucA,5.7M,2.8%,Kuwait,,1.7M,youtube,kuwait,False,2024,NA,NA
5,Bjlife @UCoWHUkZf4bATsTlnqcNVPfw,5.6M,0.3%,Kuwait,,1.7M,youtube,kuwait,False,2024,NA,NA
6,عشوائيات فكرية @UC65ooHQczTQqxCyu2EN5LyQ,4M,-,Kuwait,,1.2M,youtube,kuwait,False,2024,NA,NA
7,Noor Family @UCYCK2ylr_-t-hVgRIb0pTPA,3M,-,Kuwait,,891K,youtube,kuwait,False,2024,NA,NA
8,يوميات دكتورة خلود @UC8k9ECR1fv4WWZzP5krv90w,2.9M,-,Kuwait,,879K,youtube,kuwait,False,2024,NA,NA
9,هيليوم @UCcHNviEBSkpJK-IxFIckXJA,2.8M,-,Kuwait,,825K,youtube,kuwait,False,2024,NA,NA
10,حسين ال نجار 25 Hussein Al Najjar @UCM35tjYF9lrZDh3gCWtw8hw,2.7M,-,Kuwait,Celebrity,810K,youtube,kuwait,False,2024,Entertainment,MAPPED
11,فريق عدنان @UCIpEamrGaiRFHNOee9dtE3g,2.6M,0.5%,Kuwait,,768K,youtube,kuwait,False,2024,NA,NA
12,ابو طلال الحمراني - سوالف طريق @UCR9SR-N3X8eKObeWdYYd6_g,2.4M,0.8%,Kuwait,,720K,youtube,kuwait,False,2024,NA,NA
13,Fares Ashour @UCguZq3Wm3YP9-UnL7VufcfA,2M,4.8%,Kuwait,,588K,youtube,kuwait,False,2024,NA,NA
14,Know Islam إعرف الإسلام @UCUWEC3K-a6govOtYeuprS5g,1.8M,0.1%,Kuwait,,540K,youtube,kuwait,False,2024,NA,NA
15,EM - عيسى المرزوق @UCAGIfMKaGF-jGydbYXBN4RQ,1.7M,0.8%,Kuwait,,522K,youtube,kuwait,False,2024,NA,NA
16,NOOR Q8 @UC_pK-DCeRqGfo9zLiLrJiMQ,1.7M,-,Kuwait,,516K,youtube,kuwait,False,2024,NA,NA
17,الشيخ نبيل العوضي @UCpPZKwayH_pWPF20Ls0hgVw,1.6M,0.1%,Kuwait,,489K,youtube,kuwait,False,2024,NA,NA
18,Sayed Astora @UCwKnF7alcD_dI_3Ff-_dDwA,1.6M,0.1%,Kuwait,,483K,youtube,kuwait,False,2024,NA,NA
19,Alj Sisters @UCZP7UtnnZxZ8r85CXH-iUsQ,1.5M,-,Kuwait,,462K,youtube,kuwait,False,2024,NA,NA
20,drjasemtv @UCRA5jakSPjVxrnA-aXpVRgQ,1.5M,-,Kuwait,,441K,youtube,kuwait,False,2024,NA,NA
21,Khattafya @UCpbAZ7JYN58L7s3Bry7nWNQ,1.3M,-,Kuwait,,402K,youtube,kuwait,False,2024,NA,NA
22,LUJAIN “‫لجين الظفيري‬‎” GLAM @UCRp8zrqzLgiBdbuXP6XvDYw,1.3M,0.2%,Kuwait,Beauty,384K,youtube,kuwait,False,2024,Beauty&Fashion,MAPPED
23,أروع المقاطع الإسلامية @UCsK6LdKTE82oN76uHRXfxEQ,1.3M,-,Kuwait,,381K,youtube,kuwait,False,2024,NA,NA
24,Marina TV @UC1TelTm8bbY2jw0guInSvBA,1.2M,-,Kuwait,,351K,youtube,kuwait,False,2024,NA,NA
25,Q8spanish - ابو محمد @UC47LGzsWJnd0D2jriVbtzdQ,1.2M,0.2%,Kuwait,,351K,youtube,kuwait,False,2024,NA,NA
26,Smood Almomen @UCwo7TSKu3jgrVtawCH7SCWA,1.2M,1.4%,Kuwait,,345K,youtube,kuwait,False,2024,NA,NA
27,Yousef Al Mohammad l يوسف المحمد @UCCQgBx-UNVoyAgQK2q0JDQA,1.2M,0.1%,Kuwait,,345K,youtube,kuwait,False,2024,NA,NA
28,atv Kuwait @UC5x4CPAZQa30z4_0hq1T37g,1.1M,-,Kuwait,,339K,youtube,kuwait,False,2024,NA,NA
29,Ahmad Al Nufais I أحمد النفيس @UCTY0UNILf_OBsWF2WEv0mLQ,1.1M,0.2%,Kuwait,,339K,youtube,kuwait,False,2024,NA,NA
30,Maysam Makeup @UCgXJS6PmnP7aNSy8wYnUS-A,1.1M,0.4%,Kuwait,,339K,youtube,kuwait,False,2024,NA,NA
31,بدر الشعيبي @UC7xBXp4oi8hzZrBFy-ijglQ,1.1M,1.6%,Kuwait,,339K,youtube,kuwait,False,2024,NA,NA
32,راشد فيلم RASHED FILM I @UCqZG6vsDSdlFSRwCTkwcqxg,1.1M,0.7%,Kuwait,Celebrity,333K,youtube,kuwait,False,2024,Entertainment,MAPPED
33,زاوية التاريخ @UCo0RMf7YW9VD-tRMrBmnRTQ,1.1M,-,Kuwait,,324K,youtube,kuwait,False,2024,NA,NA
34,Summary @UC3WziBdrb8ztqlt0n4k9dNw,1M,-,Kuwait,,309K,youtube,kuwait,False,2024,NA,NA
35,Mona Family عائلة منى @UCPGPKtg0POaeQIEZnAlsx3w,1M,-,Kuwait,,303K,youtube,kuwait,False,2024,NA,NA
