rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Nancy Ajram @UChnf7fs7mlfbzsJpwWnJBYA,7M,-,Lebanon,,2.1M,youtube,lebanon,False,2024,NA,NA
2,Elissa @UCwVXB9hCnLiarr3pZLmnr2w,4.9M,-,Lebanon,,1.5M,youtube,lebanon,False,2024,NA,NA
3,Nassif Zeytoun @UCO4AjeljgqgiowEf2yfvYHg,4.5M,0.5%,Lebanon,,1.4M,youtube,lebanon,False,2024,NA,NA
4,Malek Maktabi l مالك مكتبي @UCga4N76Fl4sgcn30iwBs7aQ,4.5M,-,Lebanon,,1.4M,youtube,lebanon,False,2024,NA,NA
5,ETH 2.0 @UCZKhWZoMMl92_TBKzGAtkiw,4.4M,-,Lebanon,,1.3M,youtube,lebanon,False,2024,NA,NA
6,حمادة نشواتي @UCrXqG3hhDv2VmfO73S9fztQ,4.2M,-,Lebanon,,1.2M,youtube,lebanon,False,2024,NA,NA
7,AL HASHIM - حسن هاشم @UCN1Lyow-3R4jtN-cddDd_eQ,3.4M,0.5%,Lebanon,,1M,youtube,lebanon,False,2024,NA,NA
8,LBCI Lebanon @UCpE6gpKewomi17XDyPfpFjA,3.3M,-,Lebanon,,993K,youtube,lebanon,False,2024,NA,NA
9,Sobhi Mohammad - صبحي محمد @UCEiwa5MRvm0mV85wpLTLUBw,2.9M,-,Lebanon,,867K,youtube,lebanon,False,2024,NA,NA
10,Lamis Chaaban @lamischaaban,2.4M,0.1%,Lebanon,,720K,youtube,lebanon,False,2024,NA,NA
11,Laila Mourad @UCRba9v75sMzuYRAw38_Gwdw,2.3M,0.6%,Lebanon,,681K,youtube,lebanon,False,2024,NA,NA
12,Amjad Jomaa @UCBs5cNvb-SHOLPNYHqVxAiw,2.1M,12.2%,Lebanon,,618K,youtube,lebanon,False,2024,NA,NA
13,Rewechtv @UCgvvQgm-ayEeX0bbbogFayQ,2M,-,Lebanon,,606K,youtube,lebanon,False,2024,NA,NA
14,layla jawad channel @UCoAFqg8GCC3l44hX2Fv02Cg,2M,0.3%,Lebanon,Education Technology,594K,youtube,lebanon,False,2024,Knowledge&Info,MAPPED
15,Official Sadeem @UCWxc7ue-jGlL5ypOHX_i0Bg,1.9M,1.5%,Lebanon,,582K,youtube,lebanon,False,2024,NA,NA
16,WATARY @UC3OkjsPyaVQMh7iGux8N_Ig,1.8M,-,Lebanon,,531K,youtube,lebanon,False,2024,NA,NA
17,AyleFaniye Family - عيلة فنية أوتار @UC86FsR43ajXMvVaEqB8WYtw,1.8M,0.5%,Lebanon,,525K,youtube,lebanon,False,2024,NA,NA
18,Haydar Zaiter / حيدر زعيتر @UC4y366sMwYabH_ts2PNX3Lg,1.7M,-,Lebanon,,513K,youtube,lebanon,False,2024,NA,NA
19,جمانه بلانيت -joumana planet @UCMNnWy0xyRtTdjHu_LJsEJw,1.6M,-,Lebanon,,483K,youtube,lebanon,False,2024,NA,NA
20,AL Jadeed News @UC4JCsTLFcHGk10qpiNMh0Ww,1.6M,-,Lebanon,,480K,youtube,lebanon,False,2024,NA,NA
21,سارة في المطبخ @UCS4DiIRaRfmslnkiWKD6hTQ,1.6M,-,Lebanon,,465K,youtube,lebanon,False,2024,NA,NA
22,Cedars Art Production @UCFvnsZaE1YwMBmIDIpOuSgQ,1.6M,-,Lebanon,,465K,youtube,lebanon,False,2024,NA,NA
23,Yara @UCU6HdlazY9VEVjMTf57w8Qg,1.5M,0.1%,Lebanon,,456K,youtube,lebanon,False,2024,NA,NA
24,Lama Shreif @UCkJhRj7ZEY0nhZfpA2thzwg,1.5M,-,Lebanon,,444K,youtube,lebanon,False,2024,NA,NA
25,Ziad Bourji @UClzVAB085DUM95sUk1ZifUQ,1.4M,-,Lebanon,,411K,youtube,lebanon,False,2024,NA,NA
26,Taha Kids TV | قناة طه للأطفال @UC-JxDEXTveaA4yWXxKVZaJg,1.4M,-,Lebanon,,408K,youtube,lebanon,False,2024,NA,NA
27,Mega Drama - ميغا دراما @UCMstw1dHp2UCuVY7vml5PpQ,1.4M,0.1%,Lebanon,,405K,youtube,lebanon,False,2024,NA,NA
28,Quality Production @UCVUWD5W4g4APk15vsC0s3RA,1.3M,-,Lebanon,,399K,youtube,lebanon,False,2024,NA,NA
29,Shireen Abusaad @UC_J5QzO2yzsasbcbPdRsqOQ,1.3M,0.4%,Lebanon,,393K,youtube,lebanon,False,2024,NA,NA
30,Maguy Farah - ماغي فرح @UCPQ-YyoLY6HjqFnbQtVaNSw,1.3M,-,Lebanon,Careers Politics,390K,youtube,lebanon,False,2024,Knowledge&Info,MAPPED
31,ArabicaTV @UCwhWu2mto7CALPJelOc8OoQ,1.3M,0.1%,Lebanon,,384K,youtube,lebanon,False,2024,NA,NA
32,Wael Kfoury | وائل كفوري @UC1F4CV2YjvxKgNOOFqd_dfQ,1.2M,-,Lebanon,,357K,youtube,lebanon,False,2024,NA,NA
33,شوف دراما الثالثة - Shoof Drama 3 @UCQOz2_AhxeHUbNMYan-6ZQQ,1.2M,-,Lebanon,,345K,youtube,lebanon,False,2024,NA,NA
34,Hussein Al Deek @UCfjfjgI6nIj5d6VMTpheQ8w,1.2M,4.3%,Lebanon,,345K,youtube,lebanon,False,2024,NA,NA
35,OTV Lebanon @UCJu-0vnWt0wFMQuLsjzwjRQ,1.1M,-,Lebanon,,339K,youtube,lebanon,False,2024,NA,NA
36,Haifa Wehbe @UCUpLrHLtpJKplgkR__bZfMw,1.1M,6.7%,Lebanon,,333K,youtube,lebanon,False,2024,NA,NA
37,Drama Al Fan - دراما الفن @UCM3ZDdbvu5Hjw4czms6V8cQ,1.1M,-,Lebanon,,318K,youtube,lebanon,False,2024,NA,NA
38,Ali Deek @UCMlS1ftMjlBEeQgikfs9HZQ,1.1M,-,Lebanon,,315K,youtube,lebanon,False,2024,NA,NA
39,Andre Soueid @UCs_FCWW3k5FJFl93xSwHKgg,1M,-,Lebanon,,312K,youtube,lebanon,False,2024,NA,NA
40,Carmen Chammas @UCB1qdEA63QN-eptTZLV8xxA,1M,0.5%,Lebanon,,309K,youtube,lebanon,False,2024,NA,NA
41,Ragheb Alama @UCvRoxL3xFaXyU6w9o0lxGPQ,1M,1.9%,Lebanon,,303K,youtube,lebanon,False,2024,NA,NA
42,Marwan Khoury | مروان خوري @UCfdwiI2BBzLo59asUCbJEBQ,1M,-,Lebanon,Careers Music,300K,youtube,lebanon,False,2024,Music,MAPPED
43,Ibrahim Abbas - VEØ @UCEay0bbhTVqGdxKQ9pTPSxQ,956K,0.8%,Lebanon,,286.8K,youtube,lebanon,False,2024,NA,NA
44,Georges Wassouf @UCRpVH-l7I3j1bZHcrW1c-dg,941K,1.5%,Lebanon,,282.3K,youtube,lebanon,False,2024,NA,NA
