rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Kimberly Loaiza @kimberly.loaiza,76.1M,1.6%,Mexico,,22.8M,tiktok,mexico,False,2024,NA,NA
2,Michel Chavez @its.michhh,30.2M,-,Mexico,,9.1M,tiktok,mexico,False,2024,NA,NA
3,Mario Aguilar @marioaguilar,16.3M,-,Mexico,Entertainment and Music,4.9M,tiktok,mexico,False,2024,Music,MAPPED
4,Juanpa Zurita @juanpazurita,12.9M,-,Mexico,Entertainment and Music,3.9M,tiktok,mexico,False,2024,Music,MAPPED
5,✨B I A N C A O S S✨ @soybiancaoss,10.9M,0.4%,Mexico,,3.3M,tiktok,mexico,False,2024,NA,NA
6,Andy George @andysistar407,10.8M,0.1%,Mexico,,3.2M,tiktok,mexico,False,2024,NA,NA
7,Calixto Serna @mexicocookingclub,10.5M,0.1%,Mexico,Food,3.2M,tiktok,mexico,False,2024,Lifestyle,MAPPED
8,Rosalinda Salinas @rosy.salinass,10.2M,-,Mexico,,3.1M,tiktok,mexico,False,2024,NA,NA
9,Karleshion @karladelatorre97,10.2M,1.3%,Mexico,,3.1M,tiktok,mexico,False,2024,NA,NA
10,Eddie @sauceddie,10.2M,1.5%,Mexico,Celebrity,3.1M,tiktok,mexico,False,2024,Entertainment,MAPPED
11,Ely Blancarte @elyblancarte,9.9M,0.2%,Mexico,,3M,tiktok,mexico,False,2024,NA,NA
12,Antonyviews✌🏼 @antonyviews,9.8M,-,Mexico,,2.9M,tiktok,mexico,False,2024,NA,NA
13,Jason Thores @jasonthores,9.6M,-,Mexico,Entertainment and Music,2.9M,tiktok,mexico,False,2024,Music,MAPPED
14,Babo Cartel de Santa @babo_cds,9.2M,0.1%,Mexico,Entertainment and Music,2.8M,tiktok,mexico,False,2024,Music,MAPPED
15,Audrey Ochoa @audrey_8a,8.9M,-,Mexico,Life and Society,2.7M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
16,Ara y Fer @arayfer_ha,8.8M,-,Mexico,Entertainment and Music Funny,2.6M,tiktok,mexico,False,2024,Music,MAPPED
17,Antrax 💎 @yosoyantrax,8.5M,1.9%,Mexico,Entertainment and Music Animation and Cosplay,2.6M,tiktok,mexico,False,2024,Tech&Gaming,MAPPED
18,Dani Universe @daniuniverse,8.3M,-,Mexico,Entertainment and Music,2.5M,tiktok,mexico,False,2024,Music,MAPPED
19,Kaia Lana @kaialana,7.8M,-,Mexico,,2.3M,tiktok,mexico,False,2024,NA,NA
20,Choox TV @edgardumali,7.7M,-,Mexico,Fashion and Accessories,2.3M,tiktok,mexico,False,2024,Beauty&Fashion,MAPPED
21,X I M E P O N C H ◡̈ @ximeponch,7.6M,0.2%,Mexico,Fashion and Accessories,2.3M,tiktok,mexico,False,2024,Beauty&Fashion,MAPPED
22,exi sosa 👑 @exi_sosa,7.5M,-,Mexico,Acting and Drama Entertainment and Music,2.3M,tiktok,mexico,False,2024,Music,MAPPED
23,ElRufas @elrufas,7.4M,-,Mexico,,2.2M,tiktok,mexico,False,2024,NA,NA
24,Los ADN @losadnmx,7.2M,-,Mexico,,2.2M,tiktok,mexico,False,2024,NA,NA
25,BETO @beto.locuras,7.1M,-,Mexico,,2.1M,tiktok,mexico,False,2024,NA,NA
26,OZKAR @ozkar___,7M,-,Mexico,Education Entertainment and Music,2.1M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
27,Omar Chaparro @omarchaparrooficial,6.7M,-,Mexico,Acting and Drama Celebrity,2M,tiktok,mexico,False,2024,Entertainment,MAPPED
28,JESUSNALGAS @jesusnalgas,6M,4.7%,Mexico,Entertainment and Music Funny,1.8M,tiktok,mexico,False,2024,Music,MAPPED
29,Sabina Hidalgo @sabyhidalgo,5.8M,0.2%,Mexico,,1.7M,tiktok,mexico,False,2024,NA,NA
30,Javier Cazarez @javiercazarez,5.6M,0.1%,Mexico,,1.7M,tiktok,mexico,False,2024,NA,NA
31,Me Caigo de Risa @mecaigoderisaof,5.5M,-,Mexico,Entertainment and Music Funny,1.7M,tiktok,mexico,False,2024,Music,MAPPED
32,Vive México @vive.mexico,5.4M,-,Mexico,,1.6M,tiktok,mexico,False,2024,NA,NA
33,Larry Hernandez @larrymania,5.3M,-,Mexico,Entertainment and Music,1.6M,tiktok,mexico,False,2024,Music,MAPPED
34,Jordan Álvarez @jordanalvarezz,5.2M,0.2%,Mexico,Education,1.6M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
35,Pao Castillo 🔥 @paocastillooficial,5.1M,-,Mexico,,1.5M,tiktok,mexico,False,2024,NA,NA
36,violetaisfel @violetaisfel,5M,-,Mexico,,1.5M,tiktok,mexico,False,2024,NA,NA
37,NIURKA MARCOS @niurka.oficial,5M,-,Mexico,Entertainment and Music,1.5M,tiktok,mexico,False,2024,Music,MAPPED
38,Basi @basii_17,4.9M,-,Mexico,,1.5M,tiktok,mexico,False,2024,NA,NA
39,Fabiola 🔥 @_amablack_,4.8M,-,Mexico,Entertainment and Music,1.4M,tiktok,mexico,False,2024,Music,MAPPED
40,Cepillintv Oficial @cepillintv,4.8M,-,Mexico,Entertainment and Music,1.4M,tiktok,mexico,False,2024,Music,MAPPED
41,ivanna :) @ivanna_perez,4.4M,-,Mexico,,1.3M,tiktok,mexico,False,2024,NA,NA
42,"Javier ""Chicharito"" Hernández @chicha14_",4.4M,-,Mexico,Sports,1.3M,tiktok,mexico,False,2024,Sports,MAPPED
43,Sebas Mariscal @sebasmariscal,4.4M,-,Mexico,Photography,1.3M,tiktok,mexico,False,2024,Lifestyle,MAPPED
44,Carlos Rivera @_carlosrivera,4.3M,-,Mexico,Entertainment and Music,1.3M,tiktok,mexico,False,2024,Music,MAPPED
45,Yordi Rosado @yordirosadoo,4.2M,-,Mexico,Entertainment and Music family,1.3M,tiktok,mexico,False,2024,Music,MAPPED
46,Fabiola Guajardo @fabiolagdo,4.2M,-,Mexico,,1.3M,tiktok,mexico,False,2024,NA,NA
47,Ian Sánchez @ianzech,4.1M,-,Mexico,,1.2M,tiktok,mexico,False,2024,NA,NA
48,Gala montes @galamontes_,4.1M,-,Mexico,,1.2M,tiktok,mexico,False,2024,NA,NA
49,Brandon Vela🦋 @brandon.vela,3.9M,-,Mexico,,1.2M,tiktok,mexico,False,2024,NA,NA
50,Alfredito Komander @alfreditokomander,3.9M,-,Mexico,Entertainment and Music,1.2M,tiktok,mexico,False,2024,Music,MAPPED
51,Arta @artamios,3.8M,-,Mexico,Life and Society Arts and Crafts Entertainment and Music,1.1M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
52,Doc Laura Salazar @doclaurasalazar,3.8M,6.2%,Mexico,,1.1M,tiktok,mexico,False,2024,NA,NA
53,Tavo Betancourt @betancourttavo,3.8M,-,Mexico,Entertainment and Music,1.1M,tiktok,mexico,False,2024,Music,MAPPED
54,JUANFE @juanfecastrob,3.7M,-,Mexico,Education,1.1M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
55,Esen @esen_alva,3.6M,0.1%,Mexico,,1.1M,tiktok,mexico,False,2024,NA,NA
56,Alejandra Cadena @its.alejandra.cadena,3.6M,-,Mexico,Travel,1.1M,tiktok,mexico,False,2024,Lifestyle,MAPPED
57,ABRAHAM @abrahamzarazua,3.4M,-,Mexico,,1M,tiktok,mexico,False,2024,NA,NA
58,Рикардо ПЕРЕЗАГРУЗКА @riiccardo_,3.4M,-,Mexico,Life and Society DIY and Life Hacks,1M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
59,EL GUERO MP @el_guero_mp,3.4M,-,Mexico,Business and Finance,1M,tiktok,mexico,False,2024,Knowledge&Info,MAPPED
60,Sabrina Salvatierra Caballero @sabrinasalvatierrra,3.3M,-,Mexico,,990K,tiktok,mexico,False,2024,NA,NA
