rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,OLE' CH(4.7M) @oleeo_ch,4.7M,1.4%,Norway,,1.4M,tiktok,norway,False,2024,NA,NA
2,The Nylands @thenylands,3.2M,-,Norway,Funny,960K,tiktok,norway,False,2024,Entertainment,MAPPED
3,Ingrid Elida @ingridelidaw,2.2M,-,Norway,Arts and Crafts,660K,tiktok,norway,False,2024,Lifestyle,MAPPED
4,Princess Thea @princess_thea14,2M,-,Norway,Fashion and Accessories,600K,tiktok,norway,False,2024,Beauty&Fashion,MAPPED
5,(っ◔◡◔)っ ♥ Anna Lena Strigl ♥ @anna_strigl,2M,-,Norway,Animation and Cosplay,600K,tiktok,norway,False,2024,Tech&Gaming,MAPPED
6,Alexander Rybak @alexrybakofficial,1.9M,-,Norway,Entertainment and Music,570K,tiktok,norway,False,2024,Music,MAPPED
7,Are Evensen @aer.ey,1.5M,-,Norway,Life and Society,450K,tiktok,norway,False,2024,Knowledge&Info,MAPPED
8,Julius Chezame Treike @chezame_official,1.1M,-,Norway,,330K,tiktok,norway,False,2024,NA,NA
9,Beppa @grandpabeppa_,960.6K,-,Norway,Entertainment and Music,288.2K,tiktok,norway,False,2024,Music,MAPPED
10,Chicco Mattos @chiccomattos,938.8K,-,Norway,,281.6K,tiktok,norway,False,2024,NA,NA
11,Frost_Cos @frost_cos,918.4K,-,Norway,Animation and Cosplay,275.5K,tiktok,norway,False,2024,Tech&Gaming,MAPPED
12,Sabina Majaliwa @sabinamajaliwa,883.5K,-,Norway,,265.1K,tiktok,norway,False,2024,NA,NA
13,❄️keanu❄️ @xx.devilzach.xx,727.1K,0.4%,Norway,,218.1K,tiktok,norway,False,2024,NA,NA
14,Fredrik•skoglund @fredrikskoglundd,665.7K,0.3%,Norway,,199.7K,tiktok,norway,False,2024,NA,NA
15,Pia Notøy @pia.notoy,654.8K,-,Norway,,196.4K,tiktok,norway,False,2024,NA,NA
16,Memes every day @memes_dont_laugh,646.1K,4.2%,Norway,,193.8K,tiktok,norway,False,2024,NA,NA
17,JuliasPhouse @juliasphouse,620.4K,-,Norway,Home and Garden Life and Society,186.1K,tiktok,norway,False,2024,Knowledge&Info,MAPPED
18,Ole Mørland Johnsen @highonflips,618K,-,Norway,Outdoor Activity Sports Entertainment and Music,185.4K,tiktok,norway,False,2024,Sports,MAPPED
19,PainHubFamily @painhubfamily,614.6K,0.5%,Norway,,184.4K,tiktok,norway,False,2024,NA,NA
20,Espen Hatleskog @pilotviking,609K,-,Norway,,182.7K,tiktok,norway,False,2024,NA,NA
21,Nikko🔥🔥 @nikko115,591.6K,-,Norway,Food,177.5K,tiktok,norway,False,2024,Lifestyle,MAPPED
22,Edel Charlotte @edel_fosse,523.5K,-,Norway,,157.1K,tiktok,norway,False,2024,NA,NA
23,Made by MARV @madebymarv_,518K,0.1%,Norway,,155.4K,tiktok,norway,False,2024,NA,NA
