rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Yamila Ruíz @yamilaruiz_py,4.5M,-,Paraguay,,1.4M,tiktok,paraguay,False,2024,NA,NA
2,Sandra Ramirez @sandrit95,897.9K,0.2%,Paraguay,,269.4K,tiktok,paraguay,False,2024,NA,NA
3,WLWPARAGUAY @wlwparaguay,839.8K,-,Paraguay,,251.9K,tiktok,paraguay,False,2024,NA,NA
4,La Sole'i 🐒 @shuliriquelme22,831.7K,-,Paraguay,,249.5K,tiktok,paraguay,False,2024,NA,NA
5,Ayealfonsopy @ayealfonsopy,688.8K,-,Paraguay,,206.6K,tiktok,paraguay,False,2024,NA,NA
6,Ariel Gomez @arielgomezpy,678.5K,0.9%,Paraguay,Arts and Crafts,203.6K,tiktok,paraguay,False,2024,Lifestyle,MAPPED
7,Ajenjo @celia.ortiz69,642.7K,-,Paraguay,,192.8K,tiktok,paraguay,False,2024,NA,NA
8,Paola Revelli @paolarevelli,630.8K,-,Paraguay,,189.2K,tiktok,paraguay,False,2024,NA,NA
9,Mónica Leguizamón @monileguiii,619.7K,-,Paraguay,,185.9K,tiktok,paraguay,False,2024,NA,NA
10,Gaby Ovelar @gabyovemed,610.3K,-,Paraguay,,183.1K,tiktok,paraguay,False,2024,NA,NA
11,Valle Sosa732 @vallesosa23,567.6K,-,Paraguay,,170.3K,tiktok,paraguay,False,2024,NA,NA
12,Lᴀᴜᴛʏ Arce @lauty_arce,564.1K,-,Paraguay,,169.2K,tiktok,paraguay,False,2024,NA,NA
13,lizita dos santos554 @lizitadossantos55,560.6K,-,Paraguay,,168.2K,tiktok,paraguay,False,2024,NA,NA
14,Chennytv @charamtv,539.6K,-,Paraguay,,161.9K,tiktok,paraguay,False,2024,NA,NA
15,apia.py @apia.py,534.2K,-,Paraguay,,160.3K,tiktok,paraguay,False,2024,NA,NA
16,ANA MARIA POLO ❤ @casocerrad2,512K,-,Paraguay,,153.6K,tiktok,paraguay,False,2024,NA,NA
17,Felipe mi flaco💘✨ @felipemilugarseguro,479.2K,-,Paraguay,,143.8K,tiktok,paraguay,False,2024,NA,NA
18,Andersonic @andersonic_play,477.7K,-,Paraguay,Entertainment and Music Games Funny,143.3K,tiktok,paraguay,False,2024,Tech&Gaming,MAPPED
19,Nicolasa rikelme oficial @nicol.rikelme,461K,-,Paraguay,,138.3K,tiktok,paraguay,False,2024,NA,NA
20,Ruth Aide Alfonzo @ruthaidealfonzo,459.5K,-,Paraguay,Beauty and Self Care,137.9K,tiktok,paraguay,False,2024,Beauty&Fashion,MAPPED
