rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Andrea Brillantes @blythe,18.8M,1.3%,Philippines,,5.6M,tiktok,philippines,False,2024,NA,NA
2,Vladimir Grand @callmegrand,16.6M,-,Philippines,Entertainment and Music Celebrity,5M,tiktok,philippines,False,2024,Music,MAPPED
3,Sanya Lopez @sanya_lopez,14.4M,0.4%,Philippines,Entertainment and Music Romance and Wedding,4.3M,tiktok,philippines,False,2024,Beauty&Fashion,MAPPED
4,Queenay👸🏻 @queeneemercado,12.8M,-,Philippines,Entertainment and Music,3.8M,tiktok,philippines,False,2024,Music,MAPPED
5,Vice Ganda @unkabogableviceganda,11.2M,2.3%,Philippines,,3.4M,tiktok,philippines,False,2024,NA,NA
6,Kuya Magik @kuyamagik,10.7M,-,Philippines,Entertainment and Music,3.2M,tiktok,philippines,False,2024,Music,MAPPED
7,Lex @redbedonia,9.6M,0.9%,Philippines,Fashion and Accessories,2.9M,tiktok,philippines,False,2024,Beauty&Fashion,MAPPED
8,kyline alcantara @itskylinealcantara3,9.3M,-,Philippines,,2.8M,tiktok,philippines,False,2024,NA,NA
9,Chris Olsen @chris,7.4M,-,Philippines,Entertainment and Music,2.2M,tiktok,philippines,False,2024,Music,MAPPED
10,AndreeBonifacio @andreebonifacioo,6.6M,-,Philippines,,2M,tiktok,philippines,False,2024,NA,NA
11,Awra Briguela @awrabriguela,6.5M,-,Philippines,,2M,tiktok,philippines,False,2024,NA,NA
12,Buboy Villar @buboyjrvillar,5.4M,-,Philippines,Entertainment and Music,1.6M,tiktok,philippines,False,2024,Music,MAPPED
13,Kiray Celis @kiraycelisofficial,5.4M,-,Philippines,,1.6M,tiktok,philippines,False,2024,NA,NA
14,H2WO @h2woofficial,5.2M,2%,Philippines,Games,1.6M,tiktok,philippines,False,2024,Tech&Gaming,MAPPED
15,Jodi Sta.Maria @jodi_stamaria,5.1M,-,Philippines,Acting and Drama family Fitness and Health Travel,1.5M,tiktok,philippines,False,2024,Sports,MAPPED
16,Ms. Hipon 🦐🇵🇭 @justinejoyce10,4.8M,-,Philippines,Entertainment and Music,1.4M,tiktok,philippines,False,2024,Music,MAPPED
17,LYN @lynlapid,4.7M,-,Philippines,,1.4M,tiktok,philippines,False,2024,NA,NA
18,RIVA QUENERY @rivaquenery,4.5M,-,Philippines,,1.4M,tiktok,philippines,False,2024,NA,NA
19,Lazada Philippines @lazadaph,4.5M,-,Philippines,Product Showcase,1.4M,tiktok,philippines,False,2024,Beauty&Fashion,MAPPED
20,TikTok Philippines @tiktokphilippines,4.2M,-,Philippines,,1.3M,tiktok,philippines,False,2024,NA,NA
21,ISAAC PUSONG PINOY @kuya_isaac,3.5M,-,Philippines,Entertainment and Music,1.1M,tiktok,philippines,False,2024,Music,MAPPED
22,Kokoishii 🇵🇭🐧 @kokoishii,3.4M,-,Philippines,,1M,tiktok,philippines,False,2024,NA,NA
23,Kim Rodriguez @kimrodriguez_,3.4M,-,Philippines,,1M,tiktok,philippines,False,2024,NA,NA
24,J.C. Dombrowski @jc.dombrowski,2.9M,-,Philippines,Education,870K,tiktok,philippines,False,2024,Knowledge&Info,MAPPED
25,Haide🦋 @haidezhang,2.9M,-,Philippines,Entertainment and Music Funny Photography Travel,870K,tiktok,philippines,False,2024,Music,MAPPED
26,Aling Nena @richobautista,2.8M,-,Philippines,,840K,tiktok,philippines,False,2024,NA,NA
27,aisha @arbacn,2.7M,-,Philippines,Life and Society,810K,tiktok,philippines,False,2024,Knowledge&Info,MAPPED
28,Dumbolicious 🇵🇭 @dumbolicious_143,2.7M,-,Philippines,,810K,tiktok,philippines,False,2024,NA,NA
29,Jong Madaliday @jongmadaliday,2.7M,-,Philippines,,810K,tiktok,philippines,False,2024,NA,NA
30,DreamWithDiana @diana_gabra,2.6M,-,Philippines,family,780K,tiktok,philippines,False,2024,Lifestyle,MAPPED
31,Princess 👸👑 @princess18princess,2.6M,-,Philippines,Entertainment and Music Romance and Wedding,780K,tiktok,philippines,False,2024,Beauty&Fashion,MAPPED
32,Yeng Constantino @yengconstantinotiktok,2.6M,-,Philippines,Entertainment and Music,780K,tiktok,philippines,False,2024,Music,MAPPED
33,"Vicki Belo, M.D. @vicki_belo",2.5M,-,Philippines,Beauty and Self Care,750K,tiktok,philippines,False,2024,Beauty&Fashion,MAPPED
