rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,💜Milka Queen💜 @milway.ka,10.4M,-,Poljska,,3.1M,tiktok,poland,False,2024,NA,NA,
2,STASYA 💜 @stasya.pro,2.5M,-,Poljska,Ljepota i briga za sebe,750K,tiktok,poland,False,2024,Beauty&Fashion,MAPPED,Beauty and self-care
3,"Paweł ,,PAVLLOO” Szwed @pavlloo",2.3M,-,Poljska,,690K,tiktok,poland,False,2024,NA,NA,
4,MARLEY AND KUBA @marleyandkuba,2.3M,0.1%,Poljska,Kućni ljubimci,690K,tiktok,poland,False,2024,Lifestyle,MAPPED,Pets
5,Friz @tojafriz,2.1M,0.5%,Poljska,,630K,tiktok,poland,False,2024,NA,NA,
6,Roxana Orłowska @roxaok,2.1M,-,Poljska,Predstavljanje proizvoda,630K,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Product presentation
7,BUNIEK @buniosb,2M,1.6%,Poljska,Moda i pribor,600K,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Moda i pribor
8,Sleeping Pill w Inka | Spotify @inkamagnaye,1.9M,-,Poljska,Zabava i glazba,570K,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
9,Pat @patrykwxjcik,1.5M,-,Poljska,Zabava i glazba,450K,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
10,Patryk Zapała @colorowyy,1.4M,-,Poljska,Umjetnost i zanati Zabava i glazba,420K,tiktok,poland,False,2024,Music,MAPPED,Arts and Crafts Entertainment and Music
11,DAWID KWIATKOWSKI @kwiatkowsky,1.2M,0.1%,Poljska,Zabava i glazba,360K,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
12,WŁADEK @wladek_jestem,1.1M,-,Poljska,Moda i pribor Uradi sam i savjeti za život,330K,tiktok,poland,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories DIY and life tips
13,Filip Szyc @filip.szyc,1.1M,-,Poljska,Fotografija Zabava i glazba,330K,tiktok,poland,False,2024,Music,MAPPED,Photo Entertainment and music
