rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,نادي النصر السعودي @alnassr,24.3M,0.55%,Saudi Arabia,,7.3M,instagram,saudi-arabia,False,2024,NA,NA
2,TURKI ALALSHIKH تركي آل الشيخ @turkialalshik,17.9M,3.08%,Saudi Arabia,Celebrity Gym Modeling,5.4M,instagram,saudi-arabia,False,2024,Sports,MAPPED
3,أحمد الشقيري @ahmadalshugairi,17.6M,0.41%,Saudi Arabia,Education TV Host,5.3M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
4,أخبار السعودية @saudinews50,13.9M,0.1%,Saudi Arabia,Education Life and Society News News & Politics,4.2M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
5,ميتو الشامسي | Mohammed Shamsi @imeeto,8.7M,1.88%,Saudi Arabia,Entertainment and Music Funny Celebrity Game,2.6M,instagram,saudi-arabia,False,2024,Music,MAPPED
6,Fifi Abdou @fifiabdouofficial,8.5M,0.21%,Saudi Arabia,Art Modeling,2.6M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
7,thoriq halilintar @thariqhalilintar,7.9M,1.18%,Saudi Arabia,Entertainment and Music Celebrity Video Blogger,2.4M,instagram,saudi-arabia,False,2024,Music,MAPPED
8,شيمي 🎼. @sheme._.a,6.9M,0.44%,Saudi Arabia,"Music Lifestyle Humor Film, Music & Books",2.1M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
9,Aseel | أسيل 🇸🇦 @aseel,6.7M,0.26%,Saudi Arabia,Acting and Drama Beauty and Self Care Celebrity Singer,2M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
10,Ola Al Fares ⚖️ عُلا الفارس @olaalfares,6.7M,0.47%,Saudi Arabia,Education,2M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
11,Top Saudia @mi.2v,6.2M,0.41%,Saudi Arabia,Business and Finance Funny,1.9M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
12,سيرج 🔎 @search2news,6M,0.03%,Saudi Arabia,,1.8M,instagram,saudi-arabia,False,2024,NA,NA
13,Shraddha Arya @sarya12,5.8M,2.53%,Saudi Arabia,Upskilling Celebrity Actors Modeling,1.8M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
14,عُمر آل عوضه | Omar Al Odah @bin_odahx,5.8M,1.34%,Saudi Arabia,Life and Society Writers,1.7M,instagram,saudi-arabia,False,2024,Knowledge&Info,MAPPED
15,ابو ملك @r.mjrm,5.7M,0.46%,Saudi Arabia,Modeling,1.7M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
16,@dj4,5.5M,0.03%,Saudi Arabia,Celebrity Celebrities Game Cars & Motorcycles,1.7M,instagram,saudi-arabia,False,2024,Tech&Gaming,MAPPED
17,Abdulaziz @bin_baz,5.2M,0.1%,Saudi Arabia,Fitness Fashion Soccer Architecture,1.6M,instagram,saudi-arabia,False,2024,Sports,MAPPED
18,@elfiraloy,5.1M,0.3%,Saudi Arabia,Fashion and Accessories Business and Finance Public Figure,1.5M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
19,د. ملاك الحسيني @malak_alhusaini,4.6M,0.15%,Saudi Arabia,Education Marketing and Advertising Hair & Beauty Celebrities,1.4M,instagram,saudi-arabia,False,2024,Beauty&Fashion,MAPPED
