rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Herbert R. Sim @herbertrsim,2.1M,1.27%,Singapore,Arts and Crafts Food and Drink Marketing Founder,634.6K,instagram,singapore,False,2024,Knowledge&Info,MAPPED
2,Isha Borah @ishaborah,1.8M,0.56%,Singapore,Pets Fashion and Accessories,546.4K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
3,Jamie Chua 蔡欣颖 @ec24m,1.5M,0.35%,Singapore,Beauty and Self Care Business and Finance Design Celebrities,445.5K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
4,CHUANDO TAN 陈传多 @chuando_chuandoandfrey,1.4M,0.75%,Singapore,Arts and Crafts Entertainment and Music Acting and Drama Celebrity,430.5K,instagram,singapore,False,2024,Music,MAPPED
5,Marissa Leufke Nasution @marissaln,1.4M,0.11%,Singapore,Education Careers Parenting Moms,414.6K,instagram,singapore,False,2024,Knowledge&Info,MAPPED
6,Jeryl 🇸🇬 @smilewithjeryl,1.2M,0.92%,Singapore,Arts and Crafts Architecture Nature & Outdoors,367.4K,instagram,singapore,False,2024,Lifestyle,MAPPED
7,Dorothy Soh @dotzsoh,1.2M,1.43%,Singapore,Travel Adventure Nature & Outdoors Architecture,364.5K,instagram,singapore,False,2024,Sports,MAPPED
8,Yik Keat @yk,1.2M,0.97%,Singapore,Arts and Crafts Photography Architecture Nature & Outdoors,360.9K,instagram,singapore,False,2024,Lifestyle,MAPPED
9,Joseph Prince @josephprince,1.2M,0.9%,Singapore,Education,358.7K,instagram,singapore,False,2024,Knowledge&Info,MAPPED
10,athar maulana✨ @atharryann_,1.1M,0.3%,Singapore,Product Showcase,339.6K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
11,Nick Thng @nickthng,1.1M,0.57%,Singapore,Finance Business and Finance Entrepreneur Business,335.1K,instagram,singapore,False,2024,Knowledge&Info,MAPPED
12,yuuno_小琦 @y.uuno,1M,1.83%,Singapore,Fashion and Accessories Fitness and Health Video Gaming,305.9K,instagram,singapore,False,2024,Sports,MAPPED
13,Shi Qi @qiwiie,1M,7.3%,Singapore,Fashion and Accessories,305.2K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
14,Weronika Heck @mamikoyoko,972.9K,0.77%,Singapore,Fashion and Accessories Celebrities,291.9K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
15,Aadhya Anand @aadhya_anand,954.6K,16.22%,Singapore,Celebrity,286.4K,instagram,singapore,False,2024,Entertainment,MAPPED
16,Nadya Hutagalung @nadyahutagalung,908.2K,0.28%,Singapore,Nature Education Entertainment and Music Modeling,272.4K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
17,Arian Teo 🇸🇬 @arianteo,759.8K,6.78%,Singapore,Animation and Cosplay Celebrity,227.9K,instagram,singapore,False,2024,Tech&Gaming,MAPPED
18,𝓡𝓮𝓫𝓮𝓬𝓬𝓪 𝓒𝓱𝓮𝓷 @rebeccachenxoxo,743.4K,1.56%,Singapore,Fashion Modeling Nature & Outdoors,223K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
19,JIANHAO TAN @thejianhaotan,654.7K,2.98%,Singapore,Entertainment and Music Parenting Video Blogger Video Creator,196.4K,instagram,singapore,False,2024,Music,MAPPED
20,TRAVEL SUNLIT @travelsunlit,593.6K,0.11%,Singapore,Travel,178.1K,instagram,singapore,False,2024,Lifestyle,MAPPED
21,Wendy Cheng 👑 Xiaxue @xiaxue,575.6K,0.59%,Singapore,Beauty and Self Care Fashion and Accessories Business Public Figure,172.7K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
22,KIM LIM @kimlimhl,532.3K,8.38%,Singapore,Beauty and Self Care Business and Finance Lifestyle Design,159.7K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
23,胡佳琪 Jayley Woo @jiaqiwoo,521.7K,0.75%,Singapore,Fashion and Accessories Celebrity Styling Lifestyle,156.5K,instagram,singapore,False,2024,Beauty&Fashion,MAPPED
