rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Nas Daily @nasdaily,6.8M,2.8%,Singapore,Education,2M,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
2,Kim Huat Ng🇵🇭/🇸🇬 @kim_huat1702,2.7M,-,Singapore,,810K,tiktok,singapore,False,2024,NA,NA
3,ONE Championship @onechampionship,2.3M,-,Singapore,Sports,690K,tiktok,singapore,False,2024,Sports,MAPPED
4,Doctor Tristan Peh - Dentist @doctortristanpeh,2.2M,-,Singapore,Education Medical Health,660K,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
5,Heng Official @tostenhpremium168,2M,-,Singapore,,600K,tiktok,singapore,False,2024,NA,NA
6,Jianhao Li @cn_streetfashion,1.8M,-,Singapore,Entertainment and Music,540K,tiktok,singapore,False,2024,Music,MAPPED
7,gordonmoments @gordonmoments,956.2K,-,Singapore,,286.9K,tiktok,singapore,False,2024,NA,NA
8,Stephanie @sharemakeup,942.6K,0.1%,Singapore,Beauty,282.8K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
9,Hoàng Minh Tuấn @hoangtuan_photo,839.5K,-,Singapore,Education Arts and Crafts Photography,251.9K,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
10,С ʀ ʏ ƨ т α в ɛ ℓ 🌻 @crystabel_,830.2K,1%,Singapore,Games,249.1K,tiktok,singapore,False,2024,Tech&Gaming,MAPPED
11,no588211 @makeuppp05,826.6K,0.8%,Singapore,Beauty,248K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
12,The Health Bites @the_health_bites,822.4K,-,Singapore,Fitness and Health,246.7K,tiktok,singapore,False,2024,Sports,MAPPED
13,Syimah Mac @macz3us,785.6K,0.1%,Singapore,,235.7K,tiktok,singapore,False,2024,NA,NA
14,jj @phawphaw414,757.9K,-,Singapore,,227.4K,tiktok,singapore,False,2024,NA,NA
15,Zhlowart_official @zhlowart_official,696.9K,2.7%,Singapore,Product Education Product Showcase,209.1K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
16,Mamiko @mamiczka,685.1K,-,Singapore,Life and Society,205.5K,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
17,caydences @cayydences,614.5K,4.4%,Singapore,,184.4K,tiktok,singapore,False,2024,NA,NA
18,Joseph salameh @sg_diamonds,607.3K,-,Singapore,Fashion and Accessories Finance,182.2K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
19,Titus Low @tituslow,586.9K,-,Singapore,Entertainment and Music Funny,176.1K,tiktok,singapore,False,2024,Music,MAPPED
20,🍑Theingi💃🥂✂️✂️👗👗🇸🇬 @jessica1072,577.2K,-,Singapore,,173.2K,tiktok,singapore,False,2024,NA,NA
