rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Survival Builder @UCj6VfZEQTxX8Tp2My5L9Ykw,10.5M,-,Singapore,Technology,3.2M,youtube,singapore,False,2024,Tech&Gaming,MAPPED
2,মায়াজাল @UCfixIpf6Z09QH-vZT-mpgZg,9.5M,0.2%,Singapore,,2.8M,youtube,singapore,False,2024,NA,NA
3,Masti Tv - Hindi Stories @UCcvDxf3OKcvZzRYvcIyikLw,6.7M,-,Singapore,,2M,youtube,singapore,False,2024,NA,NA
4,Muse Asia @museasia,6.4M,-,Singapore,,1.9M,youtube,singapore,False,2024,NA,NA
5,mingweirocks @UCeIuST7AITAf34FvWq4GHwg,6.4M,-,Singapore,,1.9M,youtube,singapore,False,2024,NA,NA
6,Primitive Survival Tool @UC6vasuRFx3t3NTISG6iwUeA,6.3M,-,Singapore,,1.9M,youtube,singapore,False,2024,NA,NA
7,Jungle Survival @UC4E1gPBh0_eJ5oftWVsewZA,5.9M,-,Singapore,,1.8M,youtube,singapore,False,2024,NA,NA
8,Jadu Tv - Hindi Stories @UCXRAl3_Vw1fYJdGmk8i20Ug,5.6M,-,Singapore,,1.7M,youtube,singapore,False,2024,NA,NA
9,PopCorn /- Funny Hindi Comedy Videos @UCEI_dcoGYhMLyYpXok6jmog,5.6M,-,Singapore,Celebrity,1.7M,youtube,singapore,False,2024,Entertainment,MAPPED
10,Golden TV - Funny Hindi Comedy Videos @UCS2E8XulDhyAw3ji7ggg1EQ,5.3M,-,Singapore,,1.6M,youtube,singapore,False,2024,NA,NA
11,老高與小茉 Mr & Mrs Gao @UCMUnInmOkrWN4gof9KlhNmQ,5.1M,1.4%,Singapore,,1.5M,youtube,singapore,False,2024,NA,NA
12,TAWHID AFRIDI @UCEO0rIuBz8Dc8p7PpGE26ZQ,5.1M,6.2%,Singapore,,1.5M,youtube,singapore,False,2024,NA,NA
13,Prank King Entertainment @UC4ON9AHLUa0eVk9U9_EQbUA,4.7M,1.9%,Singapore,,1.4M,youtube,singapore,False,2024,NA,NA
14,YouTube FanFest @UChIGU8b4l5cj6i5D9REsqdg,4.6M,-,Singapore,,1.4M,youtube,singapore,False,2024,NA,NA
15,The Ajaira LTD. @UCpvVcqsap0KnJ6epuH5V6cw,4.4M,0.6%,Singapore,Art,1.3M,youtube,singapore,False,2024,Lifestyle,MAPPED
16,JaiPhone @UC2q1EOP5KEkKBgFRdnAvpwQ,4.2M,-,Singapore,,1.2M,youtube,singapore,False,2024,NA,NA
17,Josh - Hindi Stories Comedy Videos @UC-SQpatMUyttygyX3qVWXYw,3.9M,-,Singapore,,1.2M,youtube,singapore,False,2024,NA,NA
18,Khushi - Hindi Stories Super Comedy Videos @UCRUA2PhCdudPXKKerX69vVg,3.8M,-,Singapore,,1.1M,youtube,singapore,False,2024,NA,NA
19,Jalsa Tv - Hindi Stories @UCHIYOs5N6C5AeIdWDxvrTgw,3.3M,-,Singapore,,984K,youtube,singapore,False,2024,NA,NA
20,MHR BANGLA WAZ @UCLWrC5sBJ93jNZG3t7xqBQg,2.9M,-,Singapore,,870K,youtube,singapore,False,2024,NA,NA
21,SIS Media @UCetlSgFKkae_nsC3fmfC1ig,2.9M,-,Singapore,,867K,youtube,singapore,False,2024,NA,NA
22,উত্তরাধিকারী @UCR6BoKqrqAtrDfdwT-yZNVw,2.8M,0.3%,Singapore,,852K,youtube,singapore,False,2024,NA,NA
23,DancingBacons @UCRFj4Yj1nKhgrT-_8AUsaDg,2.8M,-,Singapore,Food and Drink,840K,youtube,singapore,False,2024,Lifestyle,MAPPED
24,Science BD @UCbeN7O9VbmflcCbGzjGDbEw,2.5M,0.1%,Singapore,,762K,youtube,singapore,False,2024,NA,NA
25,Islamic Life @UCDik9UsvvanFZkNd-x1L48Q,2.5M,-,Singapore,,744K,youtube,singapore,False,2024,NA,NA
