rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,KOPACKOVO ⚽️ @kopackovo,1.1M,-,Slovakia,,330K,tiktok,slovakia,False,2024,NA,NA
2,ANGRY EARTH @angryearth,767.9K,-,Slovakia,,230.4K,tiktok,slovakia,False,2024,NA,NA
3,Matej Zrebný @matejzrebny,672.9K,0.1%,Slovakia,Animation and Cosplay,201.9K,tiktok,slovakia,False,2024,Tech&Gaming,MAPPED
4,SVKHO @svkho,551.1K,0.2%,Slovakia,Entertainment and Music,165.3K,tiktok,slovakia,False,2024,Music,MAPPED
5,rastopauliny @rastopauliny,511.8K,-,Slovakia,Entertainment and Music,153.5K,tiktok,slovakia,False,2024,Music,MAPPED
6,tomas.coach @tomas.coach,483.7K,0.2%,Slovakia,Fitness and Health,145.1K,tiktok,slovakia,False,2024,Sports,MAPPED
7,Mirek 👊 @rawk1ng,466.7K,-,Slovakia,Fitness and Health,140K,tiktok,slovakia,False,2024,Sports,MAPPED
8,FREDERICK @frederik.official,319.4K,0.3%,Slovakia,Entertainment and Music Music,95.8K,tiktok,slovakia,False,2024,Music,MAPPED
9,Samuel Procházka @graciosoooo,305.3K,0.1%,Slovakia,,91.6K,tiktok,slovakia,False,2024,NA,NA
10,Chhay Heang Lysang @chhayheanglysang,301.7K,-,Slovakia,,90.5K,tiktok,slovakia,False,2024,NA,NA
11,cikindeles @cikindeles,267.8K,-,Slovakia,,80.3K,tiktok,slovakia,False,2024,NA,NA
12,_COBRA_11_ @cobra_11_,264.6K,-,Slovakia,,79.4K,tiktok,slovakia,False,2024,NA,NA
13,Happy_adriana @adriana_lup,261.2K,-,Slovakia,,78.4K,tiktok,slovakia,False,2024,NA,NA
14,ChristopherBucika ✔︎ @christopherbucika,249.9K,0.2%,Slovakia,,75K,tiktok,slovakia,False,2024,NA,NA
15,miska_hrinka @miska_hrinka7,237.2K,-,Slovakia,Entertainment and Music Funny,71.2K,tiktok,slovakia,False,2024,Music,MAPPED
16,Veronika Danajová @pivospenou,232.5K,-,Slovakia,Entertainment and Music Funny,69.8K,tiktok,slovakia,False,2024,Music,MAPPED
17,Michal Totka @michaltotka,229.3K,-,Slovakia,Entertainment and Music Business and Finance,68.8K,tiktok,slovakia,False,2024,Knowledge&Info,MAPPED
18,DeDe 🦋 @denisa.vysnovska,229K,0.2%,Slovakia,,68.7K,tiktok,slovakia,False,2024,NA,NA
19,jakjan272 @jakjan272,223.9K,-,Slovakia,,67.2K,tiktok,slovakia,False,2024,NA,NA
20,nikola olahova @nikolaolahova6,222.2K,-,Slovakia,,66.7K,tiktok,slovakia,False,2024,NA,NA
21,mars @d_a_n_i_e_l_a12345678910,203.7K,0.1%,Slovakia,,61.1K,tiktok,slovakia,False,2024,NA,NA
22,Janka 🌸 @jancucik,199.2K,-,Slovakia,Entertainment and Music,59.8K,tiktok,slovakia,False,2024,Music,MAPPED
