rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,AB de Villiers @abdevilliers17,24.3M,0.74%,South Africa,Sports Cricket,7.3M,instagram,south-africa,False,2024,Sports,MAPPED
2,Dean Schneider @dean.schneider,11M,1.45%,South Africa,Animals Music,3.3M,instagram,south-africa,False,2024,Music,MAPPED
3,Trevor Noah @trevornoah,8.9M,1.35%,South Africa,Entertainment and Music Celebrity Modeling Entertainment,2.7M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
4,Boity Thulo @boity,6.3M,0.15%,South Africa,Entertainment and Music Fashion and Accessories Beauty and Self Care Business and Finance,1.9M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
5,Refiloe Phoolo 🇿🇦 @casspernyovest,6.2M,1.33%,South Africa,Entertainment and Music Sports Celebrity Music,1.9M,instagram,south-africa,False,2024,Sports,MAPPED
6,Alph Lukau @alphlukau,6.2M,0.06%,South Africa,Education,1.9M,instagram,south-africa,False,2024,Knowledge&Info,MAPPED
7,Natasha Thahane @natasha_thahane,6.1M,1.98%,South Africa,Acting and Drama Entertainment and Music Celebrity Actors,1.8M,instagram,south-africa,False,2024,Music,MAPPED
8,Khanyi Mbau Metanoia @mbaureloaded,5.7M,0.66%,South Africa,Entertainment and Music Finance Product Showcase Celebrity,1.7M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
9,NOEL DEYZEL 🇿🇦 @noeldeyzel_bodybuilder,5.3M,10.6%,South Africa,Fitness and Health,1.6M,instagram,south-africa,False,2024,Sports,MAPPED
10,Minnie Dlamini @minniedlamini,5.2M,0.18%,South Africa,Entertainment and Music Sports Celebrity Entertainment,1.6M,instagram,south-africa,False,2024,Sports,MAPPED
11,ZINHLE JIYANE @djzinhle,5.2M,0.61%,South Africa,Entertainment and Music Business and Finance Modeling Music,1.6M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
12,Bonang Matheba @bonang_m,5.2M,1.97%,South Africa,Entertainment and Music Celebrities,1.6M,instagram,south-africa,False,2024,Music,MAPPED
13,Somizi @somizi,5M,0.17%,South Africa,Entertainment and Music Music Modeling Celebrities,1.5M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
14,Amanda du-Pont @amandadupont,5M,0.3%,South Africa,Beauty and Self Care Business and Finance Celebrity Coaching,1.5M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
15,Connie Ferguson @connie_ferguson,4.8M,0.58%,South Africa,Entertainment and Music family Business and Finance Actors,1.4M,instagram,south-africa,False,2024,Knowledge&Info,MAPPED
16,Nomzamo Mbatha (Nxumalo)🇿🇦 @nomzamo_m,4.8M,0.22%,South Africa,Acting and Drama Education Celebrity Actors,1.4M,instagram,south-africa,False,2024,Knowledge&Info,MAPPED
17,I LOVE IT HERE @nasty_csa,4.7M,0.2%,South Africa,Entertainment and Music Singer Music Entertainment,1.4M,instagram,south-africa,False,2024,Music,MAPPED
18,Ms Ntando Duma Mthombeni🇿🇦 @dumantando,4.7M,0.88%,South Africa,Acting and Drama Celebrity Entertainment Music,1.4M,instagram,south-africa,False,2024,Music,MAPPED
19,Tabitha Brown @iamtabithabrown,4.5M,1.34%,South Africa,Food Celebrity Business and Finance Actors,1.3M,instagram,south-africa,False,2024,Knowledge&Info,MAPPED
20,F A F D U P L E S S I S @fafdup,4.5M,7.01%,South Africa,Sports Cricket,1.3M,instagram,south-africa,False,2024,Sports,MAPPED
21,MRS CHUI🐆 @fahyvanny,4.1M,0.54%,South Africa,Fashion and Accessories Business and Finance Entertainment Modeling,1.2M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
22,Thando Thabooty Thabethe @thando_thabethe,4M,0.55%,South Africa,Fashion and Accessories Celebrity Modeling Music,1.2M,instagram,south-africa,False,2024,Beauty&Fashion,MAPPED
23,Thulisile Phongolo @thuliphongolo,3.8M,2.16%,South Africa,Entertainment and Music Entertainment Actors Singer,1.1M,instagram,south-africa,False,2024,Music,MAPPED
