rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Die Antwoord @UC6DicDItkLQ7N4ag1JS5mqg,3.3M,1.3%,South Africa,,978K,youtube,south-africa,False,2024,NA,NA
2,Noel Deyzel @UCMp-0bU-PA7BNNR-zIvEydA,2.9M,-,South Africa,,864K,youtube,south-africa,False,2024,NA,NA
3,Openmic Productions @UCzMzPGGVKpjZAJy1aOAUieA,2.4M,-,South Africa,Marketing and Advertising Music,732K,youtube,south-africa,False,2024,Knowledge&Info,MAPPED
4,The Supa Strikas - Kids Soccer Cartoon @UCdtojT_ZwTRlZThoBSMVhoQ,2M,-,South Africa,,597K,youtube,south-africa,False,2024,NA,NA
5,Boomerang Africa @UCgGq2xHDvUHSUzs7VOIdKKw,2M,-,South Africa,,594K,youtube,south-africa,False,2024,NA,NA
6,Cartoon Network Africa @UCYXAcMNZRdYkR-vKV3OO1DQ,1.9M,-,South Africa,Travel Video Gaming,555K,youtube,south-africa,False,2024,Tech&Gaming,MAPPED
7,SABC News @UC8yH-uI81UUtEMDsowQyx1g,1.6M,-,South Africa,,480K,youtube,south-africa,False,2024,NA,NA
8,Pastor Alph Lukau @UCmBMGitwFg3dDFNtOSQT1JQ,1.5M,-,South Africa,,435K,youtube,south-africa,False,2024,NA,NA
9,Hayls World @haylsworld,1.3M,0.4%,South Africa,,393K,youtube,south-africa,False,2024,NA,NA
10,Wian @UC3xgevNpGmAgWpdjtTXR20w,1.2M,-,South Africa,,360K,youtube,south-africa,False,2024,NA,NA
11,DJ Arch Jnr @UCQ1hYup0TxMjuGInZFkftzA,1.2M,-,South Africa,,345K,youtube,south-africa,False,2024,NA,NA
12,The Kiffness @UCFy846QdKs3LbLgBpSqPcdg,1.2M,2.7%,South Africa,,345K,youtube,south-africa,False,2024,NA,NA
13,michael jamison @UC3SIm-UNl4Ou381-PYKzU8w,1.1M,-,South Africa,Pets,342K,youtube,south-africa,False,2024,Lifestyle,MAPPED
14,OMFilms @UCEZ6QFA7F37E--lqew7wbAQ,1.1M,-,South Africa,,333K,youtube,south-africa,False,2024,NA,NA
15,Nasty_C @UC01ompoZ0RMCuWP2ZODqzbg,947K,0.4%,South Africa,,284.1K,youtube,south-africa,False,2024,NA,NA
16,Spirittunez @UCVTDsWA7ItkDj9vt9Kt_oCw,942K,-,South Africa,,282.6K,youtube,south-africa,False,2024,NA,NA
