rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,시아지우 sia_jiwoo @sia_jiwoo,27.5M,0.2%,South Korea,,8.3M,tiktok,south-korea,False,2024,NA,NA
2,신사마 SHINSAMA @shinsama422,17.2M,0.9%,South Korea,Entertainment and Music,5.2M,tiktok,south-korea,False,2024,Music,MAPPED
3,옐언니 SISTERYELL @sisteryell,14.2M,0.1%,South Korea,Beauty and Self Care,4.3M,tiktok,south-korea,False,2024,Beauty&Fashion,MAPPED
4,J-COP @beatboxjcop,13.9M,-,South Korea,Entertainment and Music,4.2M,tiktok,south-korea,False,2024,Music,MAPPED
5,Stray Kids @jypestraykids,12.4M,0.4%,South Korea,Entertainment and Music,3.7M,tiktok,south-korea,False,2024,Music,MAPPED
6,신사장 SHIN SAJANG @shin_sajang93,12.4M,0.2%,South Korea,Entertainment and Music,3.7M,tiktok,south-korea,False,2024,Music,MAPPED
7,지원패밀리 @jiwon_family,11.9M,-,South Korea,family,3.6M,tiktok,south-korea,False,2024,Lifestyle,MAPPED
8,YUN @yun_bao,7.8M,0.1%,South Korea,Entertainment and Music,2.3M,tiktok,south-korea,False,2024,Music,MAPPED
9,โจเซฟมาเยือน @josephmayuen,6.5M,-,South Korea,,2M,tiktok,south-korea,False,2024,NA,NA
10,유빈 Kelly @kellykimkim7,5.3M,-,South Korea,Fashion and Accessories,1.6M,tiktok,south-korea,False,2024,Beauty&Fashion,MAPPED
11,가람(karam) @karam_0628,4.6M,-,South Korea,,1.4M,tiktok,south-korea,False,2024,NA,NA
12,또솔 DDO_SOL @ddo.sol,4.5M,-,South Korea,Entertainment and Music Funny,1.4M,tiktok,south-korea,False,2024,Music,MAPPED
13,ASTRO 아스트로 @astro_official,4.4M,-,South Korea,,1.3M,tiktok,south-korea,False,2024,NA,NA
14,Avira Nisha @aviranisha,4.2M,-,South Korea,Food Travel Food and Drink,1.3M,tiktok,south-korea,False,2024,Lifestyle,MAPPED
15,인사이트 @insight_official,4.1M,-,South Korea,,1.2M,tiktok,south-korea,False,2024,NA,NA
16,Dewsisters @dewsisters,4M,-,South Korea,,1.2M,tiktok,south-korea,False,2024,NA,NA
17,주한띠 @juhan5310,3.8M,-,South Korea,Entertainment and Music,1.1M,tiktok,south-korea,False,2024,Music,MAPPED
18,마티랜드🐰마티🐰 @matiland_mati,3.8M,0.5%,South Korea,,1.1M,tiktok,south-korea,False,2024,NA,NA
19,Heyoon Jeong @heyoonjeong,3.2M,-,South Korea,,960K,tiktok,south-korea,False,2024,NA,NA
20,아너브레이커즈 @hnbkz,3M,-,South Korea,,900K,tiktok,south-korea,False,2024,NA,NA
21,김쏘야 @iamsongjour,2.9M,0.1%,South Korea,,870K,tiktok,south-korea,False,2024,NA,NA
22,B-TOM🇰🇷 បងធំ🇰🇭 @dalove3121,2.8M,-,South Korea,,840K,tiktok,south-korea,False,2024,NA,NA
23,짱타쿠 @jjangtaku,2.8M,1.6%,South Korea,Product Education,840K,tiktok,south-korea,False,2024,Knowledge&Info,MAPPED
24,강남허준 박용환 dr.harang @drharang,2.7M,-,South Korea,Education,810K,tiktok,south-korea,False,2024,Knowledge&Info,MAPPED
25,TikTok Korea @tiktok_kr,2.6M,-,South Korea,,780K,tiktok,south-korea,False,2024,NA,NA
26,쏘영 Ssoyoung @ssoyoungmukbang,2.6M,-,South Korea,Food,780K,tiktok,south-korea,False,2024,Lifestyle,MAPPED
27,[RealMouth] 주멍이 @real_mouth,2.5M,-,South Korea,,750K,tiktok,south-korea,False,2024,NA,NA
28,파이하우스 PI HOUSE @pihouse_kr,2.3M,-,South Korea,,690K,tiktok,south-korea,False,2024,NA,NA
29,이승재 @leesjae96,2.2M,1.4%,South Korea,Entertainment and Music,660K,tiktok,south-korea,False,2024,Music,MAPPED
30,k.hwijae @k.hwijae,2.2M,-,South Korea,,660K,tiktok,south-korea,False,2024,NA,NA
31,인션 InSean @insean0208,2.1M,-,South Korea,,630K,tiktok,south-korea,False,2024,NA,NA
32,미르메 신민철 @shinmincheol,2.1M,-,South Korea,Sports,630K,tiktok,south-korea,False,2024,Sports,MAPPED
33,Min Mặn Mồi @minoppa92,2.1M,-,South Korea,Food,630K,tiktok,south-korea,False,2024,Lifestyle,MAPPED
34,Priscilla Lee 이예은 @pris.danie,2.1M,-,South Korea,,630K,tiktok,south-korea,False,2024,NA,NA
35,ZOEY ASMR 조이 @zoey_asmr,2.1M,-,South Korea,Entertainment and Music,630K,tiktok,south-korea,False,2024,Music,MAPPED
36,Netflix Korea @netflixkr,1.9M,-,South Korea,,570K,tiktok,south-korea,False,2024,NA,NA
37,주성 JUSUNG @ju_sung,1.8M,2.9%,South Korea,Entertainment and Music,540K,tiktok,south-korea,False,2024,Music,MAPPED
38,TEAM1LLUSION 노성율 @team1llusion,1.8M,-,South Korea,Entertainment and Music Animation and Cosplay,540K,tiktok,south-korea,False,2024,Tech&Gaming,MAPPED
39,San AE @sanae33359,1.8M,-,South Korea,,540K,tiktok,south-korea,False,2024,NA,NA
40,Kim Chung Phan @kimchungphan20,1.8M,-,South Korea,,540K,tiktok,south-korea,False,2024,NA,NA
41,자곰 JAGOM ASMR @zenoworld,1.8M,-,South Korea,Food,540K,tiktok,south-korea,False,2024,Lifestyle,MAPPED
42,에버글로우 (EVERGLOW) @everglowofficial,1.7M,0.1%,South Korea,Entertainment and Music,510K,tiktok,south-korea,False,2024,Music,MAPPED
43,Blanc 블랑🤍 @blanc_s2,1.7M,-,South Korea,Beauty and Self Care,510K,tiktok,south-korea,False,2024,Beauty&Fashion,MAPPED
44,Tamagoi @tamagoi,1.6M,-,South Korea,,480K,tiktok,south-korea,False,2024,NA,NA
45,𝐂𝐚𝐲𝐚𝐚델리아🐰 @cayacarr0t,1.6M,-,South Korea,Pets,480K,tiktok,south-korea,False,2024,Lifestyle,MAPPED
46,@seejal~sking @seejal143,1.6M,-,South Korea,,480K,tiktok,south-korea,False,2024,NA,NA
47,JKartsoccer @jkartsoccer_tiktok,1.6M,0.1%,South Korea,Education Sports,480K,tiktok,south-korea,False,2024,Sports,MAPPED
