rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Nattid® @nattid,2.3M,-,Sverige,Underhållning och musik,690K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
2,olivernordin @olivernordin1,2.2M,-,Sverige,,660K,tiktok,sweden,False,2024,NA,NA,
3,INGRID AND RECE 💘 @ingridandrece0,2.1M,0.2%,Sverige,,630K,tiktok,sweden,False,2024,NA,NA,
4,Alma Persson @almaperssons,1.2M,-,Sverige,Mode och accessoarer,360K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
5,Kim Diaz Holm @denungeherrholm,1M,-,Sverige,Underhållning och musik,300K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
6,Zara Larsson @zaralarsson,992.4K,0.1%,Sverige,,297.7K,tiktok,sweden,False,2024,NA,NA,
7,shaymaa Gahdhbah - أشكي ناز @ms_ashki,975K,-,Sverige,,292.5K,tiktok,sweden,False,2024,NA,NA,
8,Netflix Sverige @netflixsverige,914.8K,-,Sverige,,274.4K,tiktok,sweden,False,2024,NA,NA,
9,Matt Mitchell @mattmitchell4,815.5K,-,Sverige,,244.7K,tiktok,sweden,False,2024,NA,NA,
10,Marysia @marysiasiczek,805.8K,0.1%,Sverige,,241.7K,tiktok,sweden,False,2024,NA,NA,
11,Iris Rados @irisrados,800.3K,-,Sverige,,240.1K,tiktok,sweden,False,2024,NA,NA,
12,Koenigsegg @koenigsegg,799.2K,0.4%,Sverige,,239.8K,tiktok,sweden,False,2024,NA,NA,
13,Bella Lupascu® @bellalupascu,789.7K,-,Sverige,Skönhet och personlig vård,236.9K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Beauty and personal care
14,sweLogan @swelogan,788.4K,-,Sverige,,236.5K,tiktok,sweden,False,2024,NA,NA,
15,Patrik Widell @patrikwidell,750.2K,-,Sverige,,225.1K,tiktok,sweden,False,2024,NA,NA,
16,Ludde Blomqvist @ohwoah__,735.6K,0.1%,Sverige,Underhållning och musik,220.7K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
17,Joy center sweden @joycenter2008,652.1K,-,Sverige,Skönhet och personlig vård,195.6K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Beauty and personal care
18,🀄🧡 @ayloul_khanou_officiel,648K,-,Sverige,Romantik och bröllop,194.4K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Romance and weddings
19,Alesso @alesso,634.9K,-,Sverige,Underhållning och musik,190.5K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
20,DeBilalo @debilalo,605.6K,0.1%,Sverige,Roligt,181.7K,tiktok,sweden,False,2024,Entertainment,MAPPED,Funny
21,LION ليون @lion_pm,594.5K,-,Sverige,Datorspel,178.4K,tiktok,sweden,False,2024,Tech&Gaming,MAPPED,Computer games
22,Red Bull Sweden @redbullsweden,559K,-,Sverige,,167.7K,tiktok,sweden,False,2024,NA,NA,
23,⭐️Linnea&Viola⭐️ @linneaandviola,557.5K,-,Sverige,Underhållning och musik,167.3K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
24,coral.500k @coral.500k,522.5K,-,Sverige,Djur Datorspel,156.8K,tiktok,sweden,False,2024,Tech&Gaming,MAPPED,Animals Computer Games
25,Amandaedin @amandaedins,516.9K,-,Sverige,Underhållning och musik,155.1K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
26,GoatSimulator @goatsimulatorgame,513.7K,0.2%,Sverige,,154.1K,tiktok,sweden,False,2024,NA,NA,
27,Ashraf Ali @ashraf_swe,480K,0.1%,Sverige,,144K,tiktok,sweden,False,2024,NA,NA,
28,Waleescamelo @waleescamelo,475.1K,-,Sverige,Mode och accessoarer Fitness och hälsa,142.5K,tiktok,sweden,False,2024,Sports,MAPPED,Fashion and accessories Fitness and health
29,Du får tur om du följer @cobrakai_boy_,474.4K,-,Sverige,,142.3K,tiktok,sweden,False,2024,NA,NA,
30,Ballonger Västerås @ballonger_vasteras,471.6K,-,Sverige,Konst och hantverk Hem och trädgård,141.5K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Arts and Crafts Home and Garden
31,Emilhenrohn @emilhenrohn,460.1K,0.2%,Sverige,Underhållning och musik,138K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
32,Maher Zain @maherzainofficial,457.9K,0.4%,Sverige,,137.4K,tiktok,sweden,False,2024,NA,NA,
33,Stories @kiwi...5,436.8K,0.3%,Sverige,,131K,tiktok,sweden,False,2024,NA,NA,
34,Perla @perla1perla,426.2K,-,Sverige,,127.9K,tiktok,sweden,False,2024,NA,NA,
35,Liana @_xoxoliana_,406K,0.1%,Sverige,,121.8K,tiktok,sweden,False,2024,NA,NA,
36,Fadi&Hiba| فادي&هبه🇸🇪🇸🇾 @fadi.hiba.96,405.8K,-,Sverige,,121.7K,tiktok,sweden,False,2024,NA,NA,
37,🧸Official Romantic Lover🧸 @romantic_lover73,404.2K,0.1%,Sverige,Romantik och bröllop,121.3K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Romance and weddings
38,الكاتب__المغترب @z_x..x_z,401.5K,-,Sverige,,120.5K,tiktok,sweden,False,2024,NA,NA,
39,Tik Toker @ghoussoun1,401.1K,0.1%,Sverige,,120.3K,tiktok,sweden,False,2024,NA,NA,
40,Sherin @sheriiinb,397.7K,0.3%,Sverige,,119.3K,tiktok,sweden,False,2024,NA,NA,
41,ViSam Official @visam.official,392.6K,0.3%,Sverige,,117.8K,tiktok,sweden,False,2024,NA,NA,
42,👸🏾African Queen👸🏾 @africanqueen1111,366.2K,-,Sverige,Underhållning och musik Mode och accessoarer,109.9K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Entertainment and Music Fashion and Accessories
43,Tove Lo @tovelo,364.1K,-,Sverige,,109.2K,tiktok,sweden,False,2024,NA,NA,
44,✨🪷toca boca🤍🌴 @toca.word.maja,356.2K,-,Sverige,,106.9K,tiktok,sweden,False,2024,NA,NA,
45,Winsent Thunholm Wikman @winsentw,351K,0.1%,Sverige,Roligt,105.3K,tiktok,sweden,False,2024,Entertainment,MAPPED,Funny
46,Mais Alkrad🦋 @mais.alkrad,343.9K,-,Sverige,,103.2K,tiktok,sweden,False,2024,NA,NA,
47,🎥Familjen Arcombe🎥 @familjenarcombe,341.8K,-,Sverige,,102.5K,tiktok,sweden,False,2024,NA,NA,
48,𝓟𝓾𝓵𝔃𝓮. 𝓢𝓽𝔂𝔁 @styxretake,340.9K,-,Sverige,,102.3K,tiktok,sweden,False,2024,NA,NA,
49,Manfred Erlandsson @manfrederlandsson,338.6K,0.1%,Sverige,,101.6K,tiktok,sweden,False,2024,NA,NA,
50,《♧Rayan♧》 @rayanzepeto,338.4K,-,Sverige,,101.5K,tiktok,sweden,False,2024,NA,NA,
