rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Alisha Lehmann @alishalehmann7,16.6M,4.55%,Switzerland,Outdoor Activity Sports Soccer,5M,instagram,switzerland,False,2024,Sports,MAPPED
2,Roger Federer @rogerfederer,12.2M,1.49%,Switzerland,Sports Tennis,3.6M,instagram,switzerland,False,2024,Sports,MAPPED
3,Michelle Hunziker @therealhunzigram,5.8M,0.96%,Switzerland,Entertainment and Music Pets Finance Modeling,1.7M,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
4,Pamela Alexandra @pamelaalexandra,5.4M,0.19%,Switzerland,Food Travel Lifestyle Styling,1.6M,instagram,switzerland,False,2024,Lifestyle,MAPPED
5,Sarah Angius @sarahangius,3.9M,0.44%,Switzerland,Beauty and Self Care Parenting Lifestyle Styling,1.2M,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
6,Granit Xhaka @granitxhaka,3.2M,1.99%,Switzerland,Sports Romance and Wedding Soccer Coaching,946.7K,instagram,switzerland,False,2024,Sports,MAPPED
7,Dayan Kolev @dayan.kole,3.1M,4.55%,Switzerland,,936.1K,instagram,switzerland,False,2024,NA,NA
8,Kristina Bazan @kristinabazan,2.7M,0.08%,Switzerland,Entertainment and Music Modeling,800.7K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
9,Claudio Castagnoli @claudiocsro,2.5M,0.41%,Switzerland,Sports Food Restaurants,750.9K,instagram,switzerland,False,2024,Sports,MAPPED
10,Rafiath Rashid Mithila @rafiath_rashid_mithila,2.2M,0.09%,Switzerland,Acting and Drama Education Celebrity Singer,673.5K,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
11,Kevin Lütolf @kevinlutolf,2M,2.69%,Switzerland,Finance Business and Finance Modeling Lifestyle,599.6K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
12,Patek Philippe @patekphilippe,2M,0.51%,Switzerland,Fashion and Accessories Luxury,587.5K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
13,𝐆𝐮𝐢𝐥𝐥𝐚𝐮𝐦𝐞 𝐐𝐮𝐞𝐧𝐞𝐭 @balkrof,1.8M,8.7%,Switzerland,Parenting Fashion Moms Children,530.3K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
14,Darius Sinathrya K @darius_sinathrya,1.7M,0.54%,Switzerland,Auto and Vehicles Celebrity,501.8K,instagram,switzerland,False,2024,Tech&Gaming,MAPPED
15,Igor Rickli @igorrickli,1.6M,2.09%,Switzerland,Education Life and Society Actors,470.5K,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
16,Patrizia🇨🇭➕🇩🇴 @patriziayanguela,1.5M,0.07%,Switzerland,Entertainment and Music Automotive,451.5K,instagram,switzerland,False,2024,Tech&Gaming,MAPPED
17,📍SWITZERLAND🇨🇭 @landscapes_sisiswiss,1.4M,1.02%,Switzerland,Nature Outdoor Activity Travel,431.6K,instagram,switzerland,False,2024,Sports,MAPPED
18,swiss | Xplorers🇨🇭 @swissxplorers_,1.4M,33.51%,Switzerland,Nature Travel,417.8K,instagram,switzerland,False,2024,Lifestyle,MAPPED
19,Senai Senna @sennarelax,1.4M,0.5%,Switzerland,Travel Photography Adventure Nature & Outdoors,408.2K,instagram,switzerland,False,2024,Sports,MAPPED
20,JESSICA GISMONDI @jessica.gismondi,1.4M,0.07%,Switzerland,Travel Business and Finance Marketing and Advertising Lifestyle,405.9K,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
21,👻 Snapchat: Fashion_lalo 👻 @fashion_lalo,1.2M,0.08%,Switzerland,Fashion and Accessories Lifestyle,366K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
22,Daniela Scuderi @daniellapintto,1.2M,1.6%,Switzerland,family Fashion and Accessories Travel Video Creator,353.2K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
23,Stefano Tratto @stefanotratto,1.1M,3.49%,Switzerland,Travel Lifestyle Modeling Celebrities,320.6K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
24,Dimash Adilet | Geneva @dimashadilet,1.1M,1.33%,Switzerland,Finance Education Business and Finance Lifestyle,319.2K,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
25,Gina Virahya @ginaa.24,1M,0.61%,Switzerland,Travel Beauty and Self Care Product Showcase Food,310.1K,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
26,Diana General @generalgirl666,1M,0.53%,Switzerland,,309.6K,instagram,switzerland,False,2024,NA,NA
27,Fabio Cordella @fabio_cordella,1M,3.98%,Switzerland,Business and Finance,306.9K,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
