rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Burak Özdemir @cznburak,54.6M,0.03%,Turkey,Food Music Chef,16.4M,instagram,turkey,False,2024,Music,MAPPED
2,Hande Erçel @handemiyy,32.1M,3.6%,Turkey,Fashion and Accessories Animation and Cosplay Celebrity Actors,9.6M,instagram,turkey,False,2024,Beauty&Fashion,MAPPED
3,Burak Özçivit @burakozcivit,25.2M,0.57%,Turkey,Acting and Drama Actors,7.6M,instagram,turkey,False,2024,Entertainment,MAPPED
4,Demet Özdemir @demetozdemir,16.3M,2.32%,Turkey,Celebrity Actors,4.9M,instagram,turkey,False,2024,Entertainment,MAPPED
5,Çağrı Taner @cagritaner,15.6M,0.18%,Turkey,Education Writer,4.7M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
6,Acun Ilıcalı @acunilicali,14.2M,0.98%,Turkey,Actors Creators & Celebrities,4.3M,instagram,turkey,False,2024,Entertainment,MAPPED
7,Fahriye Evcen Özçivit @evcenf,13.7M,2.33%,Turkey,Art,4.1M,instagram,turkey,False,2024,Lifestyle,MAPPED
8,Gürkan Topçu @gurkansef,13M,1.18%,Turkey,Chef Food,3.9M,instagram,turkey,False,2024,Lifestyle,MAPPED
9,Recep Tayyip Erdoğan @rterdogan,11.9M,0.45%,Turkey,News & Politics Politics,3.6M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
10,Murat Boz @muratboz,11.4M,0.43%,Turkey,Entertainment and Music,3.4M,instagram,turkey,False,2024,Music,MAPPED
11,Kerem Bürsin @thebursin,11.3M,2.6%,Turkey,Celebrity Art,3.4M,instagram,turkey,False,2024,Entertainment,MAPPED
12,Arda Turan @ardaturan,10.6M,1.68%,Turkey,Sports Soccer,3.2M,instagram,turkey,False,2024,Sports,MAPPED
13,Aras Bulut İynemli @iynemliarasbulut,10.5M,2.47%,Turkey,Art Lifestyle Actors,3.1M,instagram,turkey,False,2024,Entertainment,MAPPED
14,DEMET AKALIN @demetakalin,10.1M,0.14%,Turkey,Entertainment and Music Music Singer,3M,instagram,turkey,False,2024,Music,MAPPED
15,Serenay Sarıkaya @serenayss,10.1M,1.79%,Turkey,Celebrity Actors Modeling Actor,3M,instagram,turkey,False,2024,Beauty&Fashion,MAPPED
16,Cagatay Ulusoy @cagatayulusoy,10.1M,3.08%,Turkey,Art,3M,instagram,turkey,False,2024,Lifestyle,MAPPED
17,Fenerbahçe @fenerbahce,9.5M,1.99%,Turkey,Sports Automotive Basketball,2.9M,instagram,turkey,False,2024,Sports,MAPPED
18,İrem Derici @iremderici,8.9M,0.45%,Turkey,Music,2.7M,instagram,turkey,False,2024,Music,MAPPED
19,Elçin Sangu @elcinsangu,8.8M,1.81%,Turkey,Acting and Drama Celebrity Lifestyle Actors,2.6M,instagram,turkey,False,2024,Entertainment,MAPPED
20,Karikatürhane @karikaturhane,8.3M,0.24%,Turkey,Arts and Crafts Nature,2.5M,instagram,turkey,False,2024,Lifestyle,MAPPED
21,Eda Ece Tuncer @eda.ece,8M,6.94%,Turkey,Entertainment and Music Actors Actor,2.4M,instagram,turkey,False,2024,Music,MAPPED
22,Hazal Kaya @hazalkaya,7.8M,6.53%,Turkey,Art Lifestyle Actors,2.3M,instagram,turkey,False,2024,Entertainment,MAPPED
23,Aykut Elmas @aykutelmas,7.6M,4.61%,Turkey,"Pets Comedy Film, Music & Books Digital Creator",2.3M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
24,Ekrem İmamoglu @ekremimamoglu,7.5M,0.83%,Turkey,Life and Society Creators & Celebrities,2.3M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
25,Esra Bilgic @esbilgic,7.5M,2.93%,Turkey,Celebrity Modeling Actors,2.2M,instagram,turkey,False,2024,Beauty&Fashion,MAPPED
26,Remix Adam @remixadam,7.5M,0.9%,Turkey,Music Digital Creator,2.2M,instagram,turkey,False,2024,Music,MAPPED
27,Doğuş YILMAZ @dogushyilmaz,7.2M,0.5%,Turkey,Business and Finance,2.2M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
28,Özcan Ocak @ozcanocaktr,7M,0.9%,Turkey,,2.1M,instagram,turkey,False,2024,NA,NA
29,SAVAŞ @savasugurlu,7M,1.02%,Turkey,News,2.1M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
30,Barış Arduç @arducbrs,6.9M,7.35%,Turkey,Actors Lifestyle,2.1M,instagram,turkey,False,2024,Entertainment,MAPPED
31,Recep agar @insaatmuh_mimar,6.9M,12.05%,Turkey,,2.1M,instagram,turkey,False,2024,NA,NA
32,Burak Deniz @_burakdeniz,6.8M,3.47%,Turkey,Actors,2M,instagram,turkey,False,2024,Entertainment,MAPPED
33,Oğuzhan Uğur @oguzhanugur_,6.8M,6.36%,Turkey,Entertainment and Music Funny Life and Society Musicians,2M,instagram,turkey,False,2024,Knowledge&Info,MAPPED
34,Şükran Kaymak @sukrankaymak,6.8M,1.57%,Turkey,Food Nutrition Lifestyle,2M,instagram,turkey,False,2024,Lifestyle,MAPPED
35,Asli Enver @aslienver,6.6M,5.14%,Turkey,Entertainment and Music Lifestyle Actors,2M,instagram,turkey,False,2024,Music,MAPPED
36,Yasemin Sakallıoğlu @yasemoz88,6.6M,4.51%,Turkey,Entertainment and Music Funny Journalists Modeling,2M,instagram,turkey,False,2024,Beauty&Fashion,MAPPED
