rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,HUDA BEAUTY @hudabeauty,54.1M,0.05%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Blogueiro Criadores e Celebridades,16.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Blogger Creators and Celebrities
2,Mai Omar @maiomar_,17.1M,0.26%,Emirados Árabes Unidos,Educação Família Modelagem,5.1M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Education Family Modeling
3,Ahlam Alshamsi @ahlamalshamsi,15.4M,0.07%,Emirados Árabes Unidos,Artes e Artesanato Cantor,4.6M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Singer Arts and Crafts
4,Pia Jauncey @piawurtzbach,14.7M,0.59%,Emirados Árabes Unidos,Fitness e Saúde Moda e Acessórios Beleza e Cuidados Pessoais Negócios e Finanças,4.4M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fitness and Health Fashion and Accessories Beauty and Personal Care Business and Finance
5,نور ستارز | Noor Stars @noorstars,14.5M,0.92%,Emirados Árabes Unidos,Entretenimento e Música Beleza e Cuidados Pessoais Educação,4.4M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Entertainment and Music Beauty and Personal Care Education
6,Sania Mirza @mirzasaniar,13.1M,1.96%,Emirados Árabes Unidos,Esportes Entretenimento e Música Fitness e Saúde Tênis,3.9M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Sports Entertainment & Music Fitness & Health Tennis
7,Lojain Omran @lojain_omran,11.7M,0.08%,Emirados Árabes Unidos,Artes e Artesanato Entretenimento e Música Moda e Acessórios Apresentador de TV,3.5M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Arts and Crafts Entertainment and Music Fashion and Accessories TV Presenter
8,فرح الهادي @farah_alhady,10.3M,1.03%,Emirados Árabes Unidos,Moda e Acessórios Celebridade Atores,3.1M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Celebrities Actors
9,Mohamed Alsalim - محمد السالم @mohamedalsalim,10.1M,0.47%,Emirados Árabes Unidos,Entretenimento e Música Cantor,3M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Singer
10,Ulugbekhon Maksumov @ulugbekhon,10M,2.27%,Emirados Árabes Unidos,Automóveis e Veículos Empreendedor Negócios,3M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Automobiles and Vehicles Entrepreneur Business
11,Ajay Keswani @ajaykeswaniofficial,9.6M,1.92%,Emirados Árabes Unidos,Entretenimento e Música Cantor Música Composição de Músicas,2.9M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment & Music Singer Music Songwriting
12,Mohammed bin Rashid Al Maktoum @hhshkmohd,8.5M,0.57%,Emirados Árabes Unidos,Política Fundador Empreendedor,2.6M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Politics Founder Entrepreneur
13,Willyrex @willyrex,8.1M,3.09%,Emirados Árabes Unidos,Jogos Entretenimento e Música Vlogger,2.4M,instagram,united-arab-emirates,False,2024,Tech&Gaming,MAPPED,Games Entertainment and Music Vlogger
14,Mounir @mounir,8.1M,0.65%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Estilo,2.4M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Style
15,Dina Saeva @senoritasaeva,7.9M,1.29%,Emirados Árabes Unidos,Livros Estilo de Vida,2.4M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Lifestyle Books
16,Nazriya Nazim Fahadh @nazriyafahadh,7.6M,6.68%,Emirados Árabes Unidos,Arte,2.3M,instagram,united-arab-emirates,False,2024,UNMAPPED,UNMAPPED,until
17,Ghaith Marwan 🍉 غيث مروان @ghaith_marwan,7.4M,5.2%,Emirados Árabes Unidos,Entretenimento e Música,2.2M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music
