rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,United Arab Emirates,,10.8M,youtube,united-arab-emirates,False,2024,NA,NA
2,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,youtube,united-arab-emirates,False,2024,NA,NA
3,shfa show India @shfashowindia,26.2M,-,United Arab Emirates,,7.9M,youtube,united-arab-emirates,False,2024,NA,NA
4,Noor Stars @noorstars,20.7M,-,United Arab Emirates,,6.2M,youtube,united-arab-emirates,False,2024,NA,NA
5,Supercar Blondie @UCKSVUHI9rbbkXhvAXK-2uxA,10.6M,-,United Arab Emirates,,3.2M,youtube,united-arab-emirates,False,2024,NA,NA
6,Bessan Ismail - بيسان اسماعيل @UCWKF7jRIPLVBcnE2p993yAg,10M,-,United Arab Emirates,,3M,youtube,united-arab-emirates,False,2024,NA,NA
7,Hussain Al Jassmi | حسين الجسمي @hussainaljassmi,9.5M,-,United Arab Emirates,,2.8M,youtube,united-arab-emirates,False,2024,NA,NA
8,عمر عبد الكافي @abdelkafytube,9.4M,-,United Arab Emirates,,2.8M,youtube,united-arab-emirates,False,2024,NA,NA
9,Hayla TV @UCJlR_vpux2H2Y9fdZS9-e_A,9.1M,0.7%,United Arab Emirates,,2.7M,youtube,united-arab-emirates,False,2024,NA,NA
10,ٍأحمد حسن و زينب - AZ Family @azfamiily,8.8M,0.1%,United Arab Emirates,,2.6M,youtube,united-arab-emirates,False,2024,NA,NA
11,MBC THE VOICE KIDS @UC8Q1gJfcRy5HKweJJb35gyQ,8.6M,0.1%,United Arab Emirates,,2.6M,youtube,united-arab-emirates,False,2024,NA,NA
12,Siamand & Shahad @siamandshahad,8.1M,-,United Arab Emirates,,2.4M,youtube,united-arab-emirates,False,2024,NA,NA
