rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Selena Gomez @selenagomez,429.7M,1.09%,United States,Beauty and Self Care Entertainment and Music Music Actors,128.9M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
2,Kylie @kyliejenner,400.5M,-,United States,Beauty and Self Care Product Showcase Modeling Public Figure,120.1M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
3,Dwayne Johnson @therock,397.8M,0.13%,United States,Entertainment and Music Actors Public Figure,119.3M,instagram,united-states,False,2024,Music,MAPPED
4,Ariana Grande @arianagrande,380.3M,0.58%,United States,Entertainment and Music Music Singer Actors,114.1M,instagram,united-states,False,2024,Music,MAPPED
5,Kim Kardashian @kimkardashian,364.3M,0.32%,United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,109.3M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
6,Beyoncé @beyonce,319.9M,0.48%,United States,Music Singer,96M,instagram,united-states,False,2024,Music,MAPPED
7,Khloé Kardashian @khloekardashian,310.6M,0.19%,United States,Fashion and Accessories Modeling Public Figure,93.2M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
8,Taylor Swift @taylorswift,283.4M,-,United States,Entertainment and Music Music Singer Songwriting,85M,instagram,united-states,False,2024,Music,MAPPED
9,Jennifer Lopez @jlo,253.6M,0.01%,United States,Art Food and Drink Entertainment and Music Celebrity,76.1M,instagram,united-states,False,2024,Music,MAPPED
10,Kourtney Kardashian Barker @kourtneykardash,224.3M,0.5%,United States,Entertainment and Music Business and Finance Modeling Actors,67.3M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
11,Miley Cyrus @mileycyrus,217.2M,0.01%,United States,Music,65.1M,instagram,united-states,False,2024,Music,MAPPED
12,KATY PERRY @katyperry,207.1M,0.01%,United States,Entertainment and Music Music Singer Bands Musicians,62.1M,instagram,united-states,False,2024,Music,MAPPED
13,Zendaya @zendaya,184.8M,2.92%,United States,Entertainment and Music Acting and Drama Celebrity Actors,55.5M,instagram,united-states,False,2024,Music,MAPPED
14,Kevin Hart @kevinhart4real,180.2M,0.06%,United States,Entertainment and Music Comedian Creators & Celebrities,54.1M,instagram,united-states,False,2024,Music,MAPPED
15,Cardi B @iamcardib,169M,1.05%,United States,Entertainment and Music Singer Hair & Beauty Celebrities,50.7M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
16,Demi Lovato @ddlovato,157.3M,0.01%,United States,Entertainment and Music Singer Songwriting Music,47.2M,instagram,united-states,False,2024,Music,MAPPED
17,Ellen DeGeneres @ellendegeneres,139.6M,0.02%,United States,Celebrity TV Shows Comedy Actors,41.9M,instagram,united-states,False,2024,Entertainment,MAPPED
18,BILLIE EILISH @billieeilish,110.2M,0.03%,United States,Art Singer,33.1M,instagram,united-states,False,2024,Music,MAPPED
19,Vin Diesel @vindiesel,102.8M,0.64%,United States,Producers Director Actors,30.8M,instagram,united-states,False,2024,Music,MAPPED
20,DUA LIPA @dualipa,88.7M,1.05%,United States,Entertainment and Music Singer Artist,26.6M,instagram,united-states,False,2024,Music,MAPPED
21,Gigi Hadid @gigihadid,78.6M,1.74%,United States,Fashion and Accessories Business and Finance Modeling TV Host,23.6M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
22,Justin Timberlake @justintimberlake,72.5M,0.08%,United States,Art Actors Entertainment Songwriting,21.8M,instagram,united-states,False,2024,Music,MAPPED
23,Abel Tesfaye @theweeknd,71.8M,1.95%,United States,Art Singer Artist,21.5M,instagram,united-states,False,2024,Music,MAPPED
24,camila @camila_cabello,66.5M,1.42%,United States,Entertainment and Music Celebrity Singer Music,20M,instagram,united-states,False,2024,Music,MAPPED
25,Will Smith @willsmith,64.7M,0.28%,United States,Entertainment and Music Producers Hip hop music Artist,19.4M,instagram,united-states,False,2024,Music,MAPPED
26,Leonardo DiCaprio @leonardodicaprio,62.1M,0.2%,United States,Entertainment and Music Celebrity Actors Producers,18.6M,instagram,united-states,False,2024,Music,MAPPED
27,Zac Efron @zacefron,62M,0.02%,United States,Actors,18.6M,instagram,united-states,False,2024,Entertainment,MAPPED
28,Bella 🦋 @bellahadid,60.9M,1.83%,United States,Technology Modeling Scientist,18.3M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
29,Robert Downey Jr. @robertdowneyjr,57.2M,0.62%,United States,Actors,17.1M,instagram,united-states,False,2024,Entertainment,MAPPED
30,Lady Gaga @ladygaga,56.4M,0.96%,United States,Shopping Music Singer Songwriting,16.9M,instagram,united-states,False,2024,Music,MAPPED
31,Wardell Curry @stephencurry30,56.4M,0.9%,United States,Sports Basketball Athlete Creators & Celebrities,16.9M,instagram,united-states,False,2024,Sports,MAPPED
32,Nusr_et#Saltbae @nusr_et,54M,0.16%,United States,Food Business and Finance Chef,16.2M,instagram,united-states,False,2024,Knowledge&Info,MAPPED
33,flame @travisscott,53.7M,2.31%,United States,Music Art DJ,16.1M,instagram,united-states,False,2024,Music,MAPPED
34,Lele Pons @lelepons,53.6M,1.3%,United States,Art Entertainment and Music Video Blogger Artist,16.1M,instagram,united-states,False,2024,Music,MAPPED
35,Kris Jenner @krisjenner,52.8M,0.31%,United States,TV Shows Celebrities Producers Public Figure,15.8M,instagram,united-states,False,2024,Music,MAPPED
36,House of Highlights @houseofhighlights,52M,0.72%,United States,Sports Entertainment and Music News Video Gaming,15.6M,instagram,united-states,False,2024,Sports,MAPPED
37,MrBeast @mrbeast,51.4M,3.77%,United States,Food Entertainment and Music Finance,15.4M,instagram,united-states,False,2024,Knowledge&Info,MAPPED
38,🔮Vanessa Hudgens🔮 @vanessahudgens,51.3M,0.67%,United States,Entertainment and Music Fashion and Accessories Actors Personal Blog,15.4M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
39,Hailey Rhode Baldwin Bieber @haileybieber,51.1M,3.5%,United States,Fashion and Accessories Celebrity Modeling,15.3M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
40,Chris Pratt @prattprattpratt,46M,0.45%,United States,Acting and Drama Sports Celebrity Actors,13.8M,instagram,united-states,False,2024,Sports,MAPPED
41,Jennifer Aniston @jenniferaniston,45.2M,5.63%,United States,Entertainment and Music Celebrity,13.6M,instagram,united-states,False,2024,Music,MAPPED
42,Blake Lively @blakelively,44.7M,0.04%,United States,Entertainment and Music Business and Finance Actors Entrepreneur,13.4M,instagram,united-states,False,2024,Knowledge&Info,MAPPED
43,T-Raww @tyga,44.5M,2.95%,United States,Art Singer Music Rap,13.4M,instagram,united-states,False,2024,Music,MAPPED
44,chrissy teigen @chrissyteigen,42.7M,0.1%,United States,Food Modeling TV Host Personal Blog,12.8M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
45,Marshall Mathers @eminem,41.4M,1.6%,United States,Music Singer Rap,12.4M,instagram,united-states,False,2024,Music,MAPPED
46,Wiz Khalifa @wizkhalifa,40.5M,0.42%,United States,Entertainment and Music Music DJ Singer,12.2M,instagram,united-states,False,2024,Music,MAPPED
47,Jenna Ortega @jennaortega,39.7M,8.22%,United States,Lifestyle Actors,11.9M,instagram,united-states,False,2024,Entertainment,MAPPED
48,French Montana @frenchmontana,38.6M,0.89%,United States,Entertainment and Music Music Singer Rap,11.6M,instagram,united-states,False,2024,Music,MAPPED
49,DJ KHALED @djkhaled,38.5M,0.08%,United States,Entertainment and Music Parenting DJ Celebrities,11.5M,instagram,united-states,False,2024,Music,MAPPED
50,Madison Beer @madisonbeer,38M,0.03%,United States,Entertainment and Music Music Singer Actors,11.4M,instagram,united-states,False,2024,Music,MAPPED
51,Becky G @iambeckyg,37.8M,0.99%,United States,Beauty and Self Care Music Musician,11.4M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
52,Olivia Rodrigo @oliviarodrigo,36.8M,0.05%,United States,Entertainment and Music Modeling Music Musician,11M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
53,Shay Mitchell @shaymitchell,36.5M,0.28%,United States,Celebrity Modeling Actor Creators & Celebrities,10.9M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
54,Barack Obama @barackobama,36.5M,0.39%,United States,Politics Public Figure,10.9M,instagram,united-states,False,2024,Knowledge&Info,MAPPED
55,Addison Rae @addisonraee,36M,1.06%,United States,Beauty and Self Care Public Figure Creators & Celebrities,10.8M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
56,Nick Jonas @nickjonas,35.4M,1.06%,United States,Entertainment and Music Food Product Showcase Artist,10.6M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
57,Ciara @ciara,35.4M,0.97%,United States,Beauty and Self Care Entertainment and Music Business and Finance Celebrity,10.6M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
58,DR. SHAQUILLE O'NEAL Ed.D. @shaq,33.7M,0.12%,United States,Sports Celebrity Music Film Director,10.1M,instagram,united-states,False,2024,Sports,MAPPED
59,Cole Sprouse @colesprouse,32.7M,0.31%,United States,Entertainment and Music Actors Day Care,9.8M,instagram,united-states,False,2024,Music,MAPPED
60,Niall Horan @niallhoran,32.7M,1.42%,United States,Band Photography Music,9.8M,instagram,united-states,False,2024,Music,MAPPED
61,Dan Bilzerian @danbilzerian,32.6M,5.69%,United States,Entertainment and Music Actors,9.8M,instagram,united-states,False,2024,Music,MAPPED
62,Jason Derulo @jasonderulo,32.3M,1.1%,United States,Entertainment and Music Singer,9.7M,instagram,united-states,False,2024,Music,MAPPED
63,Bruno Mars @brunomars,32.2M,5.38%,United States,,9.7M,instagram,united-states,False,2024,NA,NA
64,AGNEZ MO @agnezmo,32.1M,0.15%,United States,Entertainment and Music Music Modeling Singer,9.6M,instagram,united-states,False,2024,Beauty&Fashion,MAPPED
65,Anne Hathaway @annehathaway,32.1M,1.33%,United States,Entertainment and Music Celebrity Actors Music,9.6M,instagram,united-states,False,2024,Music,MAPPED
66,Megan Thee Stallion @theestallion,32M,0.06%,United States,Entertainment and Music Music Entertainment Singer,9.6M,instagram,united-states,False,2024,Music,MAPPED
