rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Leana Deeb @leanadeeb,12.1M,1.5%,Uruguay,,3.6M,tiktok,uruguay,False,2024,NA,NA
2,El Pepe @elpepeskrt,4.9M,-,Uruguay,Entertainment and Music,1.5M,tiktok,uruguay,False,2024,Music,MAPPED
3,_VECINITA_ @moralees_mel,1.7M,-,Uruguay,,510K,tiktok,uruguay,False,2024,NA,NA
4,TRIPPIA @_romi.ff,1.7M,0.2%,Uruguay,,510K,tiktok,uruguay,False,2024,NA,NA
5,Claudinioh ⚡️ @claudinio,1.4M,-,Uruguay,Entertainment and Music,420K,tiktok,uruguay,False,2024,Music,MAPPED
6,Alaska🇺🇾 @alaskkag,1.4M,0.1%,Uruguay,,420K,tiktok,uruguay,False,2024,NA,NA
7,Monteritooo🤪 @montero.okk._,1.2M,-,Uruguay,,360K,tiktok,uruguay,False,2024,NA,NA
8,Sheii Fernandez @sheikfernandez,1.1M,-,Uruguay,,330K,tiktok,uruguay,False,2024,NA,NA
9,rafatn30 @rafatn30,985.3K,0.3%,Uruguay,Acting and Drama Celebrity,295.6K,tiktok,uruguay,False,2024,Entertainment,MAPPED
10,Joaquín @joacoouru,917K,-,Uruguay,,275.1K,tiktok,uruguay,False,2024,NA,NA
11,sabrina_basualdoo @sabrina_basualdoo,909.3K,-,Uruguay,,272.8K,tiktok,uruguay,False,2024,NA,NA
12,S E B A S 🥷 @sebasilencio,883.1K,-,Uruguay,,264.9K,tiktok,uruguay,False,2024,NA,NA
13,Nathael Melo💕 @nathayfamilia,867.5K,-,Uruguay,,260.3K,tiktok,uruguay,False,2024,NA,NA
14,JM22OFFICIAL Ⓜ️ @jm22official,867.1K,-,Uruguay,Travel,260.1K,tiktok,uruguay,False,2024,Lifestyle,MAPPED
15,Sergio_hagopian @sershyhagop,836.5K,-,Uruguay,,251K,tiktok,uruguay,False,2024,NA,NA
16,DiegoMartins🇺🇾 @diego_martins25,803.8K,-,Uruguay,,241.1K,tiktok,uruguay,False,2024,NA,NA
17,Seba González @sebastandup,779K,0.1%,Uruguay,,233.7K,tiktok,uruguay,False,2024,NA,NA
18,Santi Ibarbourou @santi_ibarbourou,776.6K,-,Uruguay,,233K,tiktok,uruguay,False,2024,NA,NA
19,•𝔸𝕟𝕥𝕠𝕟𝕖𝕝𝕝𝕒• @aanto.contreras,758.4K,-,Uruguay,,227.5K,tiktok,uruguay,False,2024,NA,NA
20,Lil_farra23 @lil_farra,722.6K,-,Uruguay,,216.8K,tiktok,uruguay,False,2024,NA,NA
21,KinoRules @kinorules,711.6K,0.3%,Uruguay,,213.5K,tiktok,uruguay,False,2024,NA,NA
22,Diego Ugarte @_diego_tm,660.8K,-,Uruguay,,198.2K,tiktok,uruguay,False,2024,NA,NA
