rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,mrbeast,MrBeast,60300000.0,29200000.0,3500000.0,30800.0,7200.0,tiktok,december,2022
2,karolg,Karol G,42400000.0,23700000.0,3400000.0,21700.0,25700.0,tiktok,december,2022
3,yzn47,يزن الأسمر,8900000.0,48900000.0,998400.0,16300.0,60900.0,tiktok,december,2022
4,centralcee,CentralCee,4400000.0,19800000.0,3600000.0,23300.0,24200.0,tiktok,december,2022
5,adinross,adin,6100000.0,21100000.0,3300000.0,17500.0,25300.0,tiktok,december,2022
6,thebrandonrobert,Brandon Robert,11600000.0,13200000.0,2900000.0,5700.0,50500.0,tiktok,december,2022
7,mishayoung,Міша Городецький 🇺🇦,4500000.0,21500000.0,2400000.0,16300.0,24500.0,tiktok,december,2022
8,yailinlamasviraloficial_,Yailin La Más Viral,6100000.0,25000000.0,1700000.0,16600.0,5300.0,tiktok,december,2022
9,daniel.labelle,Daniel LaBelle,28400000.0,18600000.0,1800000.0,7500.0,19000.0,tiktok,december,2022
10,amauryguichon,Amaury Guichon,18400000.0,16200000.0,1600000.0,7800.0,21400.0,tiktok,december,2022
11,urbantheory_,Urban Theory,19800000.0,18500000.0,1900000.0,5400.0,16300.0,tiktok,december,2022
12,enhypen,enhypen,13300000.0,5700000.0,1700000.0,35000.0,25300.0,tiktok,december,2022
13,conangray,conangray,7000000.0,8000000.0,2200000.0,12700.0,19300.0,tiktok,december,2022
14,elissadeheart,Elissa DeHeart,2500000.0,7500000.0,1900000.0,20800.0,15500.0,tiktok,december,2022
15,im.camber,Camber,94000.0,6400000.0,1200000.0,4200.0,37500.0,tiktok,december,2022
16,matt_rife,Matt Rife,6100000.0,8500000.0,1600000.0,5600.0,16100.000000000002,tiktok,december,2022
17,khaby.lame,Khabane lame,153100000.0,10600000.0,1200000.0,20800.0,2300.0,tiktok,december,2022
18,fadiljaidi,Fadil Jaidi,9200000.0,12700000.0,1700000.0,7600.0,4400.0,tiktok,december,2022
19,rosalia,La Rosalia,28100000.0,10600000.0,1200000.0,6100.0,8500.0,tiktok,december,2022
20,juandamc,JuanDa.,19700000.0,8100000.0,2000000.0,5200.0,5200.0,tiktok,december,2022
21,twitchtok7,tWitch,5600000.0,12100000.0,678200.0,11700.0,6500.0,tiktok,december,2022
22,anaraquelhz,Raquel,5700000.0,6500000.0,576100.0,4300.0,34300.0,tiktok,december,2022
23,karadenizli.maceraci,KARADENİZLİ MACERACI,1800000.0,18700000.0,914100.0,2700.0,5700.0,tiktok,december,2022
