rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ziba Gulley 🥀 @xzayx89,14500000.0,0.3,Afghanistan,Business and Finance,4400000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED
2,Bryan Kazaka @bryankazaka,9000000.0,,Afghanistan,Entertainment and Music Finance Upskilling,2700000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED
3,JasleenKaur Official @jasleenxbeauty,4099999.9999999995,,Afghanistan,Beauty and Self Care Acting and Drama Celebrity,1200000.0,tiktok,afghanistan,False,2024,Beauty&Fashion,MAPPED
4,Pary Gull Moti @parygullofficial,1400000.0,,Afghanistan,Business and Finance,420000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED
5,Valentino @baravalentino_,1300000.0,,Afghanistan,,390000.0,tiktok,afghanistan,False,2024,,
6,QueenofTikTok👸 @mashazlatifiofficial7,1100000.0,,Afghanistan,Fitness,330000.0,tiktok,afghanistan,False,2024,Sports,MAPPED
7,Mehral Shams @mehral,1100000.0,,Afghanistan,,330000.0,tiktok,afghanistan,False,2024,,
8,haniyemazariofficial @haniye_mazari_officiall,946500.0,,Afghanistan,,284000.0,tiktok,afghanistan,False,2024,,
9,SlayerGirl💕 @x_s.l.a.y.e.r.g.i.r.l_x,928100.0,,Afghanistan,Beauty,278400.0,tiktok,afghanistan,False,2024,Beauty&Fashion,MAPPED
10,777zvrahfn @777zvrahfn,860900.0,,Afghanistan,Entertainment and Music,258300.0,tiktok,afghanistan,False,2024,Music,MAPPED
11,MC RAJI @mcrajiofficial,852900.0,0.1,Afghanistan,Entertainment and Music Funny Celebrity,255900.0,tiktok,afghanistan,False,2024,Music,MAPPED
12,Soma Zafari @somazafari,813800.0,,Afghanistan,Travel,244100.0,tiktok,afghanistan,False,2024,Lifestyle,MAPPED
13,Andro @andro_121,806400.0,,Afghanistan,,241900.0,tiktok,afghanistan,False,2024,,
14,Ayesha khan 🇦🇫🇵🇰 @nageen_afghan,806300.0,,Afghanistan,,241900.0,tiktok,afghanistan,False,2024,,
15,A @arsalannoori07,749100.0,6.6,Afghanistan,,224700.0,tiktok,afghanistan,False,2024,,
16,『Savage』GIRL❣️ @savage.bye,706500.0,,Afghanistan,Video Gaming,212000.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED
17,Z E R O @zero.503,706200.0,,Afghanistan,Video Gaming,211900.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED
18,😝Ziarat khan funny😝🙈 @ziaratkhan5050,702600.0,,Afghanistan,,210800.0,tiktok,afghanistan,False,2024,,
19,Zainab-official @zainabjan2001,674700.0,,Afghanistan,,202400.0,tiktok,afghanistan,False,2024,,
20,🇦🇫🇹🇷 @shabir_7m,658800.0,,Afghanistan,,197600.0,tiktok,afghanistan,False,2024,,
21,Ｒ¹丨ＢＯＯＭ @r1.boom,622200.0,0.2,Afghanistan,,186700.0,tiktok,afghanistan,False,2024,,
22,𝐇𝐚𝐬𝐞𝐞𝐛 𝐊𝐡𝐚𝐧 @thekhan_,584200.0,,Afghanistan,,175300.0,tiktok,afghanistan,False,2024,,
23,Jeffy Nachapim @jeffynachapim,575300.0,,Afghanistan,,172600.0,tiktok,afghanistan,False,2024,,
24,Afsana Zeddi @afsanazeddi,558200.0,,Afghanistan,,167500.0,tiktok,afghanistan,False,2024,,
25,Icxmaria @icxmaria,534300.0,,Afghanistan,,160300.0,tiktok,afghanistan,False,2024,,
26,Free Fire 🔥 @moe_ff,522100.0,,Afghanistan,,156600.0,tiktok,afghanistan,False,2024,,
27,¹Ｏp・MARYAM 👸🏻🇦🇫 @official_maryam,521900.0,,Afghanistan,,156600.0,tiktok,afghanistan,False,2024,,
28,Siyad Abdali @siyad998,516299.99999999994,,Afghanistan,Nature,154900.0,tiktok,afghanistan,False,2024,Lifestyle,MAPPED
29,Habari_Njema @habari_njema,513400.0,0.2,Afghanistan,Entertainment and Music Education,154000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED
