rank,followers,er,audience_country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
1,161900000.0,0.2,Italy,Funny Entertainment and Music,48600000.0,Khabane lame ,khaby.lame,tiktok,aland-islands,False,2024,Music,MAPPED
2,92600000.0,0.8,United States,,27800000.0,Bella Poarch ,bellapoarch,tiktok,aland-islands,False,2024,,
3,88500000.0,1.0,United States,Beauty and Self Care,26600000.0,Addison Rae ,addisonre,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
4,85400000.0,4.0,,Entertainment and Music,25600000.0,MrBeast ,mrbeast,tiktok,aland-islands,False,2024,Music,MAPPED
5,78100000.0,2.9,United States,Entertainment and Music,23400000.0,Zach King ,zachking,tiktok,aland-islands,False,2024,Music,MAPPED
6,76100000.0,1.6,Mexico,,22800000.0,Kimberly Loaiza ,kimberly.loaiza,tiktok,aland-islands,False,2024,,
7,74200000.0,0.9,United States,Entertainment and Music Fitness and Health Business and Finance,22300000.0,The Rock ,therock,tiktok,aland-islands,False,2024,Sports,MAPPED
8,74100000.0,0.7,United States,,22200000.0,Will Smith ,willsmith,tiktok,aland-islands,False,2024,,
9,72000000.0,0.2,,,21600000.0,cznburak ,cznburak,tiktok,aland-islands,False,2024,,
10,58900000.0,0.4,United States,Entertainment and Music,17700000.0,Jason Derulo ,jasonderulo,tiktok,aland-islands,False,2024,Music,MAPPED
11,56000000.0,3.2,United States,Beauty and Self Care Fashion and Accessories,16800000.0,Kylie Jenner ,kyliejenner,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
12,51900000.0,3.8,Colombia,Entertainment and Music,15600000.0,Karol G ,karolg,tiktok,aland-islands,False,2024,Music,MAPPED
13,51400000.0,,Vietnam,,15400000.0,Michael Le ,justmaiko,tiktok,aland-islands,False,2024,,
14,51000000.0,1.0,,Entertainment and Music,15300000.0,BTS ,bts_official_bighit,tiktok,aland-islands,False,2024,Music,MAPPED
15,51000000.0,,,,15300000.0,BILLIE EILISH ,billieeilish,tiktok,aland-islands,False,2024,,
16,45600000.0,0.3,United States,Entertainment and Music,13700000.0,JoJo Siwa ,itsjojosiwa,tiktok,aland-islands,False,2024,Music,MAPPED
17,44000000.0,,,Entertainment and Music,13200000.0,ESPN ,espn,tiktok,aland-islands,False,2024,Music,MAPPED
18,42800000.0,,,,12800000.0,Junya/じゅんや ,junya1gou,tiktok,aland-islands,False,2024,,
19,42100000.0,,,Fashion and Accessories,12600000.0,ХОМЯК ,homm9k,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
20,41400000.0,,,Entertainment and Music,12400000.0,XO Team ,xoteam,tiktok,aland-islands,False,2024,Music,MAPPED
21,41100000.0,,,Entertainment and Music,12300000.0,ROD🫠 ,elrodcontreras,tiktok,aland-islands,False,2024,Music,MAPPED
22,40800000.0,,,family Entertainment and Music,12200000.0,Joe ,joealbanese,tiktok,aland-islands,False,2024,Music,MAPPED
23,40000000.0,1.1,United Kingdom,Food,12000000.0,Gordon Ramsay ,gordonramsayofficial,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
24,39200000.0,,,,11800000.0,Carlos Feria ,carlosferiag,tiktok,aland-islands,False,2024,,
25,38800000.0,,,,11600000.0,ondy mikula ,ondymikula,tiktok,aland-islands,False,2024,,
26,38400000.0,0.2,,Entertainment and Music,11500000.0,Scott 🔥 ,scottsreality,tiktok,aland-islands,False,2024,Music,MAPPED
27,38200000.0,2.0,,,11500000.0,Shakira ,shakira,tiktok,aland-islands,False,2024,,
28,36900000.0,0.1,United States,Entertainment and Music Sports,11100000.0,Barstool Sports ,barstoolsports,tiktok,aland-islands,False,2024,Sports,MAPPED
29,36200000.0,,United States,Beauty and Self Care Arts and Crafts,10900000.0,James Charles ,jamescharles,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
30,35400000.0,0.1,,,10600000.0,kyle thomas 🌿 ,kylethomas,tiktok,aland-islands,False,2024,,
31,35200000.0,,,,10600000.0,Q Park ,qpark,tiktok,aland-islands,False,2024,,
32,35100000.0,,,Entertainment and Music,10500000.0,GIL CROES ,gilmhercroes,tiktok,aland-islands,False,2024,Music,MAPPED
33,34800000.0,1.7,United States,Entertainment and Music,10400000.0,Kevin Hart ,imkevinhart,tiktok,aland-islands,False,2024,Music,MAPPED
34,34700000.0,,,Entertainment and Music Funny,10400000.0,Kirya Kolesnikov ,thekiryalife,tiktok,aland-islands,False,2024,Music,MAPPED
35,34400000.0,,,Entertainment and Music,10300000.0,arianagrande ,arianagrande,tiktok,aland-islands,False,2024,Music,MAPPED
36,34200000.0,,,,10300000.0,Pongámoslo a Prueba ,pongamoslo_a_prueba,tiktok,aland-islands,False,2024,,
37,33500000.0,0.6,,Pets,10100000.0,ThatLittlePuff ,thatlittlepuff,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
38,33299999.999999996,,,,10000000.0,Montpantoja ,montpantoja,tiktok,aland-islands,False,2024,,
39,32100000.0,0.2,United States,Arts and Crafts Education Upskilling,9600000.0,Devon Rodriguez ,devonrodriguezart,tiktok,aland-islands,False,2024,Knowledge&Info,MAPPED
40,31800000.0,18.4,Puerto Rico,,9500000.0,Bad Bunny ,badbunny,tiktok,aland-islands,False,2024,,
41,31700000.0,2.1,United States,Entertainment and Music Funny,9500000.0,Brooke Monk ,brookemonk_,tiktok,aland-islands,False,2024,Music,MAPPED
42,31600000.0,0.4,,Entertainment and Music,9500000.0,Indi skovar ,indiskovar3.0,tiktok,aland-islands,False,2024,Music,MAPPED
43,31500000.0,0.9,United States,,9500000.0,Lele Pons ,lelepons,tiktok,aland-islands,False,2024,,
44,31200000.0,,United States,Entertainment and Music,9400000.0,Stokes Twins ,stokestwins,tiktok,aland-islands,False,2024,Music,MAPPED
45,31100000.0,0.7,,Entertainment and Music,9300000.0,Kira Kosarin ,kirakosarin,tiktok,aland-islands,False,2024,Music,MAPPED
46,30900000.0,,Spain,,9300000.0,La Rosalia ,rosalia,tiktok,aland-islands,False,2024,,
47,30400000.0,,Colombia,,9100000.0,Alejandro Nieto ,soybans,tiktok,aland-islands,False,2024,,
48,30200000.0,,Mexico,,9100000.0,Michel Chavez ,its.michhh,tiktok,aland-islands,False,2024,,
49,30200000.0,,United States,,9100000.0,Liza Koshy ,lizzza,tiktok,aland-islands,False,2024,,
50,29200000.0,1.0,Brazil,Travel,8800000.0,beca ,beca,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
51,29000000.0,,United States,Entertainment and Music Celebrity,8700000.0,Topper Guild ,topperguild,tiktok,aland-islands,False,2024,Music,MAPPED
52,28200000.0,,Chile,Beauty and Self Care,8500000.0,Ignacia Antonia👑 ,ignaciaa_antonia,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
53,28000000.0,,,Entertainment and Music,8400000.0,Camilo ,camilo,tiktok,aland-islands,False,2024,Music,MAPPED
54,27600000.0,,,Entertainment and Music,8300000.000000001,Daniel Ibarra ,juandaniel.ibarra,tiktok,aland-islands,False,2024,Music,MAPPED
55,27500000.0,0.2,South Korea,,8300000.000000001,시아지우 sia_jiwoo ,sia_jiwoo,tiktok,aland-islands,False,2024,,
56,27100000.0,4.5,,,8100000.0,Lexi Rivera ,lexibrookerivera,tiktok,aland-islands,False,2024,,
57,27000000.0,,,Entertainment and Music,8100000.0,KEEMOKAZI ,keemokazi,tiktok,aland-islands,False,2024,Music,MAPPED
58,26700000.0,,,Sports,8000000.0,psg ,psg,tiktok,aland-islands,False,2024,Sports,MAPPED
59,26300000.0,,,family Romance and Wedding,7900000.0,JeisonGiraldo ,jeison_giraldo,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
60,26300000.0,,,,7900000.0,JeanCarlo Leon ,jashlem,tiktok,aland-islands,False,2024,,
61,26100000.0,1.2,,Funny,7800000.0,Jimena ,jimena.jimenezr,tiktok,aland-islands,False,2024,Entertainment,MAPPED
62,26000000.0,0.1,United States,Entertainment and Music,7800000.0,Doja Cat ,dojacat,tiktok,aland-islands,False,2024,Music,MAPPED
63,26000000.0,,Kuwait,Fashion and Accessories,7800000.0,Bader Al Safar ,baderalsafar,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
64,26000000.0,,United States,Entertainment and Music Funny,7800000.0,DAVID DOBRIK ,daviddobrik,tiktok,aland-islands,False,2024,Music,MAPPED
65,25900000.0,,,Entertainment and Music,7800000.0,LARRAY ,larrayeeee,tiktok,aland-islands,False,2024,Music,MAPPED
66,25900000.0,,,,7800000.0,Era Ays ,era_ays,tiktok,aland-islands,False,2024,,
67,25700000.0,0.1,,,7700000.0,Karla Bustillos ❤️ ,karla.bustillos,tiktok,aland-islands,False,2024,,
68,25700000.0,4.6,,,7700000.0,BORREGO ,lagranjadelborrego,tiktok,aland-islands,False,2024,,
69,25400000.0,,,Beauty and Self Care Funny,7600000.0,Arnaldo Mangini ,arnaldomangini,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
70,25400000.0,,,Funny,7600000.0,Jaykindafunny ,jaykindafunny8,tiktok,aland-islands,False,2024,Entertainment,MAPPED
71,25200000.0,,,,7600000.0,Malu Trevejo ,malutrevejo,tiktok,aland-islands,False,2024,,
72,25100000.0,1.0,,Games,7500000.0,AriGameplays ,arigameplays,tiktok,aland-islands,False,2024,Tech&Gaming,MAPPED
73,24900000.0,0.6,,,7500000.0,Dina ,dina,tiktok,aland-islands,False,2024,,
74,24700000.0,,,Animals,7400000.0,DonaldDucc 🦆 ,donaldducc,tiktok,aland-islands,False,2024,Lifestyle,MAPPED
75,24500000.0,,,,7400000.0,adrilatinatv ,adrilatinatv,tiktok,aland-islands,False,2024,,
76,24500000.0,,,,7400000.0,Victor Melo ,victormelo,tiktok,aland-islands,False,2024,,
77,24100000.0,,,Food Beauty and Self Care,7200000.0,Chingu Amiga ,chinguamiga,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED
78,24000000.0,0.8,,Entertainment and Music Funny,7200000.0,The Mannii Show ,the_mannii,tiktok,aland-islands,False,2024,Music,MAPPED
79,23900000.0,0.4,United States,Entertainment and Music Celebrity,7200000.0,Terry Crews ,terrycrews,tiktok,aland-islands,False,2024,Music,MAPPED
80,23700000.0,,United States,Entertainment and Music,7100000.0,Jacob Sartorius ,jacobsartorius,tiktok,aland-islands,False,2024,Music,MAPPED
81,23600000.0,0.6,,,7100000.0,Luara ,luara,tiktok,aland-islands,False,2024,,
82,23400000.0,5.1,,,7000000.0,Nicolle Figueroa ,nicollefigueroaa,tiktok,aland-islands,False,2024,,
83,22900000.0,8.5,Canada,,6900000.0,Ryan Reynolds ,vancityreynolds,tiktok,aland-islands,False,2024,,
84,22600000.0,0.3,United States,Entertainment and Music family,6800000.0,Lauren Godwin ,laurengodwin,tiktok,aland-islands,False,2024,Music,MAPPED
85,22500000.0,,,,6800000.0,mingweirocks ,mingweirocks,tiktok,aland-islands,False,2024,,
86,22400000.0,8.0,,,6700000.0,Cardi B ,iamcardib,tiktok,aland-islands,False,2024,,
87,22200000.0,,,Funny Entertainment and Music,6700000.0,Latiktokeuse869 ,latiktokeuse869,tiktok,aland-islands,False,2024,Music,MAPPED
88,22100000.0,,,,6600000.0,Mackenzie Ziegler ,mackenzieziegler,tiktok,aland-islands,False,2024,,
89,22100000.0,,United States,Entertainment and Music,6600000.0,Lance Stewart ,lance210,tiktok,aland-islands,False,2024,Music,MAPPED
90,22100000.0,0.8,,,6600000.0,Anitta ,anitta,tiktok,aland-islands,False,2024,,
