rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Khabane lame @khaby.lame,161900000.0,0.2,Italy,Funny Entertainment and Music,48600000.0,tiktok,all-countries,True,2024,Music,MAPPED
2,Bella Poarch @bellapoarch,92600000.0,0.8,United States,,27800000.0,tiktok,all-countries,True,2024,,
3,Addison Rae @addisonre,88500000.0,1.0,United States,Beauty and Self Care,26600000.0,tiktok,all-countries,True,2024,Beauty&Fashion,MAPPED
4,MrBeast @mrbeast,85400000.0,4.0,,Entertainment and Music,25600000.0,tiktok,all-countries,True,2024,Music,MAPPED
5,Zach King @zachking,78100000.0,2.9,United States,Entertainment and Music,23400000.0,tiktok,all-countries,True,2024,Music,MAPPED
6,Kimberly Loaiza @kimberly.loaiza,76100000.0,1.6,Mexico,,22800000.0,tiktok,all-countries,True,2024,,
7,The Rock @therock,74200000.0,0.9,United States,Entertainment and Music Fitness and Health Business and Finance,22300000.0,tiktok,all-countries,True,2024,Sports,MAPPED
8,Will Smith @willsmith,74100000.0,0.7,United States,,22200000.0,tiktok,all-countries,True,2024,,
9,cznburak @cznburak,72000000.0,0.2,,,21600000.0,tiktok,all-countries,True,2024,,
10,Jason Derulo @jasonderulo,58900000.0,0.4,United States,Entertainment and Music,17700000.0,tiktok,all-countries,True,2024,Music,MAPPED
11,Kylie Jenner @kyliejenner,56000000.0,3.2,United States,Beauty and Self Care Fashion and Accessories,16800000.0,tiktok,all-countries,True,2024,Beauty&Fashion,MAPPED
12,Karol G @karolg,51900000.0,3.8,Colombia,Entertainment and Music,15600000.0,tiktok,all-countries,True,2024,Music,MAPPED
13,Michael Le @justmaiko,51400000.0,,Vietnam,,15400000.0,tiktok,all-countries,True,2024,,
14,BTS @bts_official_bighit,51000000.0,1.0,,Entertainment and Music,15300000.0,tiktok,all-countries,True,2024,Music,MAPPED
15,BILLIE EILISH @billieeilish,51000000.0,,,,15300000.0,tiktok,all-countries,True,2024,,
16,JoJo Siwa @itsjojosiwa,45600000.0,0.3,United States,Entertainment and Music,13700000.0,tiktok,all-countries,True,2024,Music,MAPPED
17,ESPN @espn,44000000.0,,,Entertainment and Music,13200000.0,tiktok,all-countries,True,2024,Music,MAPPED
18,Junya/じゅんや @junya1gou,42800000.0,,,,12800000.0,tiktok,all-countries,True,2024,,
19,ХОМЯК @homm9k,42100000.0,,,Fashion and Accessories,12600000.0,tiktok,all-countries,True,2024,Beauty&Fashion,MAPPED
20,XO Team @xoteam,41400000.0,,,Entertainment and Music,12400000.0,tiktok,all-countries,True,2024,Music,MAPPED
21,ROD🫠 @elrodcontreras,41100000.0,,,Entertainment and Music,12300000.0,tiktok,all-countries,True,2024,Music,MAPPED
22,Joe @joealbanese,40800000.0,,,family Entertainment and Music,12200000.0,tiktok,all-countries,True,2024,Music,MAPPED
23,Gordon Ramsay @gordonramsayofficial,40000000.0,1.1,United Kingdom,Food,12000000.0,tiktok,all-countries,True,2024,Lifestyle,MAPPED
24,Carlos Feria @carlosferiag,39200000.0,,,,11800000.0,tiktok,all-countries,True,2024,,
