rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Sergio Agüero @kunaguero,10400000.0,,Argentina,Sports,3100000.0,tiktok,argentina,False,2024,Sports,MAPPED
2,ᴄᴏɴʀᴀ @conradovillagra,9900000.0,,Argentina,Entertainment and Music,3000000.0,tiktok,argentina,False,2024,Music,MAPPED
3,🇦🇷ARITO🇦🇷 @arito__,8199999.999999999,,Argentina,Entertainment and Music,2500000.0,tiktok,argentina,False,2024,Music,MAPPED
4,Cande Copello @cande.copello,8000000.0,0.3,Argentina,Animation and Cosplay,2400000.0,tiktok,argentina,False,2024,Tech&Gaming,MAPPED
5,Andrade❤️🎬 @moreeandrade,7100000.0,,Argentina,Acting and Drama,2100000.0,tiktok,argentina,False,2024,Entertainment,MAPPED
6,Alejo Igoa @alejoigoa,6000000.0,,Argentina,,1800000.0,tiktok,argentina,False,2024,,
7,catita reyes @catareyyes,5500000.0,,Argentina,Food,1700000.0,tiktok,argentina,False,2024,Lifestyle,MAPPED
8,Andres Vernazza @emprendedormoderno,4600000.0,,Argentina,Education,1400000.0,tiktok,argentina,False,2024,Knowledge&Info,MAPPED
9,Yuli cagna @yulicagna,3200000.0,,Argentina,,960000.0,tiktok,argentina,False,2024,,
10,Martina Catini @marttucatiniii,3000000.0,,Argentina,,900000.0,tiktok,argentina,False,2024,,
11,EZE @ezequielitto,3000000.0,,Argentina,Travel,900000.0,tiktok,argentina,False,2024,Lifestyle,MAPPED
12,Jonas Montanaro @jonasmontanaro,2800000.0,,Argentina,,840000.0,tiktok,argentina,False,2024,,
13,juststef @iamjuststef,2700000.0,,Argentina,,810000.0,tiktok,argentina,False,2024,,
14,Fran Silva @fran_silva11,2700000.0,,Argentina,,810000.0,tiktok,argentina,False,2024,,
15,Alicia Castro @aliciacastro___,2600000.0,,Argentina,Funny Entertainment and Music,780000.0,tiktok,argentina,False,2024,Music,MAPPED
16,Julieta 🍒 @juli.castroo,2600000.0,,Argentina,,780000.0,tiktok,argentina,False,2024,,
17,mariam🦋 @mariamstar1,2600000.0,,Argentina,Entertainment and Music,780000.0,tiktok,argentina,False,2024,Music,MAPPED
18,Tincho Ruiz @tinchoo.ruiz,2400000.0,,Argentina,,720000.0,tiktok,argentina,False,2024,,
19,Maxi Fontan @maxi.fontan,2400000.0,4.3,Argentina,Entertainment and Music,720000.0,tiktok,argentina,False,2024,Music,MAPPED
20,Nico Melo @melojnico,2200000.0,,Argentina,Entertainment and Music,660000.0,tiktok,argentina,False,2024,Music,MAPPED
21,Francisco Ferella @franferellaa,2200000.0,,Argentina,Entertainment and Music,660000.0,tiktok,argentina,False,2024,Music,MAPPED
22,MatyCocinaok @matycocinaok,2100000.0,,Argentina,Home and Garden,630000.0,tiktok,argentina,False,2024,Lifestyle,MAPPED
23,Mica Coppola @micacoppola_,2100000.0,,Argentina,,630000.0,tiktok,argentina,False,2024,,
24,Jorgito_barrionuevo @jorgito_barrionuevo,1900000.0,,Argentina,,570000.0,tiktok,argentina,False,2024,,
25,bugutu @gerolaiker,1800000.0,,Argentina,Entertainment and Music,540000.0,tiktok,argentina,False,2024,Music,MAPPED
26,Maxi Chime @maxichimenti,1800000.0,,Argentina,Entertainment and Music,540000.0,tiktok,argentina,False,2024,Music,MAPPED
27,Ailu Tokman @ailutokman,1700000.0,0.6,Argentina,Food,510000.0,tiktok,argentina,False,2024,Lifestyle,MAPPED
28,Catarata @catalinafg1,1700000.0,,Argentina,Entertainment and Music,510000.0,tiktok,argentina,False,2024,Music,MAPPED
