rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Chris Hemsworth @chrishemsworth,58500000.0,1.6,Australia,Actors,17500000.0,instagram,australia,False,2024,Entertainment,MAPPED
2,Hugh Jackman @thehughjackman,31900000.0,1.27,Australia,Entertainment and Music Actors TV Host Modeling,9600000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
3,Ruby Rose @rubyrose,22700000.0,0.42,Australia,Celebrity Modeling,6800000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
4,Miranda Kerr @mirandakerr,14600000.0,0.82,Australia,Beauty and Self Care Fashion and Accessories Business and Finance Lifestyle,4400000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
5,Liam Hemsworth @liamhemsworth,12600000.0,3.55,Australia,Actors Film,3800000.0,instagram,australia,False,2024,Entertainment,MAPPED
6,5 Seconds of Summer @5sos,11500000.0,1.6,Australia,Entertainment and Music,3500000.0,instagram,australia,False,2024,Music,MAPPED
7,Rebel Wilson @rebelwilson,11200000.0,0.48,Australia,Acting and Drama Modeling Styling,3400000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
8,David Warner @davidwarner31,10700000.0,0.7,Australia,family Cricket,3200000.0,instagram,australia,False,2024,Lifestyle,MAPPED
9,ANGELA WHITE @theangelawhite,9900000.0,1.32,Australia,Entertainment and Music Romance and Wedding Actors Modeling,3000000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
10,Nicole Kidman @nicolekidman,9800000.0,1.65,Australia,Acting and Drama Actors,2900000.0,instagram,australia,False,2024,Entertainment,MAPPED
11,Celeste Barber @celestebarber,9600000.0,1.21,Australia,Entertainment and Music Funny Celebrity Writers,2900000.0,instagram,australia,False,2024,Music,MAPPED
12,Dacre Montgomery @dacremontgomery,8900000.0,3.28,Australia,Art,2700000.0,instagram,australia,False,2024,Lifestyle,MAPPED
13,Daniel Ricciardo @danielricciardo,8700000.0,6.25,Australia,Sports Racing Cars,2600000.0,instagram,australia,False,2024,Sports,MAPPED
14,Phoebe Tonkin @phoebejtonkin,8500000.0,1.74,Australia,Entertainment and Music Modeling Actors,2500000.0,instagram,australia,False,2024,Beauty&Fashion,MAPPED
15,Luke Hemmings @lukehemmings,8400000.0,4.35,Australia,Music Guitar Singer,2500000.0,instagram,australia,False,2024,Music,MAPPED
16,Calum Hood @calumhood,7800000.0,4.32,Australia,Music Rock Guitar,2300000.0,instagram,australia,False,2024,Music,MAPPED
17,Claire Holt @claireholt,7600000.0,4.98,Australia,,2300000.0,instagram,australia,False,2024,,
