rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Bounce Patrol - Kids Songs @UC56cowXhoqRWHeqfSJkIQaA,27300000.0,,Australia,Music Pets,8199999.999999999,youtube,australia,False,2024,Music,MAPPED
2,Chloe Ting @chloeting,24200000.0,,Australia,,7300000.0,youtube,australia,False,2024,,
3,LazarBeam @UCw1SQ6QRRtfAhrN_cjkrOgA,20300000.0,,Australia,,6100000.0,youtube,australia,False,2024,,
4,HowToBasic @UCR4s1DE9J4DHzZYXMltSMAg,17100000.0,0.7,Australia,,5100000.0,youtube,australia,False,2024,,
5,How Ridiculous @UC5f5IV0Bf79YLp_p9nfInRA,12700000.0,5.8,Australia,,3800000.0,youtube,australia,False,2024,,
6,Primitive Technology @UCAL3JXZSzSm8AlZyD3nQdBA,10700000.0,,Australia,,3200000.0,youtube,australia,False,2024,,
7,JoshDub @UC9DWJ33CMvIseLlyx6hyRnA,9700000.0,0.5,Australia,,2900000.0,youtube,australia,False,2024,,
8,Muselk @UCd534c_ehOvrLVL2v7Nl61w,9300000.0,,Australia,,2800000.0,youtube,australia,False,2024,,
9,cricket.com.au @UCkBY0aHJP9BwjZLDYxAQrKg,8600000.0,,Australia,,2600000.0,youtube,australia,False,2024,,
10,KjraGaming @UCP-CAwOG0AiieZNFdONsN5Q,8600000.0,,Australia,,2600000.0,youtube,australia,False,2024,,
11,Hillsong Worship @UC4q12NoPNySbVqwpw4iO5Vg,8300000.000000001,,Australia,,2500000.0,youtube,australia,False,2024,,
12,Fresh @UCqsBym4OHrzSp0Nq1eZoMIA,7800000.0,0.3,Australia,,2300000.0,youtube,australia,False,2024,,
13,The Rybka Twins @UC-TFz4MD1ZzcY6NuZAP3Ndw,7600000.0,0.1,Australia,Fitness Fashion Beauty,2300000.0,youtube,australia,False,2024,Sports,MAPPED
14,XtremeGamez @UCLe_kjXzRP_0opzw-BXiQxw,7200000.0,5.4,Australia,,2200000.0,youtube,australia,False,2024,,
15,Hebbars Kitchen @UCPPIsrNlEkaFQBk-4uNkOaw,7000000.0,,Australia,,2100000.0,youtube,australia,False,2024,,
16,RackaRacka @UCz_cDc_2arKIb6SlJoqFT0w,6700000.0,0.7,Australia,,2000000.0,youtube,australia,False,2024,,
17,Eystreem @UC-g_O9HWb5B0rVDG1hLd5Hw,6300000.0,,Australia,Video Gaming,1900000.0,youtube,australia,False,2024,Tech&Gaming,MAPPED
18,SMG4 @smg4,6100000.0,1.1,Australia,,1800000.0,youtube,australia,False,2024,,
19,The Norris Nuts @UCYd0us2OtW4d4-1cfpT2ktw,6000000.0,0.8,Australia,,1800000.0,youtube,australia,False,2024,,
20,Mully @UC42vK81HwLY-udUEJYz7efg,5700000.0,,Australia,,1700000.0,youtube,australia,False,2024,,
21,Planet Dolan @UCgJjd8J5moTQSwnCIx4WSIw,5600000.0,,Australia,,1700000.0,youtube,australia,False,2024,,
22,The Mik Maks @UC66KzYUMWmN4PralND7cgAA,5500000.0,,Australia,Music,1600000.0,youtube,australia,False,2024,Music,MAPPED
23,HighlightsNepal @UCrzyJYtjLOTfnUur8hsr7ow,5400000.0,,Australia,,1600000.0,youtube,australia,False,2024,,
24,mmmEnglish @UCrRiVfHqBIIvSgKmgnSY66g,5300000.0,,Australia,,1600000.0,youtube,australia,False,2024,,
25,Tones And I @UCQeiBlCcS4-XGwFjrvDn96w,5200000.0,,Australia,,1600000.0,youtube,australia,False,2024,,
26,Saksham magic @UCVxR8M2OeHf4BdKzzzpz83A,5000000.0,,Australia,,1500000.0,youtube,australia,False,2024,,
27,Prestige Clips @UCC-uu-OqgYEx52KYQ-nJLRw,4900000.0,,Australia,,1500000.0,youtube,australia,False,2024,,
28,How To Cook That @UCsP7Bpw36J666Fct5M8u-ZA,4900000.0,0.8,Australia,,1500000.0,youtube,australia,False,2024,,
29,Jalals @UCcf0WYfeIkecTLQ_GzkBu1w,4600000.0,,Australia,,1400000.0,youtube,australia,False,2024,,
30,Nadeem Sarwar @UC2kCC6CFwU3cZFJl9e_FJlQ,4500000.0,2.1,Australia,,1300000.0,youtube,australia,False,2024,,
31,WadZee @UCRlEFn0L2G_DktbyvN0AZ5A,4500000.0,4.2,Australia,,1300000.0,youtube,australia,False,2024,,
32,ColdFusion @UC4QZ_LsYcvcq7qOsOhpAX4A,4000000.0,,Australia,,1200000.0,youtube,australia,False,2024,,
33,LazarLazar @UCZ3AmknSJtbzXCeO5a4peoQ,3900000.0,3.4,Australia,,1200000.0,youtube,australia,False,2024,,
34,TwoSetViolin @UCAzKFALPuF_EPe-AEI0WFFw,3800000.0,0.7,Australia,,1200000.0,youtube,australia,False,2024,,
35,VuJae @UCstrYVM0-fSq3i2JJvaubBg,3700000.0,1.5,Australia,,1100000.0,youtube,australia,False,2024,,
36,LT.LICKME @UCfDuOF_6Mk-S1UJZoky15Og,3700000.0,1.9,Australia,Celebrity,1100000.0,youtube,australia,False,2024,Entertainment,MAPPED
37,Mighty Car Mods @UCgJRL30YS6XFxq9Ga8W2J3A,3700000.0,0.5,Australia,,1100000.0,youtube,australia,False,2024,,
38,Tina Yong @UC0ng0jJflTuJBBH5DGvr1Pw,3600000.0,,Australia,,1100000.0,youtube,australia,False,2024,,
39,Internet Historian @UCR1D15p_vdP3HkrH8wgjQRw,3600000.0,14.2,Australia,,1100000.0,youtube,australia,False,2024,,
40,YBS Youngbloods @UCSnwORddxZG1SyB8lSxWQGg,3500000.0,0.5,Australia,,1100000.0,youtube,australia,False,2024,,
41,Wolfychu @UC_nEHeUEVNY5ZYLRWg8KoZQ,3400000.0,,Australia,,1000000.0,youtube,australia,False,2024,,
42,Lauren Curtis @UCXbQzhqSvgVZTUyi1T4AU3w,3400000.0,,Australia,Beauty,1000000.0,youtube,australia,False,2024,Beauty&Fashion,MAPPED
43,I did a thing @UCJLZe_NoiG0hT7QCX_9vmqw,3300000.0,4.8,Australia,,999000.0,youtube,australia,False,2024,,
44,Mastersaint @UCR0It5-1cif1cMKBUtUW8pg,3300000.0,5.6,Australia,,975000.0,youtube,australia,False,2024,,
45,superwog1 @UCQr98dS-5M_1xILTm4HAk-A,3200000.0,2.9,Australia,Celebrity,954000.0,youtube,australia,False,2024,Entertainment,MAPPED
46,x2Twins @UCTgQTM6B97Tk5FPNOWZMB1Q,3100000.0,0.5,Australia,,936000.0,youtube,australia,False,2024,,
47,EmKay @UCzEnk4KWFlSj_PjXLz0-GMA,3100000.0,,Australia,,927000.0,youtube,australia,False,2024,,
48,Programming with Mosh @UCWv7vMbMWH4-V0ZXdmDpPBA,3100000.0,,Australia,,924000.0,youtube,australia,False,2024,,
49,Sheet Music Boss @UCzTR9iSH-TFC4-ocDS_ll4A,3000000.0,,Australia,,891000.0,youtube,australia,False,2024,,
50,Sky News Australia @UCO0akufu9MOzyz3nvGIXAAw,3000000.0,,Australia,,888000.0,youtube,australia,False,2024,,
51,Tommy Craze @UC_EuakPoEj8zS-vFHrDmkwg,2900000.0,0.6,Australia,Music,882000.0,youtube,australia,False,2024,Music,MAPPED
52,Slapped Ham @UCw4ccFtBN7dhQBcHmE0qylg,2900000.0,,Australia,,873000.0,youtube,australia,False,2024,,
53,Jason Stephenson - Sleep Meditation Music @UCqPYhcdFgrlUXiGmPRAej1w,2900000.0,,Australia,,867000.0,youtube,australia,False,2024,,
