rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Red Bull @UCblfuW_4rakIf2h6aqANefA,10500000.0,,Austria,Sports Video Gaming,3200000.0,youtube,austria,False,2024,Sports,MAPPED
2,Talin tube family - عائلة تالين تيوب @UC7P48PVdffKY8ym4_QbcArg,4600000.0,,Austria,,1400000.0,youtube,austria,False,2024,,
3,Кулинарим с Таней @UCW0vtJy0fmLBO8TNIOUAoDg,2200000.0,0.7,Austria,,669000.0,youtube,austria,False,2024,,
4,KsFreakWhatElse @UCV9OLReC5bMvuiCFGBdK7Mg,2100000.0,0.3,Austria,,630000.0,youtube,austria,False,2024,,
5,Leila Gharani @UCJtUOos_MwJa_Ewii-R3cJA,1900000.0,0.3,Austria,Business and Finance,573000.0,youtube,austria,False,2024,Knowledge&Info,MAPPED
6,Nykk Deetronic @UC_QpWfHruASmuR9E8KMXtWw,1900000.0,0.1,Austria,,561000.0,youtube,austria,False,2024,,
7,RADAL @UCT1mF-u0Lcf7bYuUWTvDcpw,1900000.0,2.8,Austria,,558000.0,youtube,austria,False,2024,,
8,SOUNTEC @UCtwSCDjbQKShJU0kIzBgTdA,1800000.0,0.1,Austria,,543000.0,youtube,austria,False,2024,,
9,Lingualizer @UCpeSv0N9tbe2V5fLMVrlodA,1800000.0,,Austria,,540000.0,youtube,austria,False,2024,,
10,IMPERIA @UCaWaxupwQ7Pssm94Xcxi8LA,1800000.0,,Austria,,525000.0,youtube,austria,False,2024,,
11,Dare to do. Motivation @UC5VP2Yr-U7PHyDKHQQfkH9w,1700000.0,,Austria,,522000.0,youtube,austria,False,2024,,
12,boty phen @UC601ZH0CojHYMHy-Ws1xlMA,1700000.0,0.1,Austria,,513000.0,youtube,austria,False,2024,,
13,Richtiger Kevin @UCo6utge9KpJI61gXe7ngUJQ,1700000.0,1.0,Austria,,510000.0,youtube,austria,False,2024,,
14,TOPS DOPS @UCOv3MFPLgGLfZDqAmcqVj9Q,1700000.0,,Austria,,495000.0,youtube,austria,False,2024,,
15,Red Bull Bike @UCXqlds5f7B2OOs9vQuevl4A,1600000.0,0.1,Austria,,492000.0,youtube,austria,False,2024,,
16,Chaosflo44 @UCQM0bS4_04-Y4JuYrgmnpZQ,1400000.0,0.2,Austria,,432000.0,youtube,austria,False,2024,,
