rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Chris Lobanzo @chrislobanzo,6500000.0,,Belgien,Unterhaltung und Musik Business und Finanzen,2000000.0,tiktok,belgium,False,2024,Knowledge&Info,MAPPED,Entertainment and music business and finance
2,The Window Master @timothytancre,5800000.0,,Belgien,Fotografie,1700000.0,tiktok,belgium,False,2024,UNMAPPED,UNMAPPED,Photo
3,Charlene @charlenevanwerveke,4200000.0,,Belgien,Romantik und Hochzeit,1300000.0,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Romance and wedding
4,Stien Edlund @stienedlund,4099999.9999999995,,Belgien,Mode und Accessoires,1200000.0,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
5,aaron vancoppenolle @aaronthepoolshark,3300000.0,,Belgien,Unterhaltung und Musik,990000.0,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
6,SAB ♑️ @imallpanicnodisco,2200000.0,,Belgien,Unterhaltung und Musik,660000.0,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
7,Dylhan Fat @dylhanfat,1900000.0,,Belgien,Unterhaltung und Musik,570000.0,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
8,RSC Anderlecht @rscanderlecht,1100000.0,,Belgien,Sport,330000.0,tiktok,belgium,False,2024,Sports,MAPPED,Sport
9,Nathan Nuyts @nathannuyts,1100000.0,,Belgien,,330000.0,tiktok,belgium,False,2024,,,
10,𝕔𝕒𝕝𝕚𝕤𝕦𝕣𝕥𝕚𝕜𝕥𝕠𝕜 @calisurtiktok,1100000.0,0.1,Belgien,DIY und Lebenshacks Unterhaltung und Musik,330000.0,tiktok,belgium,False,2024,Music,MAPPED,DIY and life hacks entertainment and music
11,PressTube @presstube,979900.0,,Belgien,,294000.0,tiktok,belgium,False,2024,,,
12,Gracekitoko @gracekitoko.rdc,863100.0,,Belgien,,258899.99999999997,tiktok,belgium,False,2024,,,
13,Jeanfils @jeanfilslevrai,859100.0,,Belgien,,257700.0,tiktok,belgium,False,2024,,,
