rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Tomorrowland @tomorrowland,10700000.0,,Belgium,,3200000.0,youtube,belgium,False,2024,,
2,PressTube @UCZ3vyIYUy5yK0i-RJwpdoSg,3000000.0,,Belgium,,897000.0,youtube,belgium,False,2024,,
3,Cinecom.net @UCpLfM1_MIcIQ3jweRT19LVw,2500000.0,,Belgium,,750000.0,youtube,belgium,False,2024,,
4,Jeanfils @UCGjUTQ-YV71V7T6WfdmZDiw,2200000.0,0.6,Belgium,,666000.0,youtube,belgium,False,2024,,
5,gaelle garcia diaz @UCI0mw0nNF16fl0hQUD985VA,2000000.0,,Belgium,,588000.0,youtube,belgium,False,2024,,
6,The Voice Kids Belgium @UC4KmVCdb3BAxZ5tZAbc3NrQ,1800000.0,,Belgium,,531000.0,youtube,belgium,False,2024,,
7,Celine & Michiel @celinemichiel,1700000.0,0.2,Belgium,,504000.0,youtube,belgium,False,2024,,
8,Angèle @UCiP2tOO8zRo47GFd5rc8rkA,1600000.0,2.2,Belgium,,471000.0,youtube,belgium,False,2024,,
9,BelgoTürk @UCZvSNBeCMFMeOh27m1ywXZw,1500000.0,,Belgium,,450000.0,youtube,belgium,False,2024,,
10,LufyMakes YouUp @UC5N5jACt1Si7YPdy-_2AUag,1500000.0,0.3,Belgium,,441000.0,youtube,belgium,False,2024,,
11,OussiFooty @UC-5zFN-bs6fB_MBRBtAlg4Q,1300000.0,,Belgium,,396000.0,youtube,belgium,False,2024,,
12,BeamNG-Destruction @UC24cHExdzjNKktUUtrQnmYw,1300000.0,,Belgium,,381000.0,youtube,belgium,False,2024,,
13,Velosofy @UC93pgSQPa-JOihL5I_pvkAA,1100000.0,,Belgium,,321000.0,youtube,belgium,False,2024,,
14,Lost Frequencies @UCdKS_mDSLUkS6vDK6u1mjOg,1100000.0,0.4,Belgium,,318000.0,youtube,belgium,False,2024,,
15,Esoterics for You: Horoscopes. Rituals. Tips. @UC750ojNf94wjQoCKd8A1OSA,1100000.0,,Belgium,,318000.0,youtube,belgium,False,2024,,
16,Dutchtuber2 @UCkhBnxfBU4r47c6CtDNWIfg,1100000.0,,Belgium,,315000.0,youtube,belgium,False,2024,,
17,FRANCISCO PINALES VIDA DE ORACIÓN @UCpsqdFdnWU7LCWbYASFnOzw,1000000.0,0.4,Belgium,,309000.0,youtube,belgium,False,2024,,
18,COMPASSION TV @egliselacompassion,926000.0,0.1,Belgium,,277800.0,youtube,belgium,False,2024,,
19,WaZz @UCfzXKxo0egNwE76Eb8pldTA,877000.0,1.5,Belgium,,263100.0,youtube,belgium,False,2024,,
20,قناة طبخ من بغداد @UCFjT6urfenOJO2Qv_8DnpnQ,849000.0,0.2,Belgium,,254700.0,youtube,belgium,False,2024,,
21,Michael Lim @UC5cEEpOjY2XVzGylMhjEnoQ,844000.0,,Belgium,,253200.0,youtube,belgium,False,2024,,
22,Geo History @UC2Cl2g2xFTZoAEldxYVzQFg,838000.0,,Belgium,,251400.0,youtube,belgium,False,2024,,
