rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Anabel Angus @anabelangus,1000000.0,1.3,Bolivia,Journalists,304600.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
2,Andrea Villarroel @soyandreatv,931000.0,1.22,Bolivia,Entertainment and Music Fashion and Accessories Arts and Crafts Marketing and Advertising,279300.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
3,𝒢𝒶𝒷𝓇𝒾𝑒𝓁𝒶 𝒵𝑒𝑔𝒶𝓇𝓇𝒶 @gabyzegarra_gz,879100.0,1.09,Bolivia,Beauty and Self Care Marketing and Advertising Actors Modeling,263700.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
4,Albertina sacaca @albertinasacaca,764100.0,2.14,Bolivia,,229200.0,instagram,bolivia,False,2024,,
5,Um a Uno @um.a.uno,630200.0,0.86,Bolivia,Travel,189000.0,instagram,bolivia,False,2024,Lifestyle,MAPPED
6,Andres Salvatierra J. @andres.salvatierraj,582900.0,4.6,Bolivia,,174900.0,instagram,bolivia,False,2024,,
7,Fiorella Zamora @fiorellazoe_zamora,503700.0,0.33,Bolivia,,151100.0,instagram,bolivia,False,2024,,
8,Grisel Quiroga @griselquiroga,482900.0,0.15,Bolivia,Fashion and Accessories Actors,144900.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
9,L A C L A U 🍍 @laclauoficial,467900.0,0.98,Bolivia,,140400.0,instagram,bolivia,False,2024,,
10,𝙔𝙐𝙑𝙄𝙉𝙆𝘼 𝘼Ñ𝙀𝙕 ✨ @yuvinkaanez96,426600.0,2.12,Bolivia,Beauty and Self Care Fashion and Accessories Actors Modeling,128000.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
11,Gabo Chavarría @gabocharria,425500.0,0.67,Bolivia,Celebrity,127700.0,instagram,bolivia,False,2024,Entertainment,MAPPED
12,Eliana Gonzalez @elugonzalez,368000.0,0.41,Bolivia,,110400.0,instagram,bolivia,False,2024,,
13,Elias Ayaviri @eliasayavirioficial,325300.0,0.35,Bolivia,Entertainment and Music Music Actors,97600.0,instagram,bolivia,False,2024,Music,MAPPED
14,Fernando Eid @fernandoeidok,318800.0,1.61,Bolivia,Entertainment and Music Television Actors Journalists,95600.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
15,Bonny Lovy @bonnylovyoficial,312900.0,0.4,Bolivia,Entertainment and Music Actors Music Architecture,93900.0,instagram,bolivia,False,2024,Music,MAPPED
16,Evo Morales Ayma @evomoralesayma,293300.0,0.57,Bolivia,,88000.0,instagram,bolivia,False,2024,,
17,Marco Antelo (YeYo) @yeyoantelo,293200.0,0.6,Bolivia,Actors,88000.0,instagram,bolivia,False,2024,Entertainment,MAPPED
18,Nɪᴄᴏʟ Sᴀʟᴄᴇ “𝕆𝕤𝕚𝕥𝕒”🐻 @nicol_salce,290100.0,0.27,Bolivia,Romance and Wedding Actors Modeling,87000.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
19,Isa Vargas @iisamarvg,287800.0,2.26,Bolivia,Actors Journalists,86300.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
20,Ximena Zalzer @ximzal,287100.0,1.61,Bolivia,Entertainment and Music Automotive Actors Modeling,86100.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
21,Ronico @ronicocs,275800.0,0.34,Bolivia,Entertainment and Music Celebrity Marketing and Advertising Actors,82700.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
22,Red Uno de Bolivia @redunotv,272000.0,0.3,Bolivia,,81600.0,instagram,bolivia,False,2024,,
23,hbl_Fit_leon @hbl_fit_leon,267100.0,0.27,Bolivia,Fitness and Health Marketing and Advertising Coaching Gym,80100.0,instagram,bolivia,False,2024,Sports,MAPPED
24,MISS BOLIVIA @missboliviamusica,262600.0,0.5,Bolivia,Entertainment and Music Actors,78800.0,instagram,bolivia,False,2024,Music,MAPPED
25,GRACIELA VNOVASKI @gracinovaski,260600.00000000003,1.9,Bolivia,Television Actors Virtualization Journalists,78200.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
26,Alejandro Fabio Pinedo Terrazas @alepinedotv,255600.0,0.1,Bolivia,Celebrity Video Gaming,76700.0,instagram,bolivia,False,2024,Tech&Gaming,MAPPED
27,Angelica Merida Duran @angelicamerida,251500.0,0.27,Bolivia,Entertainment and Music Romance and Wedding Marketing and Advertising Actors,75500.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
28,Calle 7 Bolivia @callesietebolivia,232100.0,0.3,Bolivia,Entertainment and Music Games Marketing and Advertising Actors,69600.0,instagram,bolivia,False,2024,Knowledge&Info,MAPPED
29,Melissa Gate @meligate.tv,231200.0,3.8,Bolivia,,69400.0,instagram,bolivia,False,2024,,
30,Lenka Nemer @lenkanemeroficial,230900.0,0.32,Bolivia,Fashion Beauty Travel Fashion and Accessories,69300.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
31,Ronald Arnez￼ @ronaldarnez,224800.0,0.14,Bolivia,Acting and Drama Celebrity Actors,67400.0,instagram,bolivia,False,2024,Entertainment,MAPPED
32,𝐸𝑟𝑖𝑘𝑎 𝑆𝑒𝑐𝑎𝑑𝑒𝑠🦋 @erikasecades,204600.0,1.14,Bolivia,Beauty and Self Care Fashion and Accessories Actors Virtualization,61400.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
33,VALENTINA @valeentina_98,204400.0,1.06,Bolivia,,61300.0,instagram,bolivia,False,2024,,
34,Stephanie Herela @stephanieherela,201400.0,0.39,Bolivia,Celebrity Actors Modeling,60400.0,instagram,bolivia,False,2024,Beauty&Fashion,MAPPED
35,Cinéfilo Boliviano @cinefiloboliviano,199800.0,0.25,Bolivia,Entertainment and Music,59900.0,instagram,bolivia,False,2024,Music,MAPPED
36,Carlos Rocabado @carlosrocabadook,199400.0,0.2,Bolivia,Entertainment and Music Acting and Drama Celebrity Actors,59800.0,instagram,bolivia,False,2024,Music,MAPPED
