rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Neymar Jr @neymarjr,220100000.0,,برزیل,ورزش فوتبال ورزشکار,66000000.0,instagram,brazil,False,2024,Sports,MAPPED,Sports athlete football
2,Ronaldo de Assis Moreira @ronaldinho,75800000.0,0.35,برزیل,ورزش اتومبیل فوتبال,22700000.0,instagram,brazil,False,2024,Sports,MAPPED,Football car sports
3,Shawn Mendes @shawnmendes,73000000.0,0.03,برزیل,موسیقی خواننده ترانه سرا موسیقی دان,21900000.0,instagram,brazil,False,2024,Music,MAPPED,Music singer songwriter musician
4,Marcelo Vieira @marcelotwelve,67600000.0,0.49,برزیل,ورزش فوتبال,20300000.0,instagram,brazil,False,2024,Sports,MAPPED,Football sport
5,Anitta 🎤 @anitta,65099999.99999999,0.6,برزیل,هنر سرگرمی و موسیقی موسیقی خواننده,19500000.0,instagram,brazil,False,2024,Music,MAPPED,Entertainment art and singer's music
6,Whindersson Nunes @whinderssonnunes,59700000.0,1.02,برزیل,سرگرمی و موسیقی بسیار خنده دار مشهور کمدی,17900000.0,instagram,brazil,False,2024,Music,MAPPED,Fun and very funny music famous comedy
7,Tata Werneck @tatawerneck,57200000.0,0.02,برزیل,سرگرمی و موسیقی بازیگران هنرمند,17200000.0,instagram,brazil,False,2024,Music,MAPPED,Entertainment and music of artist actors
8,Larissa Manoela @larissamanoela,54300000.0,0.21,برزیل,هنر بازیگری و درام مد و لوازم جانبی سرگرمی و موسیقی,16300000.0,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Acting art and fashion drama and entertainment and music accessories
9,+A @maisa,48400000.0,0.21,برزیل,بازیگری و درام موسیقی خواننده,14500000.0,instagram,brazil,False,2024,Music,MAPPED,Acting and music drama singer
10,Bruna Marquezine @brunamarquezine,45200000.0,0.04,برزیل,هنر زیبایی و مراقبت از خود مد و لوازم جانبی هنرهای تجربی,13600000.0,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Beauty art and self care fashion and accessories experimental arts
11,Gusttavo Lima @gusttavolima,44600000.0,0.15,برزیل,سرگرمی و موسیقی عشق و ازدواج خواننده,13400000.0,instagram,brazil,False,2024,Music,MAPPED,Entertainment and music of love and marriage singer
12,Vinicius Jr. ⚡️🇧🇷 @vinijr,43500000.0,5.32,برزیل,ورزش فوتبال,13100000.0,instagram,brazil,False,2024,Sports,MAPPED,Football sport
13,Marina Ruy Barbosa @marinaruybarbosa,42300000.0,0.09,برزیل,بازیگری و درام مد و لوازم جانبی مشهور بازیگران,12700000.0,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Acting and drama fashion and accessories of famous actors
