rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,beca @beca,29200000.0,1.0,Brazil,Travel,8800000.0,tiktok,brazil,False,2024,Lifestyle,MAPPED
2,+a @maisa,19700000.0,0.6,Brazil,Arts and Crafts,5900000.0,tiktok,brazil,False,2024,Lifestyle,MAPPED
3,Ingrid Ohara @ingridohara,17100000.0,0.7,Brazil,Entertainment and Music,5100000.0,tiktok,brazil,False,2024,Music,MAPPED
4,Luísa Sonza @luisasonza,16300000.0,0.7,Brazil,Music,4900000.0,tiktok,brazil,False,2024,Music,MAPPED
5,Felipe Neto @felipeneto,15500000.0,,Brazil,,4700000.0,tiktok,brazil,False,2024,,
6,Emilly Vick @emillyvickof,15300000.0,,Brazil,Fashion and Accessories Beauty and Self Care,4600000.0,tiktok,brazil,False,2024,Beauty&Fashion,MAPPED
7,LK @lkzinhu,14500000.0,,Brazil,Arts and Crafts,4400000.0,tiktok,brazil,False,2024,Lifestyle,MAPPED
8,nilson ☻ @nilsonneto,13300000.0,,Brazil,Entertainment and Music,4000000.0,tiktok,brazil,False,2024,Music,MAPPED
9,marcelotwelve @marcelotwelve,11700000.0,,Brazil,,3500000.0,tiktok,brazil,False,2024,,
10,Isaías @isaias,11200000.0,,Brazil,Entertainment and Music Funny Acting and Drama,3400000.0,tiktok,brazil,False,2024,Music,MAPPED
11,Netflix Brasil @netflixbrasil,10200000.0,,Brazil,Entertainment and Music,3100000.0,tiktok,brazil,False,2024,Music,MAPPED
12,Celso Portiolli @portiolli,9800000.0,,Brazil,,2900000.0,tiktok,brazil,False,2024,,
13,Gabriela Moura @gabimfmoura,9400000.0,3.6,Brazil,,2800000.0,tiktok,brazil,False,2024,,
14,TikTok Brasil @tiktokbrasil,9300000.0,,Brazil,Entertainment and Music,2800000.0,tiktok,brazil,False,2024,Music,MAPPED
15,Ananda @ananda,9200000.0,,Brazil,Entertainment and Music,2800000.0,tiktok,brazil,False,2024,Music,MAPPED
16,Raissa Chaddad @raissachaddad,8900000.0,,Brazil,Acting and Drama,2700000.0,tiktok,brazil,False,2024,Entertainment,MAPPED
17,Victtória Medeiros @victtoriamedeiros,8800000.0,2.7,Brazil,,2600000.0,tiktok,brazil,False,2024,,
18,Simaria @simaria,8700000.0,0.1,Brazil,,2600000.0,tiktok,brazil,False,2024,,
19,lisa @lisabarcelox,8500000.0,,Brazil,,2600000.0,tiktok,brazil,False,2024,,
20,Jeipy @j3ipy_,8100000.0,0.1,Brazil,Education Entertainment and Music,2400000.0,tiktok,brazil,False,2024,Knowledge&Info,MAPPED
21,João Ferdnan @joaoferdnan,7700000.0,0.1,Brazil,Entertainment and Music,2300000.0,tiktok,brazil,False,2024,Music,MAPPED
22,Jojo Todynho @jojotodynho,7500000.0,,Brazil,,2300000.0,tiktok,brazil,False,2024,,
23,Humorista Talokudo @talokudo,7200000.0,,Brazil,Funny,2200000.0,tiktok,brazil,False,2024,Entertainment,MAPPED
24,Kau @kauanahofem,7100000.0,,Brazil,,2100000.0,tiktok,brazil,False,2024,,
25,Thiago Ventura @othiagoventura,6900000.0,,Brazil,Entertainment and Music Funny Celebrity,2100000.0,tiktok,brazil,False,2024,Music,MAPPED
26,Mateus Pain @mateuspain,6800000.0,0.3,Brazil,Entertainment and Music,2000000.0,tiktok,brazil,False,2024,Music,MAPPED
27,yaszou @yaszou,6700000.0,,Brazil,Fashion and Accessories,2000000.0,tiktok,brazil,False,2024,Beauty&Fashion,MAPPED
28,LOUD Mii @loud_mi,6500000.0,,Brazil,Entertainment and Music,2000000.0,tiktok,brazil,False,2024,Music,MAPPED
29,Juliana Paiva @juuliana_paiva,6400000.0,1.1,Brazil,Acting and Drama Celebrity,1900000.0,tiktok,brazil,False,2024,Entertainment,MAPPED
30,taby @tabyoriginal,5800000.0,,Brazil,Fashion and Accessories,1700000.0,tiktok,brazil,False,2024,Beauty&Fashion,MAPPED
31,Aninha Pereira @aninha,5700000.0,,Brazil,Arts and Crafts,1700000.0,tiktok,brazil,False,2024,Lifestyle,MAPPED
32,Ramana Borba @ramanaborba,5600000.0,,Brazil,,1700000.0,tiktok,brazil,False,2024,,
33,Júlio Cocielo @cocielo,5400000.0,0.1,Brazil,Entertainment and Music,1600000.0,tiktok,brazil,False,2024,Music,MAPPED
34,Tami @tamiriarodrigues,5200000.0,,Brazil,Fitness and Health,1600000.0,tiktok,brazil,False,2024,Sports,MAPPED
35,Amanda Araújo @_amanndaraujo,5100000.0,1.6,Brazil,Entertainment and Music,1500000.0,tiktok,brazil,False,2024,Music,MAPPED
36,Edivando Junior @ediqueixinho,5100000.0,2.4,Brazil,Entertainment and Music,1500000.0,tiktok,brazil,False,2024,Music,MAPPED
37,Carol Chamberlain @carolchamberlain,5100000.0,,Brazil,Acting and Drama,1500000.0,tiktok,brazil,False,2024,Entertainment,MAPPED
38,Daniele Lopes @danielelopes.s,5000000.0,,Brazil,,1500000.0,tiktok,brazil,False,2024,,
39,Ana Julia Mallmann ✨ @ana_mallmann_,5000000.0,,Brazil,,1500000.0,tiktok,brazil,False,2024,,
