rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66300000.0,,Brazil,,19900000.0,youtube,brazil,False,2024,,
2,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44400000.0,,Brazil,,13300000.0,youtube,brazil,False,2024,,
3,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43000000.0,,Brazil,,12900000.0,youtube,brazil,False,2024,,
4,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38600000.0,,Brazil,,11600000.0,youtube,brazil,False,2024,,
5,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33800000.0,0.1,Brazil,,10100000.0,youtube,brazil,False,2024,,
6,rezendeevil @UCbTVTephX30ZhQF5zwFppBg,31500000.0,,Brazil,,9500000.0,youtube,brazil,False,2024,,
7,Marília Mendonça @UCwfEOn0O1DWcyTgzVVu28ig,25500000.0,,Brazil,,7700000.0,youtube,brazil,False,2024,,
8,Renato Garcia @UChMJkHCD2wdvSO7CMOuLR-w,25200000.0,0.4,Brazil,,7600000.0,youtube,brazil,False,2024,,
9,Enaldinho @theenaldinho,22000000.0,0.1,Brazil,,6600000.0,youtube,brazil,False,2024,,
10,Canal Canalha @UCPHXtOVmjvbP9OJihsd7gCg,20700000.0,,Brazil,,6200000.0,youtube,brazil,False,2024,,
11,Totoy kids - Português @UCy7whoHQXzhYxp9AQmrPFVw,19900000.0,,Brazil,,6000000.0,youtube,brazil,False,2024,,
12,Gusttavo Lima Oficial @UCXooz9whNJZBRTHi9AqdjPw,19300000.0,,Brazil,,5800000.0,youtube,brazil,False,2024,,
13,Robin Hood Gamer @UCYtaoJSk9iIrFxx8eZB15ag,19200000.0,,Brazil,,5800000.0,youtube,brazil,False,2024,,
14,Dan-Sa / Daniel Saboya @UCEUf_uUDUfJJ3XfgwOxm-0A,18000000.0,,Brazil,,5400000.0,youtube,brazil,False,2024,,
15,Masha e o Urso @UCJKBSfD5JSUxGhriFeoPCCg,17400000.0,,Brazil,,5200000.0,youtube,brazil,False,2024,,
16,DUDU e CAROL @UC371icpvZj2oQaocL0i9L-g,17100000.0,0.5,Brazil,,5100000.0,youtube,brazil,False,2024,,
17,Rafa & Luiz @UC6paX0kLA8D81aYogceMufw,16600000.000000002,0.1,Brazil,,5000000.0,youtube,brazil,False,2024,,
18,Canal IN @UCIR9VKPE70KJ4DX2zCjHObw,16100000.000000002,,Brazil,,4800000.0,youtube,brazil,False,2024,,
19,Henrique e Juliano @UCfLTxnQboSLcoSakgONmukQ,15300000.0,,Brazil,,4600000.0,youtube,brazil,False,2024,,
20,Gato Galactico | GALÁXIA @UCbt4SegZBQLeXMTMvnrfZtw,15300000.0,,Brazil,,4600000.0,youtube,brazil,False,2024,,
21,Zé Neto e Cristiano @UCRRu9OXVYd5clj2Bs29gUVQ,14700000.0,,Brazil,,4400000.0,youtube,brazil,False,2024,,
22,MK MUSIC @UCbVwJCxsVbmaP1PFmbGQDeQ,14600000.0,,Brazil,,4400000.0,youtube,brazil,False,2024,,
23,Jorge & Mateus Oficial @UCL64gn1KZ1C-u87BGQv3b6w,14600000.0,0.2,Brazil,,4400000.0,youtube,brazil,False,2024,,
24,IDEIAS INCRÍVEIS @UCcQeJmGXpa_t03Zjrl8Aq4g,14600000.0,,Brazil,,4400000.0,youtube,brazil,False,2024,,
25,Canal Nostalgia @UCH2VZQBLFTOp6I_qgnBJCuQ,14400000.0,0.2,Brazil,,4300000.0,youtube,brazil,False,2024,,
26,Camila Loures @UCvuJTWl_peL49CUfF2EAbyg,14200000.0,,Brazil,,4300000.0,youtube,brazil,False,2024,,
27,O Canal do Joãozinho - Little Angel Português @UCAdpXDXkrrYQXFtAbJixRUg,14200000.0,,Brazil,,4300000.0,youtube,brazil,False,2024,,
28,Invento na Hora @UCR3vcUrhFUdzagng58ueI2w,14100000.0,0.8,Brazil,,4200000.0,youtube,brazil,False,2024,,
29,Juliana Baltar @UCqDauP_ke8Lwt8Hg3Xv-8Iw,14000000.0,,Brazil,,4200000.0,youtube,brazil,False,2024,,
30,AM3NlC @UCrGnb5RdHA9M6WGmBGYo4ZQ,13900000.0,0.1,Brazil,,4200000.0,youtube,brazil,False,2024,,
31,MAIKI021 @UCXhDFaOPG2zhiYm9eXuMKkA,13700000.0,,Brazil,,4099999.9999999995,youtube,brazil,False,2024,,
