rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Justin Bieber @justinbieber,293000000.0,0.37,Canada,Entertainment and Music Music Singer Musician,87900000.0,instagram,canada,False,2024,Music,MAPPED
2,Ryan Reynolds @vancityreynolds,51400000.0,1.82,Canada,Actors Public Figure,15400000.0,instagram,canada,False,2024,Entertainment,MAPPED
3,Nora Fatehi @norafatehi,46300000.0,0.41,Canada,Acting and Drama Entertainment and Music Celebrity Music,13900000.0,instagram,canada,False,2024,Music,MAPPED
4,Chris Bumstead @cbum,23400000.0,3.82,Canada,Fitness and Health Training Coaching,7000000.0,instagram,canada,False,2024,Sports,MAPPED
5,Finn Wolfhard @finnwolfhardofficial,23200000.0,2.38,Canada,Entertainment and Music Music Singer Actors,7000000.0,instagram,canada,False,2024,Music,MAPPED
6,Lilly Singh @lilly,14000000.0,0.34,Canada,Entertainment and Music Modeling Music Humor,4200000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
7,Avril Lavigne @avrillavigne,12800000.0,1.59,Canada,Entertainment and Music Music Songwriting Singer,3800000.0,instagram,canada,False,2024,Music,MAPPED
8,♔Winnie Harlow♔ @winnieharlow,10200000.0,0.92,Canada,Beauty and Self Care Fashion and Accessories Parenting Modeling,3100000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
9,Vanessa Morgan @vanessamorgan,8900000.0,4.94,Canada,Entertainment and Music Romance and Wedding Singer Actors,2700000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
10,HENRY LAU 刘宪华 헨리 @henryl89,8600000.0,1.07,Canada,Entertainment and Music Music Modeling,2600000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
11,Dr. Jordan B. Peterson @jordan.b.peterson,7900000.0,0.72,Canada,Education Psychology,2400000.0,instagram,canada,False,2024,Knowledge&Info,MAPPED
12,Paul Nicklen @paulnicklen,7300000.0,0.48,Canada,Nature Animals,2200000.0,instagram,canada,False,2024,Lifestyle,MAPPED
13,Céline Dion @celinedion,6300000.0,1.32,Canada,Entertainment and Music Lifestyle,1900000.0,instagram,canada,False,2024,Music,MAPPED
14,frankie @francescafarago,6200000.0,1.06,Canada,Fashion and Accessories Modeling,1900000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
15,Maitreyi Ramakrishnan @maitreyiramakrishnan,6100000.0,8.08,Canada,Entertainment and Music Celebrity,1800000.0,instagram,canada,False,2024,Music,MAPPED
16,Farah Dhukai @farahdhukai,6000000.0,9.82,Canada,Beauty Fashion,1800000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
17,Sandra Oh @iamsandraohinsta,5400000.0,3.31,Canada,Entertainment and Music,1600000.0,instagram,canada,False,2024,Music,MAPPED
18,Angela M 🌸 @angelamerita,5300000.0,0.5,Canada,,1600000.0,instagram,canada,False,2024,,
19,NAVID ZARDI @navidzardiofficial,5100000.0,1.04,Canada,Entertainment and Music Music,1500000.0,instagram,canada,False,2024,Music,MAPPED
20,Anna Cathcart @annacathcart,5100000.0,7.08,Canada,Art Modeling,1500000.0,instagram,canada,False,2024,Beauty&Fashion,MAPPED
21,BEST VACATIONS - Travel @bestvacations,5100000.0,0.19,Canada,Travel Nature & Outdoors Architecture,1500000.0,instagram,canada,False,2024,Lifestyle,MAPPED
22,Georges St-Pierre @georgesstpierre,4900000.0,0.18,Canada,Sports Mixed martial arts Athlete,1500000.0,instagram,canada,False,2024,Sports,MAPPED
23,ALESSIA CARA @alessiasmusic,4900000.0,0.6,Canada,Entertainment and Music Singer,1500000.0,instagram,canada,False,2024,Music,MAPPED
24,Josh Beauchamp @joshbeauchamp,4800000.0,2.9,Canada,Entertainment and Music Animation and Cosplay,1400000.0,instagram,canada,False,2024,Tech&Gaming,MAPPED
25,Nikki Benz @nikkibenz,4700000.0,0.3,Canada,Actors,1400000.0,instagram,canada,False,2024,Entertainment,MAPPED
26,daniel gillies @mr.danielgillies,4700000.0,5.27,Canada,Entertainment and Music Actors,1400000.0,instagram,canada,False,2024,Music,MAPPED
27,Khloë Terae 🇨🇦 @khloe,4500000.0,1.53,Canada,Travel Outdoor Activity Animals TV Host,1400000.0,instagram,canada,False,2024,Sports,MAPPED
