rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69700000.0,,Canada,,20900000.0,youtube,canada,False,2024,,
2,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37300000.0,,Canada,Travel,11200000.0,youtube,canada,False,2024,Lifestyle,MAPPED
3,The Weeknd @UC0WP5P-ufpRfjbNrmOWwLBQ,28700000.0,0.2,Canada,,8600000.0,youtube,canada,False,2024,,
4,WatchMojo.com @UCaWd5_7JhbQBe4dknZhsHJg,24700000.0,,Canada,,7400000.0,youtube,canada,False,2024,,
5,Linus Tech Tips @UCXuqSBlHAE6Xw-yeJA0Tunw,14900000.0,0.4,Canada,,4500000.0,youtube,canada,False,2024,,
6,AzzyLand @UCzeB_0FNcPIyUSjL_TL5lEw,13400000.0,,Canada,,4000000.0,youtube,canada,False,2024,,
7,Typical Gamer @UC2wKfjlioOCLP4xQMOWNcgg,13000000.0,,Canada,,3900000.0,youtube,canada,False,2024,,
8,Hacksmith Industries @UCjgpFI5dU-D1-kh9H1muoxQ,13000000.0,,Canada,,3900000.0,youtube,canada,False,2024,,
9,MrSuicideSheep @UC5nc_ZtjKW1htCVZVRxlQAQ,12800000.0,,Canada,,3800000.0,youtube,canada,False,2024,,
10,HZHtube Kids Fun @UCAgx4HcQIYn9lM0rhtIuH9w,12100000.0,,Canada,,3600000.0,youtube,canada,False,2024,,
11,"Baby Big Mouth Kids - Sing, Dance, Explore @UCWr4vlkj5xXQ4bSXNeTT2AA",10500000.0,,Canada,Music Travel,3200000.0,youtube,canada,False,2024,Music,MAPPED
12,SAS-ASMR @UCp4LfMtDfoa29kTlLnqQ5Mg,9400000.0,,Canada,,2800000.0,youtube,canada,False,2024,,
13,WatchMojo Español @UClgevvAYKcfuthTWppKT0IQ,8000000.0,,Canada,,2400000.0,youtube,canada,False,2024,,
14,MostAmazingTop10 @UCBINYCmwE29fBXCpUI8DgTA,7700000.0,,Canada,,2300000.0,youtube,canada,False,2024,,
15,Simply Nailogical @UCGCVyTWogzQ4D170BLy2Arw,7500000.0,,Canada,,2300000.0,youtube,canada,False,2024,,
16,Domics @UCn1XB-jvmd9fXMzhiA6IR0w,7400000.0,0.6,Canada,,2200000.0,youtube,canada,False,2024,,
17,Gloom @UC6IijBsVf2PlWo_uq6P9wQw,7400000.0,,Canada,,2200000.0,youtube,canada,False,2024,,
18,MadFit @UCpQ34afVgk8cRQBjSJ1xuJQ,7200000.0,,Canada,,2200000.0,youtube,canada,False,2024,,
19,Shroud @UCoz3Kpu5lv-ALhR4h9bDvcw,6800000.0,0.1,Canada,Video Gaming,2000000.0,youtube,canada,False,2024,Tech&Gaming,MAPPED
20,Chris Ramsay @UCrPUg54jUy1T_wII9jgdRbg,6700000.0,,Canada,,2000000.0,youtube,canada,False,2024,,
21,Pokimane @UChXKjLEzAB1K7EZQey7Fm1Q,6700000.0,,Canada,,2000000.0,youtube,canada,False,2024,,
22,Nick Eh 30 @UCt9nYeSz90lnOnaVFjxFJzw,6600000.0,0.5,Canada,,2000000.0,youtube,canada,False,2024,,
23,Ayo & Teo @UCB_Mdi3acqKLRR8zKFkqKoA,6400000.0,,Canada,,1900000.0,youtube,canada,False,2024,,
24,CelineDion @UC_yGU4qz9zAjEWLQxCg9NZQ,6300000.0,,Canada,,1900000.0,youtube,canada,False,2024,,
