rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Arturo Vidal @kingarturo23oficial,21000000.0,0.31,Chile,Sports Soccer Actors Journalists,6300000.0,instagram,chile,False,2024,Sports,MAPPED
2,Daniella Chavez @daniellachavezofficial,19200000.0,1.04,Chile,Fashion and Accessories Modeling,5800000.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
3,Sanchez Alexis @alexis_officia1,17200000.0,1.1,Chile,Sports Soccer,5200000.0,instagram,chile,False,2024,Sports,MAPPED
4,🇨🇱 Ｃｌａｕｄｉｏ Ｂｒａｖｏ @claudiobravo1,11400000.0,0.43,Chile,Actors Modeling,3400000.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
5,nova @strangehuman,5700000.0,12.69,Chile,Funny Actors,1700000.0,instagram,chile,False,2024,Entertainment,MAPPED
6,Paloma Mami @palomamami,4500000.0,5.76,Chile,Entertainment and Music Life and Society Modeling,1400000.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
7,mon laferte @monlaferte,4300000.0,4.03,Chile,Entertainment and Music Marketing and Advertising Actors Music,1300000.0,instagram,chile,False,2024,Knowledge&Info,MAPPED
8,Pancho Saavedra 🇨🇱🏳️‍🌈 @franciscosaavedr,4000000.0,0.13,Chile,Travel Entertainment and Music Actors Virtualization,1200000.0,instagram,chile,False,2024,Tech&Gaming,MAPPED
9,💥PUROWEBEOO💥 🇨🇱 @purowebeoo,3900000.0,0.66,Chile,,1200000.0,instagram,chile,False,2024,,
10,Gary Medel @gary_medel17,3800000.0,2.08,Chile,Sports,1100000.0,instagram,chile,False,2024,Sports,MAPPED
11,Denise Rosenthal @deniserosenthal,3700000.0,0.73,Chile,Entertainment and Music Actors Music Humor,1100000.0,instagram,chile,False,2024,Music,MAPPED
12,P A I L I T A @pailita.k7k,2900000.0,8.57,Chile,Romance and Wedding Music,873000.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
13,❤️🇨🇱 𝗖𝗛𝗜𝗦𝗣𝗘𝗭𝗔 𝗖𝗛𝗜𝗟𝗘𝗡𝗦𝗜𝗦 🇨🇱❤️ @chispezachilensis,2900000.0,1.3,Chile,Pets,862300.0,instagram,chile,False,2024,Lifestyle,MAPPED
14,Gala Caldirola @galadrielcaldirola,2900000.0,0.28,Chile,Fashion and Accessories Beauty and Self Care Actors Journalists,861400.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
15,EłMA$KE$UENA @cris_emejota,2400000.0,10.21,Chile,Entertainment and Music,713600.0,instagram,chile,False,2024,Music,MAPPED
16,B E L Ü @belenegri,2400000.0,13.01,Chile,Animation and Cosplay Arts and Crafts Entertainment and Music Actors,712700.0,instagram,chile,False,2024,Tech&Gaming,MAPPED
17,@laroja,2200000.0,0.53,Chile,Soccer,673700.0,instagram,chile,False,2024,Sports,MAPPED
18,Maria Jose Lopez Merino @cotelopezm,2200000.0,0.78,Chile,,669700.0,instagram,chile,False,2024,,
19,Benjamín Vicuña @benjavicunamori,2200000.0,4.4,Chile,Actors,659600.0,instagram,chile,False,2024,Entertainment,MAPPED
20,@ELMEOPALO / CHILE 🇨🇱🌴❤️‍🩹 @elmeopalo,2100000.0,0.58,Chile,,639900.0,instagram,chile,False,2024,,
21,LISANDRA SILVA @lisandrasilva,2100000.0,0.96,Chile,Fashion and Accessories Business and Finance Bikini,620200.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
22,Mila Recabarren Adaros @camilarecabarrenoficial,2000000.0,1.71,Chile,Education Entertainment and Music Marketing and Advertising Actors,611300.0,instagram,chile,False,2024,Knowledge&Info,MAPPED
23,Colo-Colo @colocolooficial,2000000.0,1.53,Chile,Sports Soccer Actors Journalists,600900.0,instagram,chile,False,2024,Sports,MAPPED
24,Andrés Wiese @andreswiese_r,2000000.0,3.65,Chile,Entertainment and Music Celebrity Soccer Actors,599200.0,instagram,chile,False,2024,Sports,MAPPED
25,Sebastian Silva @jsebasmusic,1900000.0,0.64,Chile,Entertainment and Music Acting and Drama Celebrity,576200.0,instagram,chile,False,2024,Music,MAPPED
26,juliopitbull 🥊🇦🇷 @juliopitbull,1900000.0,6.75,Chile,Entertainment and Music Actors Dogs,562900.0,instagram,chile,False,2024,Music,MAPPED
27,Diana Bolocco @dianaboloccof,1800000.0,0.47,Chile,Actors Fashion,545000.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
28,Chilepaisdememes 😄🎊 @chilepaisdememes,1800000.0,0.56,Chile,,542100.0,instagram,chile,False,2024,,
29,K E L 🩶 @k3lcalderon,1800000.0,0.43,Chile,Art Lifestyle Humor Celebrities,541300.0,instagram,chile,False,2024,Entertainment,MAPPED
30,Jhen Nùñez @jhen_nunez,1800000.0,2.03,Chile,Entertainment and Music Actors,535500.0,instagram,chile,False,2024,Music,MAPPED
31,Conchetuchile Oficial @conchetuchile_,1800000.0,1.3,Chile,Actors Fashion,527700.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
32,I AM THE CORTE @marcianeke,1700000.0,1.46,Chile,Art,515799.99999999994,instagram,chile,False,2024,Lifestyle,MAPPED
33,Jose Miguel Viñuela @josemiguelvinuela,1600000.0,0.25,Chile,Food Actors,489100.0,instagram,chile,False,2024,Entertainment,MAPPED
34,Gabriel Boric Font @gabrielboric,1600000.0,1.93,Chile,Actors Virtualization,483200.0,instagram,chile,False,2024,Tech&Gaming,MAPPED
35,Jorge Zabaleta @zabaletachile,1600000.0,0.58,Chile,Entertainment and Music Travel Finance Upskilling,476900.0,instagram,chile,False,2024,Knowledge&Info,MAPPED
36,Maria Jose Quintanilla @mjqoficial,1500000.0,0.53,Chile,Art Marketing and Advertising Actors Virtualization,464400.0,instagram,chile,False,2024,Knowledge&Info,MAPPED
37,Maura Rivera 🇨🇱 @maurarivera27,1500000.0,0.9,Chile,Fashion and Accessories Pets family Actors,459900.0,instagram,chile,False,2024,Beauty&Fashion,MAPPED
38,❤️🧒🏻👧🏼Jorge @jorgitovaldivia,1500000.0,3.0,Chile,Soccer Actors,457800.0,instagram,chile,False,2024,Sports,MAPPED
39,AK4:20 @aka4.20,1500000.0,10.04,Chile,Art Entertainment and Music Video Gaming,456100.0,instagram,chile,False,2024,Tech&Gaming,MAPPED
40,@Jaideperra.cl 🇨🇱 @jaideperra.cl,1500000.0,0.67,Chile,,450800.0,instagram,chile,False,2024,,
