rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,KAROL G @karolg,68300000.0,5.59,Colombia,"Entertainment and Music Humor Film, Music & Books Celebrities",20500000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
2,MALUMA @maluma,63900000.0,1.27,Colombia,Entertainment and Music Music Singer,19200000.0,instagram,colombia,False,2024,Music,MAPPED
3,James Rodríguez @jamesrodriguez10,51900000.0,1.0,Colombia,Sports Soccer,15600000.0,instagram,colombia,False,2024,Sports,MAPPED
4,J Balvin @jbalvin,51500000.0,0.52,Colombia,Art Singer Entertainment Music,15500000.0,instagram,colombia,False,2024,Music,MAPPED
5,Sofia Vergara @sofiavergara,30900000.0,0.71,Colombia,Entertainment and Music Actors Modeling Celebrities,9300000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
6,ANLLELA SAGRA @anllela_sagra,24100000.0,2.17,Colombia,Fitness and Health Health & Fitness Food & Drink,7200000.0,instagram,colombia,False,2024,Sports,MAPPED
7,CARMEN VILLALOBOS @cvillaloboss,22300000.0,1.42,Colombia,Acting and Drama Entertainment and Music Celebrity Actors,6700000.0,instagram,colombia,False,2024,Music,MAPPED
8,Luisa Fernanda W @luisafernandaw,19300000.0,0.31,Colombia,Beauty and Self Care Entertainment and Music family Business and Finance,5800000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
9,Falcao @falcao,17000000.0,0.61,Colombia,Sports Soccer,5100000.0,instagram,colombia,False,2024,Sports,MAPPED
10,Juan Cuadrado @cuadrado,14100000.0,0.82,Colombia,Sports,4200000.0,instagram,colombia,False,2024,Sports,MAPPED
11,Manuel Turizo - MTZ @manuelturizo,13400000.0,1.12,Colombia,Entertainment and Music Actors Music,4000000.0,instagram,colombia,False,2024,Music,MAPPED
12,FERXXO @feid,13200000.0,5.48,Colombia,Entertainment and Music Actors Music Humor,4000000.0,instagram,colombia,False,2024,Music,MAPPED
13,Francia James @francety,11900000.0,1.15,Colombia,Art Arts and Crafts,3600000.0,instagram,colombia,False,2024,Lifestyle,MAPPED
14,sujin kim @chinguamiga,11400000.0,2.99,Colombia,Animation and Cosplay Marketing and Advertising,3400000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
15,Yef @yefersoncossio,11100000.0,2.4,Colombia,Entertainment and Music,3300000.0,instagram,colombia,False,2024,Music,MAPPED
16,Jessica Cediel @jessicacedielnet,10400000.0,0.47,Colombia,Entertainment and Music Marketing and Advertising Actors Celebrities,3100000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
17,Lina Tejeiro. @linatejeiro,10300000.0,1.61,Colombia,Acting and Drama Actors Virtualization Journalists,3100000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
18,ANDREA VALDIRI 🇨🇴 @andreavaldirisos,9400000.0,3.84,Colombia,family Education Actors Modeling,2800000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
19,Pipe Bueno @pipebueno,9100000.0,0.55,Colombia,Entertainment and Music Actors Music,2700000.0,instagram,colombia,False,2024,Music,MAPPED
20,LA SEGURA ♛ ♥ @la_segura,8800000.0,1.69,Colombia,Marketing and Advertising Actors,2600000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
21,Carlos Vives @carlosvives,8000000.0,0.14,Colombia,Entertainment and Music Actors,2400000.0,instagram,colombia,False,2024,Music,MAPPED
22,𝐂𝐚𝐫𝐨𝐥𝐢𝐧𝐚 𝑪𝒓𝒖𝒛 ᴏsᴏʀɪᴏ~Presentadora @carolinacruzosorio,7600000.0,0.17,Colombia,Beauty and Self Care family Product Showcase Actors,2300000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
23,Sara Uribe @sara_uribe,7100000.0,0.31,Colombia,Beauty and Self Care family Actors Virtualization,2100000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
24,Johanna Fadul @johannafadul,6700000.0,0.5,Colombia,Entertainment and Music Celebrity Actors Modeling,2000000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
25,SILVESTRE / DANGOND @silvestredangond,6600000.0,0.38,Colombia,Entertainment and Music Music Actors,2000000.0,instagram,colombia,False,2024,Music,MAPPED
26,SOL LEON ⏳🍑💋 @solleon21,6500000.0,0.45,Colombia,Fashion and Accessories family Business and Finance Actors,2000000.0,instagram,colombia,False,2024,Beauty&Fashion,MAPPED
27,Paola Jara @paolajarapj,6500000.0,0.34,Colombia,Entertainment and Music Actors,2000000.0,instagram,colombia,False,2024,Music,MAPPED
28,JESSI URIBE @jessiuribe3,6400000.0,0.31,Colombia,Entertainment and Music Music Actors Journalists,1900000.0,instagram,colombia,False,2024,Knowledge&Info,MAPPED
29,Elianis Garrido @elianisgarrido,6400000.0,0.32,Colombia,Entertainment and Music Actors,1900000.0,instagram,colombia,False,2024,Music,MAPPED
30,Paulina Vega Dieppa @paulinavegadiep,6300000.0,0.75,Colombia,Art Actors Virtualization,1900000.0,instagram,colombia,False,2024,Tech&Gaming,MAPPED
