rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Karol G @karolg,51900000.0,3.8,Colombia,Entertainment and Music,15600000.0,tiktok,colombia,False,2024,Music,MAPPED
2,Alejandro Nieto @soybans,30400000.0,,Colombia,,9100000.0,tiktok,colombia,False,2024,,
3,NICOLE AMADO 🐉 @amadorat,21000000.0,,Colombia,,6300000.0,tiktok,colombia,False,2024,,
4,🎭 Deiry Vargas 🎭 @deiryvargas,19600000.0,0.6,Colombia,Acting and Drama,5900000.0,tiktok,colombia,False,2024,Entertainment,MAPPED
5,Gemelas Ortega @gemelasortega,17300000.0,,Colombia,Pets Beauty and Self Care,5200000.0,tiktok,colombia,False,2024,Beauty&Fashion,MAPPED
6,Maleja 👑 @soymaaleja,11700000.0,0.7,Colombia,Entertainment and Music Fashion and Accessories,3500000.0,tiktok,colombia,False,2024,Beauty&Fashion,MAPPED
7,mapusa🦖 @mapusa,7800000.0,,Colombia,,2300000.0,tiktok,colombia,False,2024,,
8,jcamilopulgarin @jcamilopulgarin,7500000.0,,Colombia,Funny,2300000.0,tiktok,colombia,False,2024,Entertainment,MAPPED
9,Sofia Brano @sofiabrano,7200000.0,,Colombia,Entertainment and Music,2200000.0,tiktok,colombia,False,2024,Music,MAPPED
10,DIEGO CADENA @diegocadena,7100000.0,,Colombia,family Entertainment and Music,2100000.0,tiktok,colombia,False,2024,Music,MAPPED
11,Johanna Fadul @johafadul,5800000.0,,Colombia,Acting and Drama,1700000.0,tiktok,colombia,False,2024,Entertainment,MAPPED
12,Calle y Poché @calleypoche,5800000.0,,Colombia,Entertainment and Music,1700000.0,tiktok,colombia,False,2024,Music,MAPPED
13,Carolina Gaitán (La Gaita) @lagaitagaitan,5300000.0,,Colombia,Acting and Drama,1600000.0,tiktok,colombia,False,2024,Entertainment,MAPPED
