rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ariasna @ariasna.ug,3000000.0,,Costa Rica,,900000.0,tiktok,costa-rica,False,2024,,
2,Jeka 24 @superjekitaa,3000000.0,0.1,Costa Rica,,900000.0,tiktok,costa-rica,False,2024,,
3,Milena González @milenagonzalez0810,2300000.0,,Costa Rica,,690000.0,tiktok,costa-rica,False,2024,,
4,Ashlooks @aashlooks,2200000.0,,Costa Rica,Beauty and Self Care,660000.0,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
5,rodezel @rodezel,1500000.0,0.3,Costa Rica,,450000.0,tiktok,costa-rica,False,2024,,
6,PeitonYT @peitonyt,1200000.0,0.3,Costa Rica,Entertainment and Music,360000.0,tiktok,costa-rica,False,2024,Music,MAPPED
7,Dra. Margarita Tercero @dramargaritatercero,993000.0,,Costa Rica,Education,297900.0,tiktok,costa-rica,False,2024,Knowledge&Info,MAPPED
8,Sebastián Cartín @thenutristudent,907900.0,,Costa Rica,Fitness,272400.0,tiktok,costa-rica,False,2024,Sports,MAPPED
9,ᴡᵃᵍⁿᵉʳ ᴍᵒⁿᶜᵃᵈᵃ @wagnermoncada_,883100.0,,Costa Rica,,264900.0,tiktok,costa-rica,False,2024,,
10,Valentino Lázaro @valentinolazarohpriv,830100.0,0.1,Costa Rica,,249000.0,tiktok,costa-rica,False,2024,,
11,Tiby Ulloa @tiby_ojitos14,815200.0,,Costa Rica,,244600.0,tiktok,costa-rica,False,2024,,
12,bryan morera @bryan.morera,798700.0,,Costa Rica,,239600.0,tiktok,costa-rica,False,2024,,
13,J.o.h.n.ny_Funado @j.o.h.n.ny_funado,794800.0,,Costa Rica,,238400.0,tiktok,costa-rica,False,2024,,
14,Dina @gerardina291286,770400.0,,Costa Rica,,231100.0,tiktok,costa-rica,False,2024,,
15,Emma 🦻🏻✨ @emmafallas0,711600.0,0.1,Costa Rica,,213500.0,tiktok,costa-rica,False,2024,,
16,Paula Dobles🕊🪴✨ @paudobless,710800.0,,Costa Rica,Entertainment and Music,213200.0,tiktok,costa-rica,False,2024,Music,MAPPED
17,Andy Ríos @andyriosm,684400.0,1.2,Costa Rica,,205300.0,tiktok,costa-rica,False,2024,,
18,Diego Madrigal @eldiegomadrigal,680400.0,,Costa Rica,Entertainment and Music,204100.0,tiktok,costa-rica,False,2024,Music,MAPPED
19,Frank Lopez Campos @djfrankplatinumcrew,679600.0,0.3,Costa Rica,,203900.0,tiktok,costa-rica,False,2024,,
20,♥️ Charlie ♥️ @charlie__castro,669400.0,,Costa Rica,,200800.0,tiktok,costa-rica,False,2024,,
21,Tony s2 @tony_ff_s2,666700.0,0.1,Costa Rica,Video Gaming,200000.0,tiktok,costa-rica,False,2024,Tech&Gaming,MAPPED
22,Esposito Mery @espositomery,657700.0,,Costa Rica,,197300.0,tiktok,costa-rica,False,2024,,
23,Cristian Garro @elprofecris,642300.0,,Costa Rica,Entertainment and Music,192700.0,tiktok,costa-rica,False,2024,Music,MAPPED
24,Georgeana🌷🧚✨ @dream_18_george,630400.0,,Costa Rica,,189100.0,tiktok,costa-rica,False,2024,,
25,Keyla Sánchez Granad @keylasanchezg,579700.0,0.1,Costa Rica,,173900.0,tiktok,costa-rica,False,2024,,
26,Madeling Mendoza @abig975,508100.0,,Costa Rica,,152400.0,tiktok,costa-rica,False,2024,,
27,Brenda Barrantes @brendabarrantes.cr,452600.0,,Costa Rica,Beauty and Self Care,135800.0,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
28,gabiconejooo @gabiconejooo,449300.0,,Costa Rica,,134800.0,tiktok,costa-rica,False,2024,,
29,Rachelle🌼 @just.rachelle,423200.0,,Costa Rica,,127000.0,tiktok,costa-rica,False,2024,,
30,Shany 🍄🌻🌙 @shanyceshakti,411200.0,,Costa Rica,,123400.0,tiktok,costa-rica,False,2024,,
31,Geoffrey Arburola @elge0ff,398200.0,0.1,Costa Rica,Entertainment and Music,119500.0,tiktok,costa-rica,False,2024,Music,MAPPED
32,Andrea Diaz @andreadiaz134,392000.0,,Costa Rica,,117600.0,tiktok,costa-rica,False,2024,,
33,LA VOZ DE DIOS @the.voice.of.god,377200.0,0.1,Costa Rica,,113200.0,tiktok,costa-rica,False,2024,,
34,Kriis Castillo Avila @kavaliere09,360600.0,,Costa Rica,,108200.0,tiktok,costa-rica,False,2024,,
35,VALENTINA @cherrybombvalen,359200.0,,Costa Rica,Beauty,107800.0,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
36,Pamela Cascante @pamelacascant,357000.0,0.1,Costa Rica,,107100.0,tiktok,costa-rica,False,2024,,
37,F_W@_SHA_1998 @f_w_sha_1998,356600.0,,Costa Rica,,107000.0,tiktok,costa-rica,False,2024,,
38,fashionista sneakers cartago @fashionistasneakers1,353000.0,,Costa Rica,Fashion and Accessories,105900.0,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
39,JP Olivato 🇧🇷🇨🇷 @soyjpolivato,350900.0,,Costa Rica,,105300.0,tiktok,costa-rica,False,2024,,
40,Stephanie Soto @stephaniesotocr,348200.0,,Costa Rica,,104500.0,tiktok,costa-rica,False,2024,,
41,Yerling Villagra @yerling32pekee,343900.0,,Costa Rica,,103200.0,tiktok,costa-rica,False,2024,,
42,Zoeeeeee ✨ @4k.zowii,343400.0,,Costa Rica,,103000.0,tiktok,costa-rica,False,2024,,
43,Reychel Suárez @reych_s2,341900.0,,Costa Rica,Fashion and Accessories,102600.0,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
44,Ali @alispace17,339300.0,,Costa Rica,,101800.0,tiktok,costa-rica,False,2024,,
45,Chaini @chainiman,334700.0,0.2,Costa Rica,Travel,100400.0,tiktok,costa-rica,False,2024,Lifestyle,MAPPED
46,Johan✅ @johansc_,332800.0,,Costa Rica,,99800.0,tiktok,costa-rica,False,2024,,
47,Camila Mena @menacami,329800.0,,Costa Rica,,98900.0,tiktok,costa-rica,False,2024,,
48,Caleb Solano @calebsolano555,325300.0,0.1,Costa Rica,,97600.0,tiktok,costa-rica,False,2024,,
49,Happy Organics @happyorganics,322800.0,,Costa Rica,Nature,96800.0,tiktok,costa-rica,False,2024,Lifestyle,MAPPED
50,Marilin Mendesmolina @marilinmendesmolina,320800.0,,Costa Rica,,96200.0,tiktok,costa-rica,False,2024,,
51,Mike Alvarado @mikealvaradocr,315800.0,,Costa Rica,,94700.0,tiktok,costa-rica,False,2024,,
52,Valeria Méndez @valemendezjk,314500.0,,Costa Rica,,94400.0,tiktok,costa-rica,False,2024,,
53,Keiry Vega @keiry_vegaa,313800.0,,Costa Rica,,94100.0,tiktok,costa-rica,False,2024,,
54,Kary Ramos @karyramoss,312700.0,,Costa Rica,,93800.0,tiktok,costa-rica,False,2024,,
55,Tracy Mattis 🇨🇷 @tray_ma,305100.0,,Costa Rica,Fitness and Health,91500.0,tiktok,costa-rica,False,2024,Sports,MAPPED
56,Rasta Fire @rasta.fire,304900.0,,Costa Rica,,91500.0,tiktok,costa-rica,False,2024,,
57,Jafeth Jiménez @_jafeth,304800.0,,Costa Rica,,91400.0,tiktok,costa-rica,False,2024,,
58,Kim Briceño🐯 @itsqueenkimx,304400.0,,Costa Rica,Funny,91300.0,tiktok,costa-rica,False,2024,Entertainment,MAPPED
59,Jou Corrales @joucorrales,302800.0,,Costa Rica,,90800.0,tiktok,costa-rica,False,2024,,
60,💙𝙅𝙚 𝙉𝙖𝙣.!💙 @nan_12kk,301700.0,,Costa Rica,,90500.0,tiktok,costa-rica,False,2024,,
61,🔥Ťĥúťă Óó🔥🇨🇷 @thutawinoo,295900.0,,Costa Rica,,88800.0,tiktok,costa-rica,False,2024,,
62,Fer Kazerouni @ferkazerouni,291600.0,,Costa Rica,,87500.0,tiktok,costa-rica,False,2024,,
63,Fio García @fio_1409,285600.0,,Costa Rica,,85700.0,tiktok,costa-rica,False,2024,,
64,kevin Ramírez @keviinramirez0k,285400.0,,Costa Rica,,85600.0,tiktok,costa-rica,False,2024,,
65,Kosta @brotherkosta,284700.0,0.2,Costa Rica,,85400.0,tiktok,costa-rica,False,2024,,
66,digamejuanjo @digamejuanjo,283500.0,0.1,Costa Rica,,85100.0,tiktok,costa-rica,False,2024,,
67,GalliCR @gallicr,281800.0,,Costa Rica,Entertainment and Music,84500.0,tiktok,costa-rica,False,2024,Music,MAPPED
68,evansninja4 @evansninja4,281200.0,,Costa Rica,,84400.0,tiktok,costa-rica,False,2024,,
69,Andy Gonzalez @i.feeling.blue,279900.0,,Costa Rica,,84000.0,tiktok,costa-rica,False,2024,,
70,Karlita97 @karlitaesp97,278700.0,,Costa Rica,,83600.0,tiktok,costa-rica,False,2024,,
71,SabrinaTencio22 @sabrinatencio22,278100.0,,Costa Rica,,83400.0,tiktok,costa-rica,False,2024,,
72,Shantall y Madisson @_shanymadi_,274500.0,,Costa Rica,,82400.0,tiktok,costa-rica,False,2024,,
73,Félix Jiménez @felixxjimenez,271900.0,,Costa Rica,Nature Travel,81600.0,tiktok,costa-rica,False,2024,Lifestyle,MAPPED
74,Stephanny Delgado Mo @stephannydelgadom,271300.0,,Costa Rica,,81400.0,tiktok,costa-rica,False,2024,,
75,José @jose_edits1801,269700.0,,Costa Rica,,80900.0,tiktok,costa-rica,False,2024,,
76,JeNiFeR LeOn SaLaZaR. @_.janshlyn._,269300.0,,Costa Rica,,80800.0,tiktok,costa-rica,False,2024,,
77,fabiarayaa @fabiarayaa,268300.0,,Costa Rica,,80500.0,tiktok,costa-rica,False,2024,,
78,Fernando el Badfluencer @fernandojose_cr,263400.0,0.1,Costa Rica,,79000.0,tiktok,costa-rica,False,2024,,
79,Catalina Murillo @catamurillocr,258899.99999999997,,Costa Rica,,77700.0,tiktok,costa-rica,False,2024,,
80,Dr. Salas Camacho @dr.salasc,256300.0,,Costa Rica,family,76900.0,tiktok,costa-rica,False,2024,Lifestyle,MAPPED
81,ariasseg89 @ariasseg89,252900.0,,Costa Rica,,75900.0,tiktok,costa-rica,False,2024,,
82,ĤĚŘǾ @hero70586,251100.0,,Costa Rica,,75300.0,tiktok,costa-rica,False,2024,,
83,シ.𝐺.𝑅.7. シ. @gxcr77,248900.0,,Costa Rica,Entertainment and Music,74700.0,tiktok,costa-rica,False,2024,Music,MAPPED
84,Cap World @funfunworld2020,248700.0,,Costa Rica,,74600.0,tiktok,costa-rica,False,2024,,
85,Marco @marcobe7,246200.0,0.1,Costa Rica,,73900.0,tiktok,costa-rica,False,2024,,
86,Rafita y Mami @rafitaymami,246100.0,,Costa Rica,,73800.0,tiktok,costa-rica,False,2024,,
87,Marisol Gómez @marisol_oficial.0,245100.0,,Costa Rica,,73500.0,tiktok,costa-rica,False,2024,,
88,♡ 𝓟𝓪𝓻𝓲𝓷 @vin___98,243500.0,,Costa Rica,,73100.0,tiktok,costa-rica,False,2024,,
89,Jale A Comer @jale_a_comer,242000.0,,Costa Rica,,72600.0,tiktok,costa-rica,False,2024,,
